slurmstepd: error: task/cgroup: unable to add task[pid=11697] to memory cg '(null)'
preds
ITGB1
['F11R', 'ICAM3', 'ITGAL']
preds
ITGAL
['ICAM2', 'ITGA4', 'CD28']
preds
CD226
['CD28', 'JAM3', 'ITGB7']
preds
ITGA4
['CD80', 'ITGAL', 'ICOSLG']
preds
ICAM1
['ITGAL', 'ITGA4', 'NTNG2']
preds
JAM3
['CD22', 'CD226', 'ICAM2']
preds
F11R
['ICAM3', 'ITGB1', 'ICAM2']
gen	nevals	avg    	std    	min        	max    
0  	24    	5.11899	6.61387	5.20094e-05	23.1651
1  	24    	4.23869	5.60277	6.92687e-05	23.1651
2  	24    	3.75475	5.1681 	7.11482e-05	22.1386
3  	24    	3.46629	4.85937	9.53222e-05	22.1386
4  	24    	3.20943	4.49355	9.53222e-05	22.1386
5  	24    	3.01744	4.27003	9.53222e-05	22.1324
6  	24    	2.87851	3.92738	0.000117587	19.7311
7  	24    	2.7463 	3.90782	6.88293e-05	19.691 
8  	24    	2.6584 	3.92031	6.88293e-05	19.691 
9  	24    	2.62426	3.75756	6.88293e-05	19.691 
10 	24    	2.57738	3.66304	6.88293e-05	14.3082
11 	24    	2.54614	3.5787 	6.88293e-05	14.3082
12 	24    	2.46093	3.37278	0.00013761 	20.6959
13 	24    	2.4266 	3.30863	3.75161e-05	13.5235
14 	24    	2.35861	3.2583 	1.73161e-05	13.8871
15 	24    	2.33042	3.24042	0.000144337	13.8918
16 	24    	2.3282 	3.24135	0.000143491	13.8918
17 	24    	2.32005	3.2453 	0.000143491	13.907 
18 	24    	2.30597	3.25472	0.00019942 	13.9152
19 	24    	2.30106	3.25314	0.000191718	13.9011
20 	24    	2.30062	3.25295	9.26503e-05	13.8995
21 	24    	2.30023	3.25301	7.91832e-05	13.8984
22 	24    	2.29992	3.25281	5.04264e-05	13.8984
23 	24    	2.29975	3.25267	5.04264e-05	13.8984
24 	24    	2.29961	3.25257	5.04264e-05	13.9003
25 	24    	2.29949	3.25237	5.04264e-05	13.9003
26 	24    	2.29945	3.25253	5.04264e-05	13.9003
27 	24    	2.29937	3.25242	5.04264e-05	13.8951
28 	24    	2.29936	3.25245	5.04264e-05	13.8951
29 	24    	2.29935	3.25239	5.04264e-05	13.8951
30 	24    	2.29928	3.25216	5.04264e-05	13.8951
31 	24    	2.29923	3.2522 	5.04264e-05	13.8951
32 	24    	2.29805	3.25973	8.72767e-05	13.8951
33 	24    	2.29538	3.27403	0.000102112	13.8948
34 	24    	2.28394	3.27423	0.000102112	13.8965
35 	24    	2.27002	3.28868	0.000136411	13.8965
36 	24    	2.2466 	3.23157	0.000139019	13.8969
37 	24    	2.23914	3.28903	0.000122663	13.9128
38 	24    	2.21414	3.17068	0.000131199	13.8949
39 	24    	2.14295	2.84631	0.000131199	13.8949
40 	24    	2.11405	2.73613	6.16882e-05	11.7158
41 	24    	2.10316	2.76698	0.000125937	11.7158
42 	24    	2.07896	2.80918	7.97503e-05	13.2007
43 	24    	2.05334	2.78343	7.97503e-05	13.2007
44 	24    	2.02392	2.70179	5.92788e-05	11.7174
45 	24    	1.96438	2.52759	0.000100858	11.7133
46 	24    	1.953  	2.52224	7.85172e-05	11.7139
47 	24    	1.92935	2.50728	0.000167448	11.7139
48 	24    	1.90455	2.4855 	0.000102098	11.7133
49 	24    	1.90427	2.4856 	5.17338e-05	11.7253
50 	24    	1.90412	2.48546	5.17338e-05	11.7253
51 	24    	1.90404	2.4854 	0.000102098	11.7253
52 	24    	1.90404	2.4854 	0.000102098	11.7253
53 	24    	1.90402	2.48533	0.000102098	11.7253
54 	24    	1.90398	2.48524	0.000102098	11.7253
55 	24    	1.90393	2.48506	0.000102098	11.7253
56 	24    	1.9036 	2.48501	5.38668e-05	11.7253
57 	24    	1.90206	2.47062	5.38668e-05	11.7253
58 	24    	1.90032	2.45646	5.38668e-05	11.7253
59 	24    	1.89848	2.44185	5.38668e-05	11.7232
60 	24    	1.8967 	2.42763	5.38668e-05	11.7232
61 	24    	1.89428	2.41316	5.38668e-05	11.7232
62 	24    	1.88615	2.33917	5.38668e-05	11.7232
63 	24    	1.87347	2.18293	0.000115767	11.7123
64 	24    	1.86817	2.11702	0.000115767	7.6412 
65 	24    	1.867  	2.11687	0.000120289	7.64054
66 	24    	1.86617	2.11681	2.01933e-05	7.64652
67 	24    	1.86344	2.11675	2.01933e-05	7.64652
68 	24    	1.86068	2.11724	8.65008e-05	7.64652
69 	24    	1.86022	2.11688	0.000142183	7.6382 
70 	24    	1.8601 	2.11683	0.000142183	7.63659
71 	24    	1.85978	2.11648	7.62106e-05	7.63659
72 	24    	1.85928	2.11608	5.81846e-05	7.63511
73 	24    	1.85897	2.11586	5.81846e-05	7.64341
74 	24    	1.85871	2.11564	5.81846e-05	7.64341
