slurmstepd: error: task/cgroup: unable to add task[pid=11543] to memory cg '(null)'
preds
ITGB1
['ICAM1', 'F11R', 'ITGB7']
preds
ITGAL
['ICAM2', 'ITGA4', 'ICAM1']
preds
CD226
['NTNG2', 'MADCAM1', 'ICAM2']
preds
ITGA4
['SELPLG', 'CD28', 'ITGAL']
preds
ICAM1
['ITGB1', 'ITGAL', 'ITGA4']
preds
JAM3
['CD28', 'LRRC4', 'SELL']
preds
F11R
['ITGB1', 'ITGAL', 'CD22']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.73797	6.05218	8.46629e-05	23.1651
1  	24    	3.96455	5.18829	0.000124428	23.1651
2  	24    	3.55069	4.58859	9.0782e-05 	23.0471
3  	24    	3.28308	3.97679	5.71601e-05	20.1188
4  	24    	3.18378	4.13915	9.0782e-05 	20.1188
5  	24    	3.1121 	4.19006	9.0782e-05 	20.0403
6  	24    	3.04544	3.8913 	9.0782e-05 	18.453 
7  	24    	3.01366	3.87038	9.0782e-05 	18.453 
8  	24    	2.98655	4.16534	9.0782e-05 	18.453 
9  	24    	2.95264	4.17977	6.9996e-05 	18.453 
10 	24    	2.93646	4.13733	9.0782e-05 	18.453 
11 	24    	2.9088 	4.04713	0.000117853	18.4539
12 	24    	2.84708	3.7738 	0.000142663	18.456 
13 	24    	2.76251	3.34578	0.000130006	18.4638
14 	24    	2.71091	3.10209	0.000125935	11.0458
15 	24    	2.70997	3.09895	0.000127237	11.0426
16 	24    	2.70911	3.09725	0.000152567	11.045 
17 	24    	2.70715	3.09567	0.000152567	11.045 
18 	24    	2.70396	3.09161	0.000152567	11.045 
19 	24    	2.70208	3.0897 	0.000152567	11.0642
20 	24    	2.69534	3.08239	0.000152567	11.0642
21 	24    	2.68225	3.06907	0.00012383 	11.0642
22 	24    	2.651  	3.03586	0.00012383 	11.0642
23 	24    	2.63678	3.01198	0.000142518	11.052 
24 	24    	2.62485	2.99535	0.000119779	11.0521
25 	24    	2.61739	2.98835	9.44209e-05	11.0544
26 	24    	2.60216	2.96874	0.000119779	11.0544
27 	24    	2.5778 	2.92379	0.00010296 	11.0537
28 	24    	2.56189	2.90752	0.00010296 	11.2492
29 	24    	2.52223	2.83295	0.00010296 	11.2612
30 	24    	2.46775	2.71882	0.000131921	11.2612
31 	24    	2.44763	2.66681	0.000131921	9.2728 
32 	24    	2.44674	2.66576	0.000131921	9.28086
33 	24    	2.44562	2.66441	9.55432e-05	9.27606
34 	24    	2.44504	2.66383	0.000131921	9.27705
35 	24    	2.44406	2.66281	0.000131921	9.26421
36 	24    	2.44354	2.66224	0.000131921	9.26421
37 	24    	2.443  	2.66167	2.60504e-05	9.26421
38 	24    	2.44263	2.66129	2.60504e-05	9.26421
39 	24    	2.44107	2.6602 	2.60504e-05	9.26124
40 	24    	2.44099	2.66009	2.60504e-05	9.26124
41 	24    	2.43972	2.65938	0.000177311	9.26124
42 	24    	2.43619	2.65763	0.000104143	9.27484
