slurmstepd: error: task/cgroup: unable to add task[pid=11585] to memory cg '(null)'
preds
ITGB1
['GLG1', 'ITGAL', 'CD226']
preds
ITGAL
['SELL', 'JAM3', 'ITGB1']
preds
CD226
['JAM3', 'MADCAM1', 'ITGAL']
preds
ITGA4
['ICAM2', 'JAM3', 'MADCAM1']
preds
ICAM1
['ICAM3', 'F11R', 'ITGAL']
preds
JAM3
['CD22', 'ITGA4', 'ITGAL']
preds
F11R
['ICAM3', 'ICAM1', 'ITGA4']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.88233	6.14509	2.59967e-05	23.1651
1  	24    	4.31203	5.32263	2.59967e-05	23.1651
2  	24    	3.9466 	4.90696	3.93425e-05	23.1651
3  	24    	3.74879	4.477  	5.45025e-05	23.1617
4  	24    	3.59057	4.26701	5.45025e-05	23.0471
5  	24    	3.52148	4.06067	5.45025e-05	23.0471
6  	24    	3.4051 	3.93534	7.21001e-05	22.1386
7  	24    	3.22765	3.68894	7.21001e-05	16.9967
8  	24    	3.14671	3.70922	7.21001e-05	16.9967
9  	24    	3.10294	3.70292	0.000131489	19.7084
10 	24    	3.04613	3.59351	0.000104196	19.7084
11 	24    	2.93509	3.33749	7.89271e-05	16.4048
12 	24    	2.84653	3.22476	0.000130576	17.3075
13 	24    	2.74702	3.18409	0.000130576	17.3179
14 	24    	2.68468	3.11175	0.000114488	17.3121
15 	24    	2.62408	3.05255	0.000114488	17.3064
16 	24    	2.57008	3.08994	0.000130576	17.3127
17 	24    	2.54672	2.93344	0.000130576	12.0085
18 	24    	2.51436	2.99383	0.000130576	12.0118
19 	24    	2.47304	2.86285	0.000151481	11.6348
20 	24    	2.43299	2.87685	0.000151481	11.6056
21 	24    	2.38679	2.83934	5.52731e-05	11.5869
22 	24    	2.35084	2.80931	5.52731e-05	10.8734
23 	24    	2.34491	2.80907	5.52731e-05	11.665 
24 	24    	2.33402	2.8101 	5.52731e-05	11.6689
25 	24    	2.31844	2.81175	0.000140772	11.6689
26 	24    	2.28689	2.8153 	0.000140772	11.67  
27 	24    	2.22182	2.81476	0.000102998	11.6848
28 	24    	2.21162	2.79218	0.000124808	11.6748
29 	24    	2.19667	2.75775	0.000124808	11.6723
30 	24    	2.1763 	2.71007	0.0001268  	11.6675
31 	24    	2.15204	2.65045	7.67652e-05	9.65636
32 	24    	2.15106	2.64944	7.67652e-05	9.65301
33 	24    	2.15045	2.6485 	7.67652e-05	9.66012
34 	24    	2.14949	2.6601 	7.67652e-05	14.4035
35 	24    	2.14932	2.67354	7.67652e-05	14.4301
36 	24    	2.14904	2.67368	7.67652e-05	14.4301
37 	24    	2.14844	2.69976	8.67306e-05	14.4382
38 	24    	2.14797	2.72556	8.67306e-05	14.4382
39 	24    	2.14345	2.79336	9.22048e-05	14.4382
40 	24    	2.14164	2.8651 	0.000147904	14.4382
41 	24    	2.1366 	2.86686	3.13268e-05	14.4505
42 	24    	2.12856	2.81085	3.13268e-05	14.4193
43 	24    	2.12471	2.72218	0.000172391	14.4193
44 	24    	2.11968	2.59213	0.000138623	14.3437
45 	24    	2.1158 	2.56898	0.000152782	11.1878
46 	24    	2.11289	2.56154	0.000124734	11.1579
47 	24    	2.10562	2.54167	0.000168877	11.1335
48 	24    	2.10089	2.52896	0.000148105	11.1555
49 	24    	2.08709	2.48677	1.47258e-05	11.1318
50 	24    	2.07196	2.4392 	0.000168877	8.43015
51 	24    	2.0709 	2.43726	7.50572e-05	8.43015
52 	24    	2.07046	2.43672	7.50572e-05	8.37867
53 	24    	2.06992	2.43604	7.50572e-05	8.37867
54 	24    	2.06905	2.42836	0.000126756	8.37867
55 	24    	2.06827	2.42078	0.000126756	8.37867
56 	24    	2.06648	2.39808	0.000126756	8.37867
57 	24    	2.06481	2.37549	0.000126756	8.37867
58 	24    	2.06212	2.33743	0.000126756	8.36557
59 	24    	2.05744	2.26   	0.000118463	7.80757
60 	24    	2.05659	2.26045	8.83091e-05	7.79384
61 	24    	2.05644	2.26034	5.20853e-05	7.79384
62 	24    	2.0563 	2.26028	5.20853e-05	7.79384
63 	24    	2.05617	2.26011	5.20853e-05	7.79148
64 	24    	2.05608	2.26027	5.20853e-05	7.81771
65 	24    	2.056  	2.2604 	5.20853e-05	7.81771
66 	24    	2.05592	2.26032	5.20853e-05	7.81501
67 	24    	2.05582	2.2604 	5.20853e-05	7.81501
68 	24    	2.05581	2.26028	5.20853e-05	7.81501
69 	24    	2.0558 	2.26033	5.20853e-05	7.81501
70 	24    	2.05575	2.26052	5.20853e-05	7.81501
71 	24    	2.05575	2.26052	5.20853e-05	7.81501
72 	24    	2.05444	2.26114	5.20853e-05	8.27462
73 	24    	2.05177	2.26193	5.20853e-05	8.27462
74 	24    	2.05041	2.26256	5.20853e-05	8.29408
75 	24    	2.04518	2.26404	5.20853e-05	8.29408
76 	24    	2.02513	2.26711	0.000133059	9.23692
77 	24    	1.98779	2.27149	4.54539e-05	9.26775
78 	24    	1.9557 	2.27387	0.000115279	9.27287
79 	24    	1.9276 	2.26876	0.000115279	9.27287
80 	24    	1.84739	2.27656	0.000115279	9.27287
81 	24    	1.73761	2.31289	0.000143999	9.88264
82 	24    	1.69484	2.2689 	9.05818e-05	9.2847 
83 	24    	1.69069	2.2581 	9.05818e-05	9.44478
84 	24    	1.68392	2.24433	9.05818e-05	9.44478
85 	24    	1.67193	2.21344	0.000179437	9.44595
86 	24    	1.66209	2.22688	6.35195e-05	9.44946
87 	24    	1.65518	2.18026	9.68377e-05	7.46022
88 	24    	1.64957	2.17395	9.68377e-05	7.46022
89 	24    	1.64937	2.17391	9.68377e-05	7.46022
90 	24    	1.64407	2.16727	9.68377e-05	7.46022
91 	24    	1.63585	2.15447	0.000106107	7.50315
92 	24    	1.62674	2.1399 	0.000106107	7.50315
93 	24    	1.60121	2.09988	0.000106107	7.50315
94 	24    	1.57262	2.05931	0.000106107	7.50315
95 	24    	1.54017	2.01845	7.07968e-05	7.07672
96 	24    	1.53163	2.02394	7.07968e-05	7.07672
97 	24    	1.52956	2.0196 	0.000109731	7.0744 
98 	24    	1.52748	2.01503	0.000109731	7.07223
99 	24    	1.52179	2.00179	0.000109731	7.0623 
100	24    	1.51114	1.9834 	0.00014966 	7.06371
101	24    	1.49531	1.95583	9.503e-05  	7.07283
102	24    	1.4855 	1.94058	9.503e-05  	7.07283
103	24    	1.48335	1.92779	9.503e-05  	7.04315
104	24    	1.47952	1.92273	9.503e-05  	7.0223 
105	24    	1.47436	1.91775	9.503e-05  	5.82504
106	24    	1.46185	1.91411	0.000108378	5.82664
107	24    	1.44717	1.90898	0.000108378	5.82718
108	24    	1.44567	1.90883	0.000108378	5.82718
109	24    	1.44548	1.90871	0.000108378	5.82298
110	24    	1.44538	1.90867	0.000108378	5.82392
111	24    	1.44527	1.9085 	0.000108378	5.82392
112	24    	1.44519	1.90829	0.000108378	5.82392
113	24    	1.442  	1.90395	3.89105e-05	5.82298
114	24    	1.44197	1.90388	3.89105e-05	5.82298
115	24    	1.44193	1.9037 	0.000108378	5.82298
116	24    	1.44004	1.9012 	0.000164557	5.82298
117	24    	1.4369 	1.89662	0.000164557	5.82298
118	24    	1.42886	1.88514	0.000164557	5.82298
119	24    	1.42582	1.88064	0.000164557	5.82298
120	24    	1.41947	1.87161	0.000164557	5.82298
--- 8132.334685325623 seconds ---
ran GA
