slurmstepd: error: task/cgroup: unable to add task[pid=11487] to memory cg '(null)'
preds
ITGB1
['F11R', 'ITGA4', 'CD22']
preds
ITGAL
['ICAM2', 'JAM3', 'MADCAM1']
preds
CD226
['NTNG2', 'CD86', 'JAM3']
preds
ITGA4
['ICAM2', 'MADCAM1', 'F11R']
preds
ICAM1
['ITGAL', 'CD28', 'MADCAM1']
preds
JAM3
['CD28', 'SELL', 'ITGAL']
preds
F11R
['ICAM3', 'ITGB1', 'GLG1']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.81474	5.80772	0.000114578	23.1651
1  	24    	4.12844	4.8494 	0.000114578	23.1651
2  	24    	3.82757	4.25364	0.000114578	23.1651
3  	24    	3.56576	3.95933	0.000150583	19.1078
4  	24    	3.34729	3.63003	0.000116535	19.1078
5  	24    	3.14783	3.34924	0.000116535	14.4036
6  	24    	2.97193	3.34284	0.000120849	14.3342
7  	24    	2.85789	3.19771	0.000109929	14.3342
8  	24    	2.77685	2.98651	0.000186916	14.3342
9  	24    	2.69715	2.79256	0.000128738	10.1175
10 	24    	2.64488	2.73787	0.000128738	9.76499
11 	24    	2.62636	2.74207	0.000172469	9.84251
12 	24    	2.60798	2.75232	0.000172469	9.84251
13 	24    	2.58493	2.75833	7.58068e-05	9.84251
14 	24    	2.55761	2.72038	7.58068e-05	9.84251
15 	24    	2.525  	2.68007	0.000121895	7.51946
16 	24    	2.52246	2.67597	0.000108083	7.48969
17 	24    	2.51926	2.67036	0.000108083	7.48969
18 	24    	2.51506	2.66131	0.00017466 	7.22671
19 	24    	2.51409	2.66056	0.00017466 	7.22671
20 	24    	2.51385	2.66022	0.000145911	7.22353
21 	24    	2.51367	2.65985	0.000118534	7.22353
22 	24    	2.51343	2.65956	0.000118534	7.22353
23 	24    	2.51336	2.65956	0.000144932	7.22353
24 	24    	2.51332	2.65949	0.000144932	7.22353
25 	24    	2.51329	2.65965	0.000144932	7.22353
26 	24    	2.51326	2.65963	0.000144932	7.22353
27 	24    	2.51021	2.65532	0.000113947	7.22353
28 	24    	2.50114	2.642  	0.000113947	7.22353
29 	24    	2.48622	2.62002	0.000113947	7.21902
30 	24    	2.45928	2.57948	0.000113947	7.2186 
31 	24    	2.44099	2.55142	0.000112376	7.05707
32 	24    	2.4404 	2.55101	0.000113947	7.05618
33 	24    	2.44001	2.55056	0.000159885	7.05651
34 	24    	2.4399 	2.55052	8.47908e-05	7.05651
35 	24    	2.4398 	2.55057	8.47908e-05	7.05651
36 	24    	2.43978	2.55064	0.000178797	7.05651
37 	24    	2.43743	2.54744	0.000178797	7.05651
38 	24    	2.43743	2.54742	0.000178797	7.05651
39 	24    	2.43508	2.54433	0.000178797	7.05651
40 	24    	2.43287	2.54156	0.000178797	7.0559 
41 	24    	2.42324	2.52861	0.000178797	7.0559 
42 	24    	2.4048 	2.50307	0.000178797	7.05212
43 	24    	2.38389	2.47334	8.24536e-05	7.02369
44 	24    	2.38295	2.47186	8.24536e-05	7.02411
45 	24    	2.38244	2.47149	8.24536e-05	7.02411
46 	24    	2.38225	2.47126	8.24536e-05	7.02411
47 	24    	2.38217	2.47124	8.24536e-05	7.01757
48 	24    	2.38158	2.4703 	8.24536e-05	7.01757
49 	24    	2.37826	2.4703 	0.000156659	7.94947
50 	24    	2.37036	2.47161	0.00012195 	7.98174
51 	24    	2.36639	2.47009	0.00012195 	7.98174
52 	24    	2.35692	2.46946	0.00012195 	7.98642
53 	24    	2.34406	2.47843	8.79964e-05	7.98642
54 	24    	2.32692	2.50073	0.000131827	8.00091
55 	24    	2.3257 	2.50214	0.000131827	8.01133
56 	24    	2.32513	2.50079	9.58117e-05	8.00374
57 	24    	2.3218 	2.49659	9.58117e-05	8.01217
58 	24    	2.32118	2.49621	9.58117e-05	8.01217
59 	24    	2.31357	2.48664	4.8926e-05 	8.01217
60 	24    	2.30608	2.4774 	4.8926e-05 	8.02093
61 	24    	2.28681	2.45186	4.8926e-05 	8.02093
62 	24    	2.27138	2.42687	8.36212e-05	8.01217
63 	24    	2.24103	2.3852 	0.000134713	8.02091
64 	24    	2.2346 	2.37121	0.000161139	8.02091
65 	24    	2.22769	2.36623	0.000144242	8.00837
66 	24    	2.22504	2.35444	3.86003e-05	8.00837
67 	24    	2.22298	2.34054	3.86003e-05	7.99644
68 	24    	2.22165	2.33526	3.86003e-05	7.42464
69 	24    	2.22086	2.33421	0.000134812	7.42464
70 	24    	2.22056	2.3336 	6.23806e-05	7.3696 
71 	24    	2.22029	2.33291	6.23806e-05	7.3696 
72 	24    	2.21991	2.33276	6.23806e-05	7.37194
73 	24    	2.21975	2.3324 	6.23806e-05	7.37194
74 	24    	2.21975	2.3324 	6.23806e-05	7.37194
75 	24    	2.21816	2.3463 	0.000139818	9.79115
76 	24    	2.21519	2.37384	0.000104163	9.79115
77 	24    	2.20949	2.42814	0.000104163	9.79115
78 	24    	2.19796	2.53283	4.76018e-05	9.80216
79 	24    	2.18514	2.64539	0.000122055	9.80216
80 	24    	2.18441	2.64474	0.00017248 	9.80677
81 	24    	2.1841 	2.64375	0.00017248 	9.79514
82 	24    	2.18149	2.63071	0.00017248 	9.80436
83 	24    	2.17926	2.61792	0.000173832	9.80436
84 	24    	2.1701 	2.56623	8.55383e-05	9.80436
85 	24    	2.16782	2.55333	8.55383e-05	9.80436
86 	24    	2.15885	2.50019	8.55383e-05	9.80642
87 	24    	2.13485	2.33405	2.41747e-05	9.72984
88 	24    	2.13   	2.31783	2.41747e-05	7.38822
89 	24    	2.1298 	2.31755	2.41747e-05	7.38822
90 	24    	2.12973	2.31745	2.41747e-05	7.38822
91 	24    	2.12953	2.31671	0.000128837	7.38241
92 	24    	2.12938	2.31628	0.000128837	7.38241
93 	24    	2.12925	2.31651	0.000128837	7.3775 
94 	24    	2.12878	2.31529	0.000187094	7.3775 
95 	24    	2.12813	2.31355	2.84738e-05	7.3775 
96 	24    	2.12697	2.30992	2.84738e-05	7.3775 
97 	24    	2.1261 	2.30704	2.84738e-05	7.3775 
98 	24    	2.12336	2.29811	2.84738e-05	7.3775 
99 	24    	2.12223	2.29427	7.26276e-05	7.38621
100	24    	2.12164	2.2929 	0.000135521	7.38621
101	24    	2.12155	2.293  	0.000120204	7.38621
102	24    	2.12137	2.29304	0.000120204	7.38621
103	24    	2.1211 	2.29278	0.000130305	7.3858 
104	24    	2.12105	2.2928 	0.000130305	7.3858 
105	24    	2.12101	2.29304	0.000130305	7.3858 
106	24    	2.12101	2.29304	0.000130305	7.3858 
107	24    	2.12096	2.293  	0.000155542	7.3858 
108	24    	2.12094	2.29305	0.000155542	7.3858 
109	24    	2.1209 	2.29315	0.000155542	7.3858 
110	24    	2.12085	2.29331	0.000155542	7.38503
111	24    	2.12082	2.29315	0.000155542	7.38503
112	24    	2.12071	2.29267	0.000155542	7.38113
113	24    	2.12041	2.29286	0.000155542	7.38113
114	24    	2.12033	2.29298	0.000155542	7.42003
115	24    	2.12003	2.29338	0.000155542	7.42003
116	24    	2.11966	2.29363	7.81515e-05	7.42003
117	24    	2.11786	2.3008 	7.81515e-05	7.42003
118	24    	2.11636	2.30985	7.81515e-05	7.99217
119	24    	2.11572	2.31156	7.81515e-05	7.99217
120	24    	2.11408	2.31247	7.81515e-05	7.42003
--- 7711.911024570465 seconds ---
ran GA
