slurmstepd: error: task/cgroup: unable to add task[pid=11599] to memory cg '(null)'
preds
ITGB1
['F11R', 'ITGAL', 'ICAM2']
preds
ITGAL
['ICAM2', 'CD86', 'ITGB1']
preds
CD226
['MADCAM1', 'LRRC4', 'ITGA4']
preds
ITGA4
['JAM3', 'NTNG2', 'F11R']
preds
ICAM1
['ICAM3', 'F11R', 'ITGAL']
preds
JAM3
['SELL', 'ITGA4', 'ITGB7']
preds
F11R
['ICAM1', 'ITGB1', 'PTPRC']
gen	nevals	avg    	std    	min        	max    
0  	24    	5.29261	6.57692	6.77841e-05	23.1651
1  	24    	4.64045	5.89619	7.22469e-05	23.0936
2  	24    	4.25354	5.44641	7.22469e-05	23.0936
3  	24    	3.79719	4.73229	4.48072e-05	23.1851
4  	24    	3.64026	4.37711	7.22469e-05	23.1851
5  	24    	3.52017	3.89867	7.22469e-05	23.1851
6  	24    	3.36762	3.42159	9.16112e-05	22.6311
7  	24    	3.25193	3.299  	0.000132431	19.9907
8  	24    	3.16257	3.08099	0.000152454	19.9907
9  	24    	3.1184 	3.00407	0.00021202 	19.9907
10 	24    	3.09086	2.97916	9.29864e-05	19.9907
11 	24    	2.99852	2.83531	5.73857e-05	10.3673
12 	24    	2.95879	2.76164	5.73857e-05	10.3598
13 	24    	2.90259	2.64618	5.73857e-05	10.3484
14 	24    	2.88913	2.64232	5.73857e-05	7.62057
15 	24    	2.88767	2.64192	5.73857e-05	7.62113
16 	24    	2.88751	2.64269	0.000130522	7.62113
17 	24    	2.88515	2.64055	0.000130522	7.62113
18 	24    	2.87851	2.62981	0.000130522	7.62113
19 	24    	2.86298	2.61066	0.000170191	7.62113
20 	24    	2.86158	2.61033	0.0002214  	7.62025
21 	24    	2.86126	2.61207	0.000175398	7.62278
22 	24    	2.86087	2.614  	0.000175398	7.62278
23 	24    	2.86072	2.61396	0.000175398	7.62278
24 	24    	2.86066	2.61486	5.78278e-05	7.62278
25 	24    	2.86065	2.6139 	5.78278e-05	7.62278
26 	24    	2.85976	2.61519	5.78278e-05	7.62278
27 	24    	2.8569 	2.61539	5.78278e-05	7.62278
28 	24    	2.85279	2.61532	5.78278e-05	7.62476
29 	24    	2.84298	2.61638	0.00016597 	7.62476
