slurmstepd: error: task/cgroup: unable to add task[pid=11711] to memory cg '(null)'
preds
ITGB1
['F11R', 'ITGA4', 'CD22']
preds
ITGAL
['CD28', 'MADCAM1', 'ICAM1']
preds
CD226
['CD28', 'CD80', 'ITGAL']
preds
ITGA4
['JAM3', 'CD86', 'MADCAM1']
preds
ICAM1
['F11R', 'ITGAL', 'ICAM2']
preds
JAM3
['CD28', 'LRRC4', 'ITGA4']
preds
F11R
['ICAM1', 'ITGB1', 'ITGAL']
gen	nevals	avg    	std    	min        	max    
0  	24    	5.23749	6.58592	0.000109753	23.1651
1  	24    	3.79407	4.73652	0.000115427	22.1386
2  	24    	3.30574	3.80941	2.19657e-05	22.1386
3  	24    	3.0574 	3.3707 	2.19657e-05	12.7543
4  	24    	2.95401	3.37454	6.67499e-05	11.8145
5  	24    	2.89758	3.28041	9.7624e-05 	11.8145
6  	24    	2.76956	3.25964	9.7624e-05 	12.1194
7  	24    	2.65705	3.13814	0.000103938	12.1194
8  	24    	2.58295	3.17995	0.000103938	13.0005
9  	24    	2.51657	3.19929	0.000129433	12.1647
10 	24    	2.47039	3.26401	0.000173005	12.1647
11 	24    	2.40166	3.17973	0.000161736	12.1699
12 	24    	2.35477	3.08828	0.000161736	11.8417
13 	24    	2.31681	3.21517	0.00012117 	11.8417
14 	24    	2.30057	3.30136	8.26945e-05	11.8408
15 	24    	2.28757	3.31418	0.000170532	11.8503
16 	24    	2.28536	3.3122 	0.000185967	11.8062
17 	24    	2.28369	3.32706	8.28411e-05	11.8144
18 	24    	2.28131	3.32283	0.000153828	11.8144
19 	24    	2.27161	3.31062	0.000153828	12.4423
20 	24    	2.26428	3.29628	9.52182e-05	12.4423
21 	24    	2.25393	3.28416	9.52182e-05	12.4423
22 	24    	2.2522 	3.28289	0.000116635	12.4423
23 	24    	2.24212	3.26135	0.000103041	12.4423
24 	24    	2.21331	3.19919	0.000103041	12.4668
25 	24    	2.16634	3.09507	0.000167481	12.4668
26 	24    	2.13532	3.13661	0.000167481	12.4755
27 	24    	2.12271	3.15699	0.000167481	12.4755
28 	24    	2.1205 	3.15459	0.000119427	12.4755
29 	24    	2.11851	3.15156	6.02912e-05	12.4668
30 	24    	2.11679	3.14872	6.02912e-05	12.4602
31 	24    	2.11462	3.14425	6.02912e-05	12.4602
32 	24    	2.11145	3.13664	7.85023e-05	12.4564
33 	24    	2.10179	3.11436	8.14359e-05	12.4658
34 	24    	2.09596	3.09956	8.14359e-05	12.4658
35 	24    	2.07572	3.06343	0.000238181	12.4658
36 	24    	2.0748 	3.06557	0.00012679 	12.4911
37 	24    	2.04559	3.01947	0.000111259	12.4911
38 	24    	1.9834 	2.8995 	8.42625e-05	12.7877
39 	24    	1.90788	2.74667	8.42625e-05	12.7877
40 	24    	1.78944	2.50422	0.000114571	14.7598
41 	24    	1.7496 	2.40011	0.000118726	11.8256
42 	24    	1.74841	2.39941	0.000163145	11.8256
43 	24    	1.74237	2.36535	0.000163145	11.8127
44 	24    	1.73069	2.2961 	7.55162e-05	11.8373
45 	24    	1.70497	2.14835	7.55162e-05	11.8373
46 	24    	1.67997	1.99036	7.55162e-05	7.90713
47 	24    	1.67222	1.98711	0.000140701	7.90713
48 	24    	1.66296	1.98268	0.000140701	7.90713
49 	24    	1.65372	1.97824	0.000140701	7.90164
50 	24    	1.62285	1.96698	0.000163145	8.59482
51 	24    	1.60727	1.94875	0.000167917	7.88185
52 	24    	1.60232	1.94086	8.61785e-05	7.85534
53 	24    	1.5967 	1.93032	0.0001158  	7.85534
54 	24    	1.58735	1.91169	0.000106772	7.83715
55 	24    	1.56823	1.8727 	6.63426e-05	7.25607
56 	24    	1.56582	1.86873	6.63426e-05	7.1009 
57 	24    	1.56518	1.86877	7.6835e-05 	7.10995
58 	24    	1.56471	1.86924	7.6835e-05 	7.12316
59 	24    	1.5645 	1.86962	7.6835e-05 	7.12316
60 	24    	1.56447	1.86986	7.6835e-05 	7.12316
61 	24    	1.56431	1.8698 	7.6835e-05 	7.12316
62 	24    	1.56429	1.86983	7.6835e-05 	7.12316
63 	24    	1.56173	1.87083	0.000136951	7.12316
64 	24    	1.5586 	1.87215	0.000136951	7.12316
65 	24    	1.55508	1.87359	0.000120739	7.12316
66 	24    	1.54701	1.87782	0.000120739	7.12316
67 	24    	1.53715	1.88212	0.000120739	7.18369
68 	24    	1.52654	1.88585	0.000120739	7.11466
69 	24    	1.52586	1.88594	0.000120739	7.12812
70 	24    	1.52559	1.88535	0.000120739	7.12812
71 	24    	1.5253 	1.885  	0.000120739	7.12812
72 	24    	1.52524	1.88477	0.000171406	7.12812
73 	24    	1.52511	1.88481	3.91312e-05	7.06781
74 	24    	1.52506	1.88484	3.91312e-05	7.07556
75 	24    	1.52494	1.88477	3.91312e-05	7.07556
76 	24    	1.52494	1.88477	3.91312e-05	7.07556
77 	24    	1.52488	1.8847 	3.91312e-05	7.07556
78 	24    	1.52262	1.88246	3.91312e-05	7.07684
79 	24    	1.52055	1.88005	3.91312e-05	7.07684
80 	24    	1.5146 	1.87391	3.91312e-05	7.08432
81 	24    	1.50843	1.86754	3.91312e-05	7.42264
82 	24    	1.49451	1.85337	3.91312e-05	7.42264
83 	24    	1.47927	1.8369 	6.26136e-05	7.42264
84 	24    	1.47625	1.83073	6.26136e-05	7.05766
85 	24    	1.47568	1.82982	6.26136e-05	7.05766
86 	24    	1.47555	1.82927	6.26136e-05	7.04437
87 	24    	1.47541	1.8284 	6.26136e-05	7.03571
88 	24    	1.47532	1.82772	6.26136e-05	7.03098
89 	24    	1.4752 	1.8274 	6.26136e-05	7.03098
90 	24    	1.45997	1.81927	6.26136e-05	7.03098
91 	24    	1.44487	1.81184	6.26136e-05	7.03093
92 	24    	1.41485	1.79651	6.26136e-05	7.06679
93 	24    	1.3848 	1.78029	6.26136e-05	7.06679
94 	24    	1.32936	1.75551	6.26136e-05	8.55107
95 	24    	1.25441	1.74907	4.61802e-05	11.6156
96 	24    	1.12846	1.63535	4.61802e-05	8.55107
97 	24    	1.11535	1.60541	7.91742e-05	7.07623
98 	24    	1.11464	1.60339	7.91742e-05	7.06091
99 	24    	1.11442	1.60264	0.000111698	7.05501
100	24    	1.11405	1.60154	0.000111698	7.05721
101	24    	1.11391	1.60055	6.45357e-05	7.05721
102	24    	1.11339	1.59881	0.000111698	7.03686
103	24    	1.1133 	1.59857	3.52025e-05	7.03686
104	24    	1.1133 	1.59857	3.52025e-05	7.03686
105	24    	1.11329	1.59879	3.52025e-05	7.03686
106	24    	1.11326	1.59849	3.52025e-05	7.01607
107	24    	1.11319	1.59865	3.52025e-05	7.01607
108	24    	1.11298	1.59802	3.52025e-05	7.01607
109	24    	1.11286	1.59717	3.52025e-05	7.01486
110	24    	1.11274	1.59683	4.83237e-05	7.01486
111	24    	1.11269	1.5964 	4.83237e-05	7.01486
112	24    	1.11269	1.5964 	4.83237e-05	7.01486
113	24    	1.11269	1.59609	4.83237e-05	7.01486
114	24    	1.11262	1.59648	4.83237e-05	7.11081
115	24    	1.11262	1.59648	4.83237e-05	7.11081
116	24    	1.11262	1.5967 	4.83237e-05	7.11081
117	24    	1.11262	1.5967 	4.83237e-05	7.11081
118	24    	1.11258	1.5969 	4.83237e-05	7.11081
