slurmstepd: error: task/cgroup: unable to add task[pid=11417] to memory cg '(null)'
preds
ITGB1
['ICAM1', 'F11R', 'ITGB7']
preds
ITGAL
['JAM3', 'MADCAM1', 'ICAM1']
preds
CD226
['CD28', 'ITGA4', 'ITGAL']
preds
ITGA4
['CD28', 'JAM3', 'SELL']
preds
ICAM1
['ITGB1', 'ICAM3', 'F11R']
preds
JAM3
['PTPRC', 'MADCAM1', 'NTNG2']
preds
F11R
['ICAM1', 'ITGB1', 'ITGAL']
gen	nevals	avg  	std    	min        	max    
0  	24    	4.633	5.72434	9.28693e-05	23.1651
1  	24    	3.99469	4.76979	0.000139588	23.1651
2  	24    	3.39689	3.88198	0.000139588	20.4517
3  	24    	3.20146	3.43499	0.000164871	19.9818
4  	24    	3.13151	3.44004	0.000125395	19.9818
5  	24    	3.06597	3.51693	0.000125395	20.1849
6  	24    	2.99777	3.67694	0.0001477  	20.1849
7  	24    	2.88693	3.69387	0.0001477  	20.1541
8  	24    	2.75279	3.55279	9.07817e-05	20.1562
9  	24    	2.59249	3.21967	0.000132881	18.3371
10 	24    	2.53038	3.11647	9.54553e-05	18.3371
11 	24    	2.40355	2.95352	6.59746e-05	12.2003
12 	24    	2.30982	2.86737	0.000103636	11.4261
13 	24    	2.28605	2.77832	8.29199e-05	9.90329
14 	24    	2.22675	2.67303	0.000103636	9.92472
15 	24    	2.17355	2.61457	2.62349e-05	9.53405
16 	24    	2.16339	2.60286	6.90398e-05	9.52624
17 	24    	2.15441	2.59461	0.000103636	9.52585
18 	24    	2.15179	2.59363	0.0001081  	9.52078
19 	24    	2.15142	2.59362	0.000106893	9.51843
20 	24    	2.15135	2.59362	0.000106893	9.52488
21 	24    	2.15064	2.59497	0.000106893	9.53139
22 	24    	2.15037	2.59477	0.000106893	9.53139
23 	24    	2.14789	2.59374	0.000106893	9.53139
24 	24    	2.14033	2.59842	0.000106893	9.53139
25 	24    	2.13272	2.60281	0.00010114 	9.53139
26 	24    	2.12473	2.5937 	6.03198e-05	9.52922
27 	24    	2.118  	2.56838	6.03198e-05	9.55033
28 	24    	2.11053	2.5387 	6.03198e-05	9.55033
29 	24    	2.10712	2.52907	5.43604e-05	9.53005
30 	24    	2.10694	2.52871	1.52638e-05	9.51909
31 	24    	2.10675	2.52862	1.52638e-05	9.53548
32 	24    	2.1064 	2.52815	1.52638e-05	9.51909
33 	24    	2.10618	2.52797	1.52638e-05	9.51909
34 	24    	2.10601	2.52781	1.52638e-05	9.53409
