slurmstepd: error: task/cgroup: unable to add task[pid=11815] to memory cg '(null)'
preds
ITGB1
['F11R', 'ITGA4', 'CD28']
preds
ITGAL
['ITGA4', 'JAM3', 'GLG1']
preds
CD226
['ITGA4', 'ICAM2', 'ITGAL']
preds
ITGA4
['ICAM2', 'ITGAL', 'MADCAM1']
preds
ICAM1
['ICAM3', 'F11R', 'ITGB7']
preds
JAM3
['CD80', 'CD28', 'CD86']
preds
F11R
['ICAM1', 'ITGB1', 'ICAM2']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.51318	5.80863	4.95102e-05	23.0471
1  	24    	3.9478 	5.10526	4.95102e-05	23.0471
2  	24    	3.65667	4.67764	6.8521e-05 	23.0471
3  	24    	3.4578 	4.26366	5.30806e-05	23.0471
4  	24    	3.27081	3.95718	5.30806e-05	23.0471
5  	24    	3.21552	3.78558	0.000107995	22.2477
6  	24    	3.13309	3.82054	0.000108962	19.691 
7  	24    	3.04328	3.58036	0.000142386	19.691 
8  	24    	3.00478	3.53718	6.2076e-05 	19.691 
9  	24    	2.92441	3.5883 	6.2076e-05 	19.691 
10 	24    	2.81003	3.20139	0.000166827	18.0341
11 	24    	2.76309	3.27308	0.000136135	14.964 
12 	24    	2.72981	3.06726	0.000196782	14.964 
13 	24    	2.6979 	3.00937	0.000153137	14.9708
14 	24    	2.67039	3.0734 	0.00019103 	14.9708
15 	24    	2.64938	2.96896	0.00019103 	14.9708
16 	24    	2.63708	2.96474	0.000198886	13.5023
17 	24    	2.63005	2.96263	0.000198886	13.5023
18 	24    	2.60185	2.97137	0.000215856	13.5063
19 	24    	2.57565	2.88121	0.000215856	13.5042
20 	24    	2.5291 	2.43331	0.000145965	6.84966
21 	24    	2.52259	2.42931	7.6231e-05 	6.84415
22 	24    	2.50243	2.41464	7.6231e-05 	7.02407
23 	24    	2.48329	2.40311	7.6231e-05 	7.02407
24 	24    	2.45045	2.37529	0.000136073	7.02407
25 	24    	2.44337	2.36399	0.000120111	7.02407
26 	24    	2.43193	2.35295	0.000114862	7.02564
27 	24    	2.41508	2.33688	6.53425e-05	7.02961
28 	24    	2.40862	2.3317 	0.000130056	7.01583
29 	24    	2.39345	2.31834	0.000141776	6.84522
30 	24    	2.3886 	2.31091	4.17439e-05	6.84595
31 	24    	2.38629	2.30725	4.17439e-05	6.84655
32 	24    	2.37102	2.28234	6.98637e-05	6.84655
33 	24    	2.34546	2.24053	6.98637e-05	6.83805
34 	24    	2.34279	2.23509	6.98637e-05	5.71821
35 	24    	2.34245	2.23486	9.32906e-05	5.71821
36 	24    	2.34017	2.23288	5.37076e-05	5.71821
37 	24    	2.33577	2.22919	6.79192e-05	5.71821
38 	24    	2.3252 	2.21998	6.79192e-05	5.72239
39 	24    	2.31239	2.2088 	6.79192e-05	5.72239
40 	24    	2.2916 	2.18998	6.79192e-05	5.72239
41 	24    	2.29141	2.18981	6.79192e-05	5.71753
42 	24    	2.2912 	2.18959	1.59237e-05	5.71367
43 	24    	2.2911 	2.18946	6.79192e-05	5.71367
44 	24    	2.29055	2.18923	6.79192e-05	5.71367
45 	24    	2.29002	2.18861	0.000120113	5.71367
46 	24    	2.28934	2.18781	0.000150822	5.71182
47 	24    	2.289  	2.1874 	0.000150822	5.70071
48 	24    	2.28848	2.18708	7.11006e-05	5.70071
49 	24    	2.28796	2.18674	7.28647e-05	5.70071
50 	24    	2.28757	2.1864 	7.28647e-05	5.6517 
51 	24    	2.28726	2.18619	7.28647e-05	5.63961
52 	24    	2.28699	2.18601	6.16077e-05	5.63353
53 	24    	2.28689	2.18595	6.16077e-05	5.63994
54 	24    	2.28677	2.18589	6.16077e-05	5.63782
55 	24    	2.28676	2.18584	6.16077e-05	5.63782
56 	24    	2.28665	2.18575	7.28647e-05	5.63782
57 	24    	2.28597	2.18541	7.28647e-05	5.63782
58 	24    	2.28593	2.18539	7.28647e-05	5.63782
59 	24    	2.28593	2.18537	7.28647e-05	5.63782
60 	24    	2.28472	2.18491	7.28647e-05	5.63782
61 	24    	2.28356	2.18461	7.28647e-05	5.65444
62 	24    	2.27557	2.18303	0.000121096	6.0677 
63 	24    	2.27057	2.18184	0.000124262	6.0677 
64 	24    	2.2634 	2.1801 	0.000121988	6.0677 
65 	24    	2.25807	2.17908	0.000121988	6.07417
66 	24    	2.23738	2.17838	9.94829e-05	6.07808
67 	24    	2.20355	2.18077	0.000104404	6.85416
68 	24    	2.17642	2.18466	0.000102076	6.07939
69 	24    	2.17212	2.18471	0.000102076	6.08917
70 	24    	2.17144	2.18448	0.000102076	6.08219
71 	24    	2.16876	2.18524	8.90516e-05	6.08219
72 	24    	2.16847	2.18521	8.90516e-05	6.09188
