slurmstepd: error: task/cgroup: unable to add task[pid=11333] to memory cg '(null)'
preds
ITGB1
['ITGA4', 'CD226', 'CD28']
preds
ITGAL
['CD22', 'ICAM3', 'F11R']
preds
CD226
['JAM3', 'GLG1', 'F11R']
preds
ITGA4
['ICAM2', 'MADCAM1', 'ICAM3']
preds
ICAM1
['F11R', 'CD28', 'MADCAM1']
preds
JAM3
['SELPLG', 'CD28', 'CD226']
preds
F11R
['ICAM1', 'ITGA4', 'ITGAL']
gen	nevals	avg    	std   	min        	max    
0  	24    	5.27801	6.4822	8.68019e-06	23.1651
1  	24    	4.46092	5.65384	5.74531e-05	23.1651
2  	24    	4.06639	5.26823	0.000125997	23.1651
3  	24    	3.71534	4.82651	0.000125997	23.1651
4  	24    	3.39195	4.44054	0.000100791	23.1651
5  	24    	3.26502	4.29094	9.57482e-05	23.1651
6  	24    	3.10815	3.91802	9.57482e-05	19.6758
7  	24    	3.00339	3.7912 	9.57482e-05	14.8175
8  	24    	2.95914	3.80516	9.57482e-05	14.8203
9  	24    	2.927  	3.65608	9.57482e-05	14.8125
10 	24    	2.89374	3.61457	9.57482e-05	14.8068
11 	24    	2.86449	3.27205	9.57482e-05	14.7689
12 	24    	2.81957	3.04977	7.05149e-05	13.4452
13 	24    	2.76914	2.92541	4.88875e-05	13.4452
14 	24    	2.72867	2.82897	4.88875e-05	13.4452
15 	24    	2.70592	2.80998	4.88875e-05	13.5541
16 	24    	2.68266	2.83427	4.88875e-05	13.5541
17 	24    	2.66671	2.8294 	4.88875e-05	13.5541
18 	24    	2.6134 	2.80061	9.43454e-05	13.5541
19 	24    	2.56102	2.60245	0.000147483	13.5417
20 	24    	2.524  	2.58164	6.33538e-05	10.1844
21 	24    	2.50996	2.59691	6.33538e-05	10.1844
22 	24    	2.47725	2.65386	0.000107115	10.2327
23 	24    	2.41003	2.76941	0.000107115	10.2327
24 	24    	2.32611	2.68002	0.00015691 	10.1293
25 	24    	2.32287	2.71146	0.00014035 	10.1353
26 	24    	2.32035	2.74331	6.85458e-05	10.1353
27 	24    	2.31938	2.74186	6.85458e-05	10.1264
28 	24    	2.31813	2.74028	0.000120529	10.1136
29 	24    	2.31712	2.73864	0.000120529	10.1323
30 	24    	2.3134 	2.73211	0.000104256	10.1323
31 	24    	2.31162	2.72914	0.000104256	10.1323
32 	24    	2.30463	2.7164 	0.000176616	10.1323
33 	24    	2.29726	2.70358	9.43911e-05	9.65539
34 	24    	2.29643	2.70349	7.59126e-05	9.65133
35 	24    	2.29616	2.7037 	7.59126e-05	9.67595
36 	24    	2.29588	2.70385	7.59126e-05	9.67595
37 	24    	2.29583	2.70367	7.59126e-05	9.67595
38 	24    	2.29574	2.70337	7.59126e-05	9.68073
39 	24    	2.29553	2.7038 	7.59126e-05	9.68073
40 	24    	2.29505	2.70406	7.59126e-05	9.68073
41 	24    	2.29455	2.70397	7.59126e-05	9.68073
42 	24    	2.29372	2.70432	7.59126e-05	9.68073
43 	24    	2.29329	2.70465	7.59126e-05	9.68073
44 	24    	2.29087	2.70531	7.59126e-05	9.68073
45 	24    	2.28826	2.70646	7.59126e-05	9.68073
46 	24    	2.28589	2.70666	0.000137714	9.67024
47 	24    	2.28546	2.70623	0.000190116	9.67024
48 	24    	2.28506	2.70595	9.43473e-05	9.67024
49 	24    	2.2849 	2.70608	9.43473e-05	9.67024
50 	24    	2.28485	2.70609	9.43473e-05	9.67024
51 	24    	2.28483	2.70598	0.000169443	9.67024
52 	24    	2.2848 	2.70597	0.000169443	9.67024
53 	24    	2.28472	2.70587	0.000169443	9.66972
54 	24    	2.28472	2.70587	0.000169443	9.66972
55 	24    	2.28472	2.70587	0.000169443	9.66972
56 	24    	2.28471	2.70569	0.000164179	9.66972
57 	24    	2.28463	2.70611	0.000164179	9.67958
58 	24    	2.28459	2.70611	0.000164179	9.67958
59 	24    	2.28456	2.70638	0.000164179	9.67958
60 	24    	2.28456	2.70638	0.000164179	9.67958
61 	24    	2.28449	2.70642	0.000164179	9.67958
62 	24    	2.28447	2.70641	0.000164179	9.67958
63 	24    	2.28445	2.70646	2.46661e-05	9.67958
64 	24    	2.28443	2.70634	2.46661e-05	9.67958
65 	24    	2.28246	2.70227	2.46661e-05	10.0653
66 	24    	2.2785 	2.69382	2.46661e-05	10.0653
67 	24    	2.27462	2.68546	2.46661e-05	10.0653
68 	24    	2.27073	2.67707	2.46661e-05	10.0653
69 	24    	2.25891	2.65207	0.000123313	10.1027
70 	24    	2.23715	2.60458	0.000123313	10.1027
71 	24    	2.23651	2.60419	0.000123313	10.1027
72 	24    	2.23631	2.60385	0.000124749	10.1084
73 	24    	2.23603	2.604  	4.78662e-05	10.1159
74 	24    	2.23581	2.60412	4.78662e-05	10.1084
75 	24    	2.23541	2.60498	6.60636e-05	10.0875
76 	24    	2.23486	2.60582	6.60636e-05	10.0785
77 	24    	2.23416	2.60722	7.75214e-05	10.0785
78 	24    	2.23365	2.60944	7.75214e-05	10.0785
79 	24    	2.23106	2.59159	9.7393e-05 	10.0541
80 	24    	2.22962	2.55853	9.7393e-05 	10.0365
81 	24    	2.22909	2.54721	0.000118931	10.0365
82 	24    	2.2278 	2.50144	8.82431e-05	10.0256
83 	24    	2.22463	2.40932	0.000155806	10.0256
84 	24    	2.22017	2.33799	0.000127687	7.38558
85 	24    	2.21454	2.34105	0.000127696	7.38558
86 	24    	2.20929	2.34604	0.000155138	7.41116
87 	24    	2.19692	2.3593 	0.000102651	7.41116
88 	24    	2.19336	2.35614	6.38321e-05	7.38558
89 	24    	2.19134	2.35467	0.000102651	7.39437
90 	24    	2.18812	2.3561 	0.000118452	7.39437
91 	24    	2.18395	2.35984	0.000116315	7.36001
92 	24    	2.18132	2.35813	9.01896e-05	7.05403
93 	24    	2.18075	2.35701	0.000116315	6.9993 
94 	24    	2.18024	2.35638	0.000116315	7.00006
95 	24    	2.18007	2.35658	0.000116315	7.00006
96 	24    	2.17988	2.3555 	0.000116315	6.99299
97 	24    	2.17982	2.3553 	0.000121354	7.01907
98 	24    	2.17972	2.35518	0.000111085	7.01907
99 	24    	2.17965	2.35657	0.000111085	7.01907
100	24    	2.17961	2.35673	0.000111085	7.01907
101	24    	2.17961	2.35673	0.000111085	7.01907
102	24    	2.17955	2.3563 	5.72729e-05	7.00414
103	24    	2.17929	2.35599	5.72729e-05	7.02181
104	24    	2.17915	2.3572 	5.72729e-05	7.02181
105	24    	2.17882	2.35681	5.72729e-05	7.02181
106	24    	2.17863	2.35834	5.72729e-05	7.02181
107	24    	2.17831	2.35785	5.72729e-05	7.02181
108	24    	2.17629	2.35736	3.76487e-05	7.02254
109	24    	2.17005	2.3526 	3.76487e-05	7.02704
110	24    	2.16371	2.34737	3.76487e-05	7.02704
111	24    	2.15832	2.34488	3.76487e-05	7.02704
112	24    	2.1481 	2.34024	3.76487e-05	7.02704
113	24    	2.13303	2.3335 	3.76487e-05	7.02704
114	24    	2.09589	2.30545	7.22786e-05	7.02704
115	24    	2.0675 	2.28403	8.4228e-05 	7.03565
116	24    	2.05534	2.27488	8.4228e-05 	7.03565
117	24    	2.05386	2.2729 	0.000112597	7.01282
118	24    	2.05339	2.27213	0.000112597	7.01282
119	24    	2.05303	2.2713 	0.000120908	6.97952
120	24    	2.04987	2.27074	0.000120908	8.02048
--- 8188.277327537537 seconds ---
ran GA
