slurmstepd: error: task/cgroup: unable to add task[pid=11770] to memory cg '(null)'
preds
ITGB1
['F11R', 'CD22', 'ITGB7']
preds
ITGAL
['ICAM2', 'ITGA4', 'CD86']
preds
CD226
['CD80', 'JAM3', 'ITGAL']
preds
ITGA4
['ICAM2', 'ITGAL', 'JAM3']
preds
ICAM1
['ICAM3', 'F11R', 'CD226']
preds
JAM3
['PTPRC', 'ITGA4', 'ITGAL']
preds
F11R
['ICAM1', 'ITGB1', 'ICAM2']
gen	nevals	avg   	std    	min       	max    
0  	24    	5.1329	6.44099	4.3841e-05	23.1651
1  	24    	4.198 	5.4408 	0.000162855	23.1651
2  	24    	3.81423	5.14127	0.00013191 	23.1651
3  	24    	3.41321	4.7795 	0.000112408	23.1651
4  	24    	3.14529	4.66711	9.73834e-05	23.1651
5  	24    	3.00157	4.47141	0.00015395 	23.1651
6  	24    	2.9677 	4.48073	0.00013334 	23.1651
7  	24    	2.92738	4.41015	0.000120385	23.1651
8  	24    	2.81444	4.03812	0.000116323	23.1651
9  	24    	2.75656	3.83841	6.91591e-05	23.1651
10 	24    	2.69029	3.5695 	8.94345e-05	23.1651
11 	24    	2.64618	3.3607 	0.000159174	11.959 
12 	24    	2.64316	3.35327	0.00011997 	11.8992
13 	24    	2.62113	3.32699	0.00011997 	11.6531
14 	24    	2.59967	3.30216	3.96661e-05	11.6574
15 	24    	2.55791	3.25418	3.96661e-05	11.6574
16 	24    	2.48376	3.16478	0.000109311	11.6531
17 	24    	2.47963	3.16185	9.6801e-05 	11.6531
18 	24    	2.47621	3.1587 	0.000139803	11.646 
19 	24    	2.4729 	3.15635	0.000117703	11.646 
20 	24    	2.46692	3.15117	0.000199731	11.646 
21 	24    	2.46109	3.14607	0.000197316	11.646 
22 	24    	2.44079	3.12875	0.000127702	11.646 
23 	24    	2.40821	3.09922	0.000127702	11.6481
24 	24    	2.40702	3.0981 	0.000154546	11.646 
25 	24    	2.40679	3.09765	0.000154546	11.6448
26 	24    	2.40344	3.0884 	0.000206074	11.6448
27 	24    	2.39692	3.07005	0.000127365	11.646 
28 	24    	2.38387	3.03462	0.000127365	11.646 
29 	24    	2.36792	2.9928 	0.000127365	11.6448
30 	24    	2.34214	2.91688	0.000127365	11.6349
31 	24    	2.31685	2.85279	0.000179581	11.6113
32 	24    	2.3002 	2.82477	2.13147e-05	11.6129
33 	24    	2.27452	2.7848 	2.13147e-05	11.6129
34 	24    	2.25261	2.75131	2.13147e-05	11.6163
35 	24    	2.25116	2.75093	2.13147e-05	11.5918
36 	24    	2.24845	2.74794	0.000147206	11.6081
37 	24    	2.24107	2.73867	8.44255e-05	11.6081
38 	24    	2.23167	2.72888	8.91581e-05	11.6112
39 	24    	2.22356	2.71828	8.91581e-05	11.6112
40 	24    	2.2152 	2.69432	2.23516e-05	11.5658
41 	24    	2.20478	2.6664 	2.23516e-05	11.6063
42 	24    	2.19204	2.64034	2.23516e-05	11.6063
43 	24    	2.15503	2.54748	2.23516e-05	11.5348
44 	24    	2.13072	2.47282	2.23516e-05	11.5348
45 	24    	2.10005	2.36019	2.23516e-05	11.3447
46 	24    	2.0789 	2.26598	0.000101154	6.36009
47 	24    	2.07239	2.25309	0.000101154	6.36633
48 	24    	2.04936	2.20417	0.000102808	6.36633
49 	24    	2.0207 	2.14127	0.000123748	6.36633
50 	24    	2.01968	2.13996	1.15956e-05	6.36905
51 	24    	2.01938	2.13964	1.15956e-05	6.36905
52 	24    	2.01926	2.13951	0.000130834	6.36905
53 	24    	2.01906	2.13941	0.000182614	6.36633
54 	24    	2.01895	2.13943	0.000182614	6.36633
55 	24    	2.01869	2.13918	0.000114847	6.36633
56 	24    	2.01797	2.13907	0.000114847	6.36641
57 	24    	2.01783	2.13884	0.000114847	6.36682
58 	24    	2.01731	2.13869	0.000114847	6.36682
59 	24    	2.01678	2.13929	0.000114847	6.36682
60 	24    	2.01538	2.13952	0.000114847	6.36682
61 	24    	2.01214	2.14075	0.000144252	6.36682
62 	24    	2.01   	2.14259	0.000144252	6.34568
63 	24    	2.00905	2.1426 	0.000144252	6.34568
64 	24    	2.00817	2.14137	4.72567e-05	6.34079
65 	24    	2.00804	2.14127	4.72567e-05	6.34245
66 	24    	2.00791	2.14113	4.72567e-05	6.34479
67 	24    	2.00779	2.14098	4.72567e-05	6.34479
68 	24    	2.004  	2.13577	0.000140773	6.34479
69 	24    	2.00396	2.1357 	0.000140773	6.34479
70 	24    	2.00004	2.13018	0.000140773	6.34479
71 	24    	1.9962 	2.12465	0.000140773	6.34479
72 	24    	1.98857	2.11364	0.000217179	6.34356
73 	24    	1.97002	2.08545	0.000217179	6.34038
74 	24    	1.94099	2.04054	0.000255559	6.34038
75 	24    	1.91678	2.00507	0.000153667	5.46757
76 	24    	1.91558	2.00554	6.33434e-05	5.91812
77 	24    	1.9145 	2.00739	6.33434e-05	5.91812
78 	24    	1.91337	2.01041	0.000133826	5.92293
79 	24    	1.91286	2.01248	0.000133826	5.92293
80 	24    	1.91007	2.02195	0.000116318	5.92293
81 	24    	1.90748	2.029  	8.16896e-05	5.9242 
82 	24    	1.90693	2.02869	8.16896e-05	5.92668
83 	24    	1.90661	2.02841	7.25101e-05	5.92668
84 	24    	1.90658	2.02834	7.25101e-05	5.92668
85 	24    	1.90607	2.02825	8.16896e-05	5.92398
86 	24    	1.90597	2.02819	8.16896e-05	5.92398
87 	24    	1.9059 	2.02815	0.000174978	5.92398
88 	24    	1.90578	2.02809	0.000174978	5.92398
89 	24    	1.90561	2.02788	0.000174978	5.92642
90 	24    	1.90553	2.02795	0.000177552	5.92642
91 	24    	1.90552	2.02794	0.000177552	5.92642
92 	24    	1.90533	2.02789	0.000177552	5.92642
93 	24    	1.90516	2.02768	0.000177552	5.92642
94 	24    	1.90496	2.0276 	1.56947e-05	5.92642
95 	24    	1.90488	2.02748	1.56947e-05	5.92642
96 	24    	1.90478	2.02743	1.56947e-05	5.92758
97 	24    	1.90472	2.02744	1.56947e-05	5.92758
98 	24    	1.9043 	2.02727	1.56947e-05	5.92758
99 	24    	1.9038 	2.02703	1.56947e-05	5.92722
100	24    	1.90303	2.02675	1.56947e-05	5.93019
101	24    	1.90266	2.02647	1.56947e-05	5.93019
102	24    	1.90224	2.02622	1.56947e-05	5.93019
103	24    	1.90182	2.02606	1.56947e-05	5.93019
104	24    	1.90153	2.02598	1.56947e-05	5.93019
105	24    	1.90114	2.02576	7.98964e-05	5.93019
106	24    	1.90088	2.02532	7.98964e-05	5.93019
107	24    	1.90083	2.02535	7.98964e-05	5.93019
108	24    	1.90072	2.02518	0.000101976	5.93019
109	24    	1.90067	2.02528	0.000101976	5.93019
110	24    	1.90062	2.02537	0.000101976	5.93019
111	24    	1.90054	2.02528	0.000159914	5.93019
112	24    	1.90054	2.02528	0.000159914	5.93019
113	24    	1.90049	2.02523	0.000128934	5.93019
114	24    	1.9004 	2.02507	0.000128934	5.93019
115	24    	1.9004 	2.02521	0.000159914	5.93019
116	24    	1.90034	2.02518	0.000159914	5.93019
117	24    	1.90027	2.02504	0.000159914	5.93201
118	24    	1.90021	2.02501	0.000159914	5.93201
119	24    	1.90006	2.02491	0.000159914	5.93201
120	24    	1.90003	2.02485	0.000159914	5.93019
--- 7919.635393381119 seconds ---
ran GA
