slurmstepd: error: task/cgroup: unable to add task[pid=11324] to memory cg '(null)'
preds
ITGB1
['GLG1', 'ICAM2', 'ITGA4']
preds
ITGAL
['ICAM2', 'JAM3', 'ICAM1']
preds
CD226
['JAM3', 'MADCAM1', 'ICAM2']
preds
ITGA4
['JAM3', 'MADCAM1', 'ICAM3']
preds
ICAM1
['F11R', 'ITGAL', 'CD22']
preds
JAM3
['CD86', 'ITGA4', 'ITGAL']
preds
F11R
['ICAM1', 'ITGAL', 'CD226']
gen	nevals	avg    	std    	min        	max    
0  	24    	5.12058	6.28472	0.000142969	23.1651
1  	24    	4.32059	5.22244	0.000143136	23.0936
2  	24    	3.70104	4.09291	0.000143136	22.1386
3  	24    	3.38113	3.44913	7.99564e-05	18.0492
4  	24    	3.17706	3.12922	7.99564e-05	17.9971
5  	24    	3.0917 	2.95187	7.99564e-05	15.0941
6  	24    	2.96049	2.82913	7.99564e-05	10.7174
7  	24    	2.90338	2.81976	0.000118439	10.7174
8  	24    	2.83598	2.82699	0.000106015	12.5058
9  	24    	2.77184	2.94384	0.000134943	12.5058
10 	24    	2.73395	2.96852	9.93044e-05	12.5058
11 	24    	2.71504	2.92817	9.93044e-05	12.5058
12 	24    	2.67992	2.9284 	6.79157e-05	12.6551
13 	24    	2.65726	3.00976	6.79157e-05	10.2891
14 	24    	2.65712	3.00969	6.79157e-05	10.2891
15 	24    	2.65667	3.0044 	6.79157e-05	10.2918
16 	24    	2.65095	2.97009	0.000127149	10.2918
17 	24    	2.64845	2.93872	1.14531e-05	10.3007
18 	24    	2.64027	2.86951	1.14531e-05	10.5612
19 	24    	2.62598	2.83685	8.29803e-05	10.5612
20 	24    	2.59923	2.78698	8.29803e-05	10.5612
21 	24    	2.56277	2.69794	0.000125475	10.4378
22 	24    	2.52961	2.65574	0.000125475	10.3892
23 	24    	2.50874	2.61443	0.000145109	10.5213
24 	24    	2.50665	2.61718	0.000145109	10.5213
25 	24    	2.50523	2.62318	4.60404e-05	10.5271
26 	24    	2.50041	2.64679	4.60404e-05	10.5314
27 	24    	2.49485	2.65319	0.000194966	10.5119
28 	24    	2.49176	2.63059	0.000163947	10.5119
29 	24    	2.49065	2.63765	1.93092e-05	10.524 
30 	24    	2.48366	2.65038	0.000141188	10.524 
31 	24    	2.47395	2.64167	9.88189e-05	9.89924
32 	24    	2.4624 	2.67987	5.69716e-05	9.92719
33 	24    	2.45555	2.65724	9.88189e-05	9.97791
34 	24    	2.44022	2.57889	9.88189e-05	9.9793 
35 	24    	2.42923	2.49934	9.88189e-05	9.80745
36 	24    	2.42886	2.499  	9.88189e-05	9.79604
37 	24    	2.42864	2.49898	0.00011998 	9.79716
38 	24    	2.42859	2.49893	0.000146535	9.79716
39 	24    	2.42855	2.49893	0.000143351	9.79576
40 	24    	2.42849	2.49883	8.01796e-05	9.79327
41 	24    	2.42841	2.49886	8.01796e-05	9.79951
42 	24    	2.42836	2.49882	8.01796e-05	9.79951
43 	24    	2.42836	2.49882	8.01796e-05	9.79951
