slurmstepd: error: task/cgroup: unable to add task[pid=11655] to memory cg '(null)'
preds
ITGB1
['F11R', 'ICAM3', 'ITGAL']
preds
ITGAL
['ICAM2', 'ITGA4', 'CD86']
preds
CD226
['JAM3', 'ICAM2', 'ITGAL']
preds
ITGA4
['ITGAL', 'JAM3', 'MADCAM1']
preds
ICAM1
['F11R', 'ITGA4', 'CD226']
preds
JAM3
['SELPLG', 'ITGA4', 'CD226']
preds
F11R
['ICAM1', 'ITGB1', 'CD226']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.74626	5.81565	8.04741e-05	23.0471
1  	24    	4.15803	5.16544	9.61592e-05	23.0471
2  	24    	3.73443	4.62454	9.61592e-05	23.0471
3  	24    	3.45002	4.38848	9.61592e-05	23.0471
4  	24    	3.26655	3.99473	0.000143161	19.1066
5  	24    	2.97378	3.87256	0.000143161	23.0471
6  	24    	2.8192 	3.65924	5.53387e-05	19.2503
7  	24    	2.78336	3.59375	0.000203102	19.2537
8  	24    	2.75183	3.5764 	0.000105691	19.2985
9  	24    	2.72226	3.62907	0.000105691	19.2985
10 	24    	2.65353	3.58631	0.000113443	19.3143
11 	24    	2.62147	3.51431	0.000101388	19.3143
12 	24    	2.59279	3.06267	0.000101388	19.2735
13 	24    	2.55387	2.80882	0.000218825	10.0434
14 	24    	2.49561	2.74717	0.000123529	10.0376
15 	24    	2.41847	2.66071	0.000115156	10.0272
16 	24    	2.35281	2.57676	9.60034e-05	9.93896
17 	24    	2.3456 	2.57163	9.60034e-05	9.94861
18 	24    	2.33277	2.55223	0.000118649	9.95567
19 	24    	2.33169	2.55106	0.000118649	9.94861
20 	24    	2.33158	2.55064	9.57254e-05	9.94861
21 	24    	2.33143	2.5506 	9.57254e-05	9.93187
22 	24    	2.33124	2.55132	9.57254e-05	9.95396
23 	24    	2.33114	2.55108	9.57254e-05	9.95396
24 	24    	2.33105	2.55087	9.57254e-05	9.95396
25 	24    	2.3303 	2.55195	0.000168566	9.97398
26 	24    	2.32789	2.54675	0.000168566	9.97398
27 	24    	2.31974	2.51601	0.000168566	9.97063
28 	24    	2.30965	2.46958	0.000177669	9.97063
29 	24    	2.29013	2.37656	0.000131976	9.06968
30 	24    	2.28453	2.36367	0.000177669	7.4709 
