preds
ITGB1
['F11R', 'ITGAL', 'ICOSLG']
preds
ITGAL
['ICAM2', 'CD86', 'SELPLG']
preds
CD226
['CD28', 'JAM3', 'ITGA4']
preds
ITGA4
['JAM3', 'MADCAM1', 'F11R']
preds
ICAM1
['ICAM3', 'F11R', 'CD22']
preds
JAM3
['CD80', 'ITGA4', 'CD226']
preds
F11R
['ICAM1', 'ITGB1', 'ITGA4']
gen	nevals	avg    	std    	min        	max    
0  	24    	3.80699	4.88066	0.000130171	23.0936
1  	24    	3.27629	4.10296	7.52238e-05	22.1386
2  	24    	3.0307 	3.68226	0.000149904	22.1386
3  	24    	2.92013	3.53686	0.000117232	22.1386
4  	24    	2.75705	3.15842	0.000117232	22.1386
5  	24    	2.65129	2.84766	0.00016544 	16.9305
6  	24    	2.57504	2.75854	9.33734e-05	12.6007
7  	24    	2.46109	2.77609	0.000111065	12.6007
8  	24    	2.37467	2.6814 	0.000111065	12.2563
9  	24    	2.33332	2.65176	0.000136399	11.2672
10 	24    	2.28723	2.64487	0.000131901	11.2672
11 	24    	2.24772	2.66323	3.16878e-05	11.2757
12 	24    	2.20653	2.60116	0.000109385	11.2747
13 	24    	2.16954	2.50557	0.000109385	8.06638
14 	24    	2.12258	2.4459 	0.000109385	8.07351
15 	24    	2.07702	2.3739 	0.000102986	7.39635
16 	24    	2.05616	2.35653	0.000109385	7.40099
17 	24    	2.04805	2.35146	0.000233284	7.4013 
18 	24    	2.03865	2.34494	0.000128404	7.40799
19 	24    	2.03675	2.34741	0.000128404	7.40799
20 	24    	2.03351	2.34409	0.000128404	7.40799
21 	24    	2.03079	2.33824	0.000128404	7.38151
22 	24    	2.02805	2.33458	0.00012414 	7.17549
23 	24    	2.02613	2.33275	0.00012414 	7.17549
24 	24    	2.02249	2.32968	0.000146078	7.17352
25 	24    	2.02113	2.32761	5.18795e-05	7.17199
26 	24    	2.0208 	2.32831	0.000120452	7.17199
27 	24    	2.02063	2.32806	0.000102601	7.17199
28 	24    	2.02022	2.32809	5.07995e-05	7.17508
29 	24    	2.0199 	2.32924	0.000173608	7.17508
30 	24    	2.01952	2.33054	9.95477e-05	7.17199
31 	24    	2.01924	2.33249	9.95477e-05	7.17199
32 	24    	2.01868	2.33408	8.76528e-05	7.17099
33 	24    	2.01823	2.33382	8.76528e-05	7.16943
34 	24    	2.01803	2.33393	0.000155346	7.17034
35 	24    	2.01788	2.33353	0.000155346	7.17151
36 	24    	2.01774	2.33336	0.000155346	7.17151
37 	24    	2.01766	2.33334	0.000155346	7.17312
38 	24    	2.01765	2.33332	0.000155346	7.17312
39 	24    	2.01764	2.33326	0.000155346	7.17312
40 	24    	2.01764	2.33332	0.000155346	7.17312
41 	24    	2.01631	2.33244	0.000112014	7.17312
42 	24    	2.01631	2.33244	0.000112014	7.17312
43 	24    	2.01569	2.33285	0.000112014	7.17312
44 	24    	2.01251	2.33244	0.000112014	7.17312
45 	24    	2.00988	2.33241	0.000112014	7.17312
46 	24    	2.00352	2.33356	6.56012e-05	7.17713
47 	24    	2.00231	2.33139	6.56012e-05	7.17713
48 	24    	1.99869	2.32229	6.56012e-05	7.17196
49 	24    	1.99454	2.31101	0.000111097	6.84017
50 	24    	1.99145	2.3145 	0.000133456	6.82858
51 	24    	1.9876 	2.31259	0.000137592	6.82951
52 	24    	1.98402	2.30901	7.55785e-05	6.84083
53 	24    	1.98363	2.30858	6.70331e-05	6.81714
54 	24    	1.98339	2.30841	0.000143419	6.80372
55 	24    	1.98316	2.30799	9.42379e-05	6.80372
56 	24    	1.98299	2.30758	9.42379e-05	6.79615
57 	24    	1.98281	2.307  	9.42379e-05	6.78587
58 	24    	1.98267	2.30659	9.42379e-05	6.83779
59 	24    	1.98243	2.30604	9.42379e-05	6.83779
60 	24    	1.97694	2.3    	0.000127392	6.85371
61 	24    	1.9763 	2.29772	0.000127392	6.85371
62 	24    	1.97052	2.29069	0.000127392	6.85371
63 	24    	1.96503	2.28352	0.000119463	6.84649
64 	24    	1.95484	2.27393	0.000119463	6.84649
65 	24    	1.91992	2.23766	0.000197911	6.84649
66 	24    	1.87541	2.1909 	0.000117209	6.84649
67 	24    	1.85778	2.17082	2.07044e-05	6.83293
68 	24    	1.85501	2.15498	2.07044e-05	6.78956
69 	24    	1.85285	2.14024	2.07044e-05	6.78956
70 	24    	1.84773	2.10151	2.07044e-05	6.77253
71 	24    	1.84307	2.06689	2.07044e-05	6.48377
72 	24    	1.84247	2.06674	0.000107848	6.48377
73 	24    	1.84233	2.06673	0.000107848	6.48377
74 	24    	1.84223	2.06673	0.000107848	6.48377
75 	24    	1.8421 	2.06655	0.000107848	6.47812
76 	24    	1.84197	2.06643	0.000162065	6.47758
77 	24    	1.84189	2.06642	0.000162065	6.47758
78 	24    	1.84184	2.06644	0.000162065	6.47758
79 	24    	1.84093	2.06655	9.17668e-05	6.47758
80 	24    	1.83984	2.06669	9.17668e-05	6.47758
81 	24    	1.83769	2.06765	9.17668e-05	6.47986
82 	24    	1.83363	2.06894	9.17668e-05	6.48021
83 	24    	1.82754	2.07101	6.46841e-05	6.48021
84 	24    	1.82178	2.07115	0.000180496	6.48212
85 	24    	1.81901	2.06911	0.000139851	6.48021
86 	24    	1.81721	2.06879	0.000121545	6.48021
87 	24    	1.81622	2.06901	8.75228e-05	6.48021
88 	24    	1.81587	2.06917	8.75228e-05	6.47989
89 	24    	1.8157 	2.06909	8.75228e-05	6.47989
90 	24    	1.8148 	2.06834	8.75228e-05	6.47822
91 	24    	1.81344	2.06674	2.58643e-05	6.47822
92 	24    	1.81115	2.06491	2.58643e-05	6.48238
93 	24    	1.80647	2.06016	2.58643e-05	6.48238
94 	24    	1.79983	2.05389	2.58643e-05	6.48238
95 	24    	1.79872	2.0542 	5.28562e-05	6.48238
96 	24    	1.79719	2.05511	5.28562e-05	6.48238
97 	24    	1.79585	2.05494	5.28562e-05	6.48238
98 	24    	1.79547	2.05457	5.28562e-05	6.48238
99 	24    	1.7952 	2.05416	5.28562e-05	6.48238
100	24    	1.7951 	2.05406	0.000132283	6.48238
101	24    	1.79503	2.05404	6.74939e-05	6.48238
102	24    	1.7949 	2.05404	6.74939e-05	6.48238
103	24    	1.79482	2.05412	6.74939e-05	6.48238
104	24    	1.7947 	2.05402	6.74939e-05	6.48023
105	24    	1.79462	2.05403	6.74939e-05	6.48023
106	24    	1.79459	2.05399	6.74939e-05	6.48023
107	24    	1.79459	2.05396	6.74939e-05	6.48023
108	24    	1.79453	2.05395	6.74939e-05	6.48023
109	24    	1.79453	2.05399	6.74939e-05	6.48023
110	24    	1.79446	2.05613	6.74939e-05	6.48023
111	24    	1.79439	2.05833	6.74939e-05	6.48023
112	24    	1.79439	2.05833	6.74939e-05	6.48023
113	24    	1.79431	2.06049	6.74939e-05	6.48023
114	24    	1.79408	2.06042	6.74939e-05	6.48023
115	24    	1.79384	2.06237	6.74939e-05	6.48023
116	24    	1.7936 	2.06217	3.54594e-05	6.48023
117	24    	1.79326	2.06209	3.54594e-05	6.48023
118	24    	1.79249	2.06591	3.54594e-05	6.48023
119	24    	1.79179	2.06531	3.54594e-05	6.48023
120	24    	1.79086	2.06005	3.54594e-05	6.48011
--- 7934.3574957847595 seconds ---
ran GA
