preds
ITGB1
['ICAM1', 'F11R', 'CD28']
preds
ITGAL
['ICAM2', 'SELL', 'JAM3']
preds
CD226
['CD22', 'ICOSLG', 'PTPRC']
preds
ITGA4
['MADCAM1', 'NTNG2', 'ICAM3']
preds
ICAM1
['ITGB1', 'F11R', 'ITGA4']
preds
JAM3
['CD80', 'ITGAL', 'ICAM2']
preds
F11R
['ICAM1', 'ITGB1', 'ITGA4']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.38199	5.82884	0.000132524	23.1651
1  	24    	3.76824	5.06785	9.29148e-05	23.1651
2  	24    	3.40658	4.54605	9.29148e-05	23.1651
3  	24    	3.18528	4.09761	9.29148e-05	20.4667
4  	24    	3.03316	3.9183 	9.29148e-05	20.4559
5  	24    	2.88378	3.69285	9.29148e-05	18.5876
6  	24    	2.7269 	3.41517	0.000149588	18.5768
7  	24    	2.54056	3.01563	0.000117019	12.4714
8  	24    	2.44023	2.98543	0.000117019	12.499 
9  	24    	2.40285	2.95095	0.000128976	12.5372
10 	24    	2.38296	2.93363	0.00011619 	12.4638
11 	24    	2.36053	2.85529	0.00011619 	10.4493
12 	24    	2.32625	2.7226 	0.000128976	12.3768
13 	24    	2.27556	2.65541	0.000173218	9.04719
14 	24    	2.25325	2.63144	0.000149595	9.04719
15 	24    	2.24587	2.62576	0.000128254	9.05855
16 	24    	2.23789	2.60882	0.000128254	9.05855
17 	24    	2.20473	2.56254	0.000105641	9.05855
18 	24    	2.16629	2.48614	0.00013831 	9.04719
19 	24    	2.1589 	2.4749 	0.000124334	8.76582
20 	24    	2.15769	2.47526	0.000124334	8.76582
21 	24    	2.15721	2.47461	0.000124334	8.77457
22 	24    	2.15704	2.47255	0.000124334	8.76492
23 	24    	2.15686	2.4723 	0.000124248	8.76492
24 	24    	2.15652	2.47371	0.000124248	8.76492
25 	24    	2.15645	2.47542	0.000124248	8.76492
26 	24    	2.15617	2.47673	9.94261e-05	8.76492
