preds
ITGB1
['ITGAL', 'ITGA4', 'CD226']
preds
ITGAL
['JAM3', 'ITGB1', 'ICAM1']
preds
CD226
['JAM3', 'MADCAM1', 'ITGA4']
preds
ITGA4
['ICAM2', 'LRRC4', 'CD226']
preds
ICAM1
['F11R', 'ITGAL', 'ICAM2']
preds
JAM3
['CD86', 'MADCAM1', 'ITGAL']
preds
F11R
['ICAM3', 'ICAM1', 'ITGAL']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.81774	5.72556	4.78864e-05	23.1651
1  	24    	4.12458	4.79807	0.000106859	23.1651
2  	24    	3.86161	4.50545	7.91034e-05	22.0402
3  	24    	3.6429 	4.0923 	9.22065e-05	21.6525
4  	24    	3.54942	3.89446	9.22065e-05	20.7222
5  	24    	3.40661	3.56596	9.22065e-05	20.7222
6  	24    	3.30792	3.33553	0.000104366	19.1078
7  	24    	3.25886	3.25247	4.52935e-05	13.537 
8  	24    	3.16863	2.97028	9.90891e-05	13.5487
9  	24    	3.07   	2.75568	9.90891e-05	9.44252
10 	24    	3.04247	2.73751	9.90891e-05	9.44979
11 	24    	3.01066	2.71598	9.90891e-05	9.44252
12 	24    	3.00275	2.70734	0.000110177	9.15597
13 	24    	3.00012	2.70562	0.000110177	9.15597
14 	24    	2.99482	2.70297	0.000110177	9.15597
15 	24    	2.98678	2.71979	1.08568e-05	9.1584 
16 	24    	2.97158	2.71907	8.68254e-05	9.15936
17 	24    	2.95555	2.63283	8.68254e-05	7.55709
18 	24    	2.95521	2.63255	9.23706e-05	7.55709
19 	24    	2.95505	2.63245	8.28824e-05	7.55579
20 	24    	2.95495	2.63231	8.28824e-05	7.55205
21 	24    	2.95342	2.63383	8.28824e-05	7.55205
22 	24    	2.94624	2.64179	6.44966e-05	7.55343
23 	24    	2.93183	2.65785	2.10853e-05	7.55343
24 	24    	2.92184	2.66907	2.10853e-05	7.55597
25 	24    	2.92171	2.66911	2.10853e-05	7.55597
26 	24    	2.92165	2.66904	2.10853e-05	7.55333
27 	24    	2.92161	2.66897	2.10853e-05	7.55333
28 	24    	2.9216 	2.66895	2.10853e-05	7.55333
29 	24    	2.92158	2.66894	2.10853e-05	7.55333
30 	24    	2.92156	2.66891	2.10853e-05	7.55333
31 	24    	2.92154	2.66894	2.10853e-05	7.55228
32 	24    	2.91575	2.66863	2.10853e-05	7.55228
33 	24    	2.90401	2.66795	2.10853e-05	7.55228
34 	24    	2.88649	2.66667	2.10853e-05	7.55228
35 	24    	2.87484	2.66584	9.91936e-05	7.55228
36 	24    	2.84561	2.66334	9.91936e-05	7.55228
37 	24    	2.79891	2.65852	7.56414e-05	7.55228
38 	24    	2.78113	2.65643	9.91936e-05	7.43951
39 	24    	2.78104	2.65638	0.000118807	7.43951
40 	24    	2.7809 	2.6561 	0.00013959 	7.44188
41 	24    	2.78085	2.65604	0.000140808	7.44188
42 	24    	2.78079	2.65605	0.000116445	7.44188
43 	24    	2.78075	2.65612	0.000116445	7.44346
44 	24    	2.78075	2.65612	0.000116445	7.44346
45 	24    	2.78067	2.65614	0.000116445	7.44346
46 	24    	2.78067	2.65611	0.000116445	7.44346
47 	24    	2.78066	2.65612	0.000116445	7.44346
48 	24    	2.78064	2.65611	0.000116445	7.44346
49 	24    	2.78063	2.6561 	0.000116445	7.44346
50 	24    	2.78062	2.65613	0.000116445	7.44346
51 	24    	2.78062	2.65611	0.000116445	7.44346
52 	24    	2.7806 	2.65601	0.000201339	7.44346
53 	24    	2.78059	2.65603	0.000201339	7.44346
54 	24    	2.78059	2.65603	0.000201339	7.44346
55 	24    	2.78058	2.65603	0.000201339	7.44346
56 	24    	2.78054	2.65603	0.000201339	7.44346
57 	24    	2.78051	2.65602	0.000201339	7.44346
58 	24    	2.78051	2.65602	0.000201339	7.44346
59 	24    	2.78049	2.65597	0.000201339	7.44346
60 	24    	2.78048	2.65596	0.000201339	7.44346
61 	24    	2.78048	2.65596	0.000201339	7.44346
62 	24    	2.78046	2.65588	0.000177973	7.44346
63 	24    	2.78046	2.65594	0.000177973	7.44346
64 	24    	2.78046	2.65593	0.000177973	7.44346
65 	24    	2.78045	2.65592	0.000177973	7.44346
66 	24    	2.78038	2.65585	0.000177973	7.44346
67 	24    	2.78038	2.65585	0.000177973	7.44346
68 	24    	2.78038	2.65585	0.000177973	7.44346
69 	24    	2.78038	2.65587	0.000177973	7.44346
70 	24    	2.78037	2.65593	0.000177973	7.44346
71 	24    	2.78037	2.65593	0.000177973	7.44346
72 	24    	2.78037	2.65593	0.000177973	7.44346
73 	24    	2.7803 	2.65573	0.000119932	7.44297
74 	24    	2.78009	2.65534	0.000119932	7.44297
75 	24    	2.77971	2.6547 	0.000119932	7.44297
76 	24    	2.7794 	2.65394	0.000119932	7.44297
77 	24    	2.77877	2.65264	0.000111001	7.42412
78 	24    	2.77851	2.65255	0.000111001	7.42412
79 	24    	2.77838	2.65229	0.000113482	7.4094 
80 	24    	2.77823	2.65224	0.000113482	7.40554
81 	24    	2.77814	2.65226	2.89079e-05	7.41176
82 	24    	2.77811	2.65229	2.89079e-05	7.40559
83 	24    	2.7781 	2.65233	2.89079e-05	7.41175
84 	24    	2.77807	2.65217	2.89079e-05	7.41175
85 	24    	2.778  	2.65204	2.89079e-05	7.41175
86 	24    	2.77789	2.65189	1.61515e-05	7.41175
87 	24    	2.77786	2.65176	1.61515e-05	7.40559
88 	24    	2.77768	2.65148	1.61515e-05	7.40559
89 	24    	2.77746	2.65088	1.61515e-05	7.40559
90 	24    	2.77728	2.65041	1.61515e-05	7.40362
91 	24    	2.77703	2.64961	1.61515e-05	7.40137
92 	24    	2.77689	2.6492 	7.04314e-05	7.39799
93 	24    	2.77678	2.64904	0.000104007	7.39799
94 	24    	2.77671	2.64888	0.000104007	7.36883
95 	24    	2.77663	2.64889	0.000104007	7.36883
96 	24    	2.77661	2.64889	0.000104007	7.36883
97 	24    	2.77648	2.64869	0.000104007	7.36883
98 	24    	2.77644	2.64858	0.000104007	7.36883
99 	24    	2.77638	2.64865	0.000104007	7.36883
100	24    	2.77605	2.64796	0.000104007	7.36867
101	24    	2.77574	2.64732	7.59928e-05	7.36867
102	24    	2.77528	2.64606	7.59928e-05	7.36406
103	24    	2.77432	2.64357	7.59928e-05	7.35788
104	24    	2.77394	2.64289	7.59928e-05	7.33206
105	24    	2.7738 	2.64276	0.000159667	7.33014
106	24    	2.77376	2.64269	9.28739e-05	7.33014
107	24    	2.77358	2.64256	7.4315e-05 	7.33014
108	24    	2.77354	2.6425 	7.4315e-05 	7.32433
109	24    	2.77344	2.6425 	7.4315e-05 	7.32768
110	24    	2.77332	2.64256	5.51952e-05	7.32768
111	24    	2.77328	2.64249	5.51952e-05	7.32674
112	24    	2.77328	2.64249	5.51952e-05	7.32674
113	24    	2.77325	2.64247	5.51952e-05	7.32675
114	24    	2.77325	2.64247	5.51952e-05	7.32675
115	24    	2.77323	2.64246	5.51952e-05	7.32675
116	24    	2.77321	2.64245	5.51952e-05	7.32675
117	24    	2.77319	2.64239	5.51952e-05	7.32675
118	24    	2.77318	2.64236	7.4315e-05 	7.32675
119	24    	2.77317	2.64239	7.4315e-05 	7.32675
120	24    	2.77317	2.64239	7.4315e-05 	7.32675
--- 8215.041675567627 seconds ---
ran GA
