preds
ITGB1
['F11R', 'ITGA4', 'CD28']
preds
ITGAL
['ICAM2', 'JAM3', 'ICAM1']
preds
CD226
['JAM3', 'MADCAM1', 'ITGA4']
preds
ITGA4
['ICAM2', 'JAM3', 'ICAM1']
preds
ICAM1
['F11R', 'ITGAL', 'ITGA4']
preds
JAM3
['ITGA4', 'ITGAL', 'CD226']
preds
F11R
['ICAM1', 'ITGB1', 'ITGAL']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.39297	5.60727	8.86957e-05	23.1651
1  	24    	3.84247	4.77769	6.51248e-05	23.1651
2  	24    	3.69627	4.51337	6.51248e-05	23.1651
3  	24    	3.48019	3.90127	8.86957e-05	22.1386
4  	24    	3.3686 	3.67487	8.86957e-05	14.7461
5  	24    	3.22787	3.44464	5.32238e-05	12.9847
6  	24    	3.06431	3.26012	0.000133969	12.9847
7  	24    	2.96103	3.11116	0.000133969	17.3743
8  	24    	2.87822	2.95306	0.000123232	11.8838
9  	24    	2.8394 	2.97267	4.79649e-05	11.8916
10 	24    	2.79211	2.89893	4.79649e-05	11.88  
11 	24    	2.77093	2.868  	4.79649e-05	11.88  
12 	24    	2.73131	2.82812	7.33008e-05	11.8901
13 	24    	2.68405	2.76286	7.33008e-05	11.8901
14 	24    	2.65108	2.68041	7.33008e-05	9.88908
15 	24    	2.61547	2.63412	7.33008e-05	9.11842
16 	24    	2.58045	2.61223	6.32382e-05	9.13421
17 	24    	2.56281	2.59401	0.000182022	9.13421
18 	24    	2.54421	2.57325	0.000155128	9.12144
19 	24    	2.52651	2.55793	9.72252e-05	9.12144
20 	24    	2.51182	2.55887	4.52992e-05	9.12144
21 	24    	2.51073	2.55732	4.52992e-05	9.10675
22 	24    	2.50989	2.55458	4.52992e-05	9.11876
23 	24    	2.50592	2.54395	0.000136369	9.10546
24 	24    	2.50344	2.5377 	0.000136369	9.11832
25 	24    	2.4963 	2.52321	7.07406e-05	9.11832
26 	24    	2.49109	2.50837	0.000106092	9.13394
27 	24    	2.48069	2.50456	6.55354e-05	9.12506
28 	24    	2.47036	2.49046	0.000175309	9.11965
29 	24    	2.46786	2.47647	4.1821e-05 	9.11733
30 	24    	2.46644	2.47705	9.04038e-05	9.10765
31 	24    	2.46567	2.47911	6.62556e-05	9.10765
32 	24    	2.46454	2.48471	1.81442e-05	9.11799
33 	24    	2.46373	2.48827	1.81442e-05	9.11799
34 	24    	2.46274	2.49204	1.81442e-05	9.12848
35 	24    	2.46161	2.49464	1.81442e-05	9.12521
36 	24    	2.46066	2.49469	1.81442e-05	9.12521
37 	24    	2.46014	2.49437	1.81442e-05	9.12521
38 	24    	2.46003	2.49432	6.57683e-05	9.12401
39 	24    	2.45971	2.49396	6.57683e-05	9.12401
40 	24    	2.45961	2.49385	6.57683e-05	9.12401
41 	24    	2.45831	2.4935 	6.57683e-05	9.12401
42 	24    	2.45563	2.49271	0.000141008	9.09674
43 	24    	2.45192	2.49201	0.000141008	9.11079
44 	24    	2.4482 	2.49129	0.000141008	9.11079
45 	24    	2.44099	2.48975	0.00010343 	9.13153
46 	24    	2.42743	2.48567	0.000174689	9.13153
47 	24    	2.42281	2.48087	5.02903e-05	9.10709
48 	24    	2.40343	2.46363	5.02903e-05	9.11485
49 	24    	2.38753	2.45087	0.000139417	9.12731
50 	24    	2.35284	2.4199 	0.000139202	9.1274 
51 	24    	2.35147	2.41334	0.000139202	9.11623
52 	24    	2.35069	2.40738	7.82504e-05	9.1116 
53 	24    	2.35007	2.40272	7.82504e-05	9.1116 
54 	24    	2.34935	2.39787	7.82504e-05	9.1116 
55 	24    	2.34896	2.39741	7.88721e-05	9.10337
56 	24    	2.34868	2.39712	8.35685e-05	9.10073
57 	24    	2.34858	2.39696	8.35685e-05	9.10073
58 	24    	2.34842	2.39677	0.000136935	9.10919
59 	24    	2.34833	2.39667	0.000136935	9.10919
60 	24    	2.34833	2.39664	0.000136935	9.10919
61 	24    	2.34813	2.39645	0.000136935	9.10073
62 	24    	2.34803	2.39635	0.000136935	9.10073
63 	24    	2.3478 	2.39617	0.000136935	9.09755
64 	24    	2.34769	2.39608	0.000136935	9.09755
65 	24    	2.34754	2.39595	0.000136935	9.09727
66 	24    	2.34746	2.39588	0.000144316	9.09727
67 	24    	2.34746	2.39588	0.000144316	9.09727
68 	24    	2.3472 	2.39587	0.000144316	9.09738
69 	24    	2.34718	2.3959 	0.000144316	9.09738
70 	24    	2.34706	2.39579	7.47682e-05	9.09738
71 	24    	2.34679	2.39578	7.47682e-05	9.09738
72 	24    	2.34611	2.39577	7.47682e-05	9.1136 
73 	24    	2.34576	2.39586	7.47682e-05	9.1195 
74 	24    	2.3438 	2.39608	7.47682e-05	9.1195 
75 	24    	2.34231	2.39607	7.47682e-05	9.1195 
76 	24    	2.33984	2.39667	0.000121995	9.13095
77 	24    	2.33796	2.39602	0.00011704 	9.13095
78 	24    	2.33679	2.38836	0.00011704 	9.13182
79 	24    	2.33543	2.38852	0.000126812	9.13182
80 	24    	2.33451	2.38834	9.58253e-05	9.13182
81 	24    	2.3312 	2.38874	9.58253e-05	9.13182
82 	24    	2.32798	2.389  	9.58253e-05	9.13182
83 	24    	2.32495	2.39757	7.57129e-05	9.13684
84 	24    	2.32341	2.39609	7.57129e-05	9.14239
85 	24    	2.32245	2.39561	7.57129e-05	9.13684
86 	24    	2.32168	2.39518	7.57129e-05	9.13684
87 	24    	2.32128	2.39471	8.29801e-05	9.13684
88 	24    	2.31911	2.39251	9.26538e-05	9.13684
89 	24    	2.31506	2.38841	0.000149421	9.13684
90 	24    	2.31415	2.38758	0.000149421	9.13394
91 	24    	2.31348	2.38699	0.000198475	9.12319
92 	24    	2.31262	2.38662	5.99976e-05	9.12225
