preds
ITGB1
['PTPRC', 'ITGB7', 'SELL']
preds
ITGAL
['ICAM2', 'ITGA4', 'JAM3']
preds
CD226
['JAM3', 'SELPLG', 'ITGA4']
preds
ITGA4
['CD28', 'ITGAL', 'JAM3']
preds
ICAM1
['ICAM3', 'F11R', 'ICAM2']
preds
JAM3
['ITGA4', 'ITGAL', 'CD226']
preds
F11R
['ICAM3', 'ICAM1', 'ITGAL']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.93935	6.21478	0.000100472	23.0471
1  	24    	4.20222	5.43149	0.000100472	23.0471
2  	24    	3.70796	4.79773	3.41052e-05	23.0471
3  	24    	3.36238	4.42341	0.000122356	21.8078
4  	24    	3.05691	3.82281	0.000122356	19.9247
5  	24    	2.81306	3.39741	0.000110759	19.1078
6  	24    	2.74068	3.22718	0.000110759	19.1078
7  	24    	2.66051	3.04793	7.32749e-05	18.137 
8  	24    	2.56571	2.79583	7.32749e-05	18.137 
9  	24    	2.45163	2.65414	7.32749e-05	18.0484
10 	24    	2.36201	2.52289	7.32749e-05	10.0937
11 	24    	2.33019	2.46184	8.01566e-05	11.1252
12 	24    	2.3021 	2.40684	8.01566e-05	11.1252
13 	24    	2.28311	2.36149	7.89644e-05	8.81969
14 	24    	2.26534	2.36031	2.52311e-05	8.82763
15 	24    	2.26078	2.38008	7.89644e-05	9.09908
16 	24    	2.25587	2.38354	0.000123329	9.1244 
17 	24    	2.23931	2.37095	0.000109641	9.1244 
18 	24    	2.22613	2.35871	9.51296e-05	8.84643
19 	24    	2.21685	2.34223	0.000117197	8.84643
20 	24    	2.194  	2.2973 	6.45287e-05	8.84643
21 	24    	2.16144	2.23372	0.000133429	8.61921
22 	24    	2.1535 	2.22222	0.000125523	7.74581
23 	24    	2.15122	2.21806	7.63041e-05	7.70809
24 	24    	2.14661	2.20873	0.000111759	7.71092
25 	24    	2.13997	2.19487	0.000111759	6.81655
26 	24    	2.13921	2.19447	5.15903e-05	6.79922
27 	24    	2.13884	2.19407	0.000141589	6.79905
28 	24    	2.13878	2.19415	0.000137378	6.79905
29 	24    	2.1385 	2.19421	0.000137378	6.79905
30 	24    	2.1385 	2.19428	0.000137378	6.79905
31 	24    	2.13839	2.1941 	0.000137378	6.79905
32 	24    	2.13834	2.19383	0.000141589	6.79905
33 	24    	2.13829	2.19398	0.000141589	6.79905
34 	24    	2.13826	2.1942 	0.00015984 	6.79905
35 	24    	2.13823	2.19414	0.00015984 	6.79905
36 	24    	2.13809	2.19363	0.00013989 	6.79905
37 	24    	2.13809	2.19363	0.00013989 	6.79905
38 	24    	2.13808	2.19367	0.00013989 	6.79346
39 	24    	2.13806	2.1939 	0.000174787	6.79346
40 	24    	2.13799	2.19388	0.000174787	6.79346
41 	24    	2.13797	2.19394	0.000174787	6.79346
42 	24    	2.1375 	2.19359	0.000135141	6.79341
43 	24    	2.13707	2.1936 	0.000135141	6.79341
44 	24    	2.13493	2.19295	0.000135141	6.79278
45 	24    	2.1321 	2.19254	0.000135141	6.79185
46 	24    	2.12793	2.19203	0.000135141	6.66917
47 	24    	2.12525	2.18787	3.26089e-05	6.65533
48 	24    	2.12059	2.18043	9.55764e-05	6.65533
49 	24    	2.11373	2.1691 	4.43986e-05	6.65533
50 	24    	2.09979	2.14601	4.43986e-05	6.65533
51 	24    	2.08319	2.12484	0.000126452	9.91421
52 	24    	2.0719 	2.09905	0.000102693	6.64313
53 	24    	2.07162	2.09889	6.75326e-05	6.64313
54 	24    	2.07146	2.09862	6.75326e-05	6.64195
55 	24    	2.07131	2.09869	6.75326e-05	6.64241
56 	24    	2.07115	2.09841	6.75326e-05	6.64241
57 	24    	2.071  	2.09838	6.75326e-05	6.64532
58 	24    	2.07097	2.0983 	6.75326e-05	6.64532
59 	24    	2.07077	2.0981 	9.57658e-05	6.64241
60 	24    	2.07072	2.09803	9.57658e-05	6.64241
61 	24    	2.06828	2.09204	9.57658e-05	6.64241
62 	24    	2.066  	2.08638	9.57658e-05	6.64241
63 	24    	2.06156	2.07474	0.000169813	6.64241
64 	24    	2.05926	2.06893	0.000169813	6.64241
65 	24    	2.04537	2.03292	0.000107148	6.63307
66 	24    	2.02303	1.97196	0.000107148	6.61906
67 	24    	2.01509	1.95127	5.77248e-05	5.39786
68 	24    	2.01464	1.95077	5.77248e-05	5.39786
69 	24    	2.01308	1.94991	5.77248e-05	5.64718
70 	24    	2.01014	1.94822	0.000169813	5.64718
71 	24    	2.00212	1.94459	0.000130989	5.68173
72 	24    	1.99262	1.93986	0.000130989	5.68173
73 	24    	1.98141	1.9334 	0.000130989	5.66237
74 	24    	1.98055	1.9314 	0.000100155	5.65942
75 	24    	1.98019	1.93081	0.000159033	5.63737
