preds
F11R
['CXCR4', 'CDC42', 'RHOA']
preds
ITGAL
['RASSF5', 'JAM3', 'PTK2B']
preds
RHOA
['CDC42', 'RAC1', 'RAC2']
preds
JAM3
['ITGA4', 'ITGAL', 'NCF2']
preds
RAC1
['RHOA', 'CDC42', 'F11R']
preds
RAC2
['RHOA', 'CXCR4', 'ITGB1']
preds
RASSF5
['CTNNB1', 'PTK2B', 'ITGAL']
preds
PTK2B
['BCAR1', 'RASSF5', 'ITGAL']
preds
CXCR4
['F11R', 'CDC42', 'RAC2']
preds
ICAM1
['CYBA', 'RAC1', 'RAC2']
preds
CDC42
['RHOA', 'RAC1', 'F11R']
gen	nevals	avg    	std    	min        	max   
0  	24    	7.86821	5.32425	7.11591e-05	19.971
1  	24    	7.01212	4.80086	4.39091e-05	19.971
2  	24    	6.46888	4.28581	4.39091e-05	18.332
3  	24    	6.32729	4.14499	4.39091e-05	18.332
4  	24    	6.10636	3.94458	4.39091e-05	18.332
5  	24    	5.88011	3.62347	4.39091e-05	18.332
6  	24    	5.62765	3.48368	6.78488e-05	18.1915
7  	24    	5.33948	3.15933	4.74338e-05	16.385 
8  	24    	5.10782	2.94958	4.74338e-05	14.7208
9  	24    	4.97284	2.80771	7.60321e-05	14.7208
10 	24    	4.85657	2.77112	5.09167e-05	14.7265
11 	24    	4.79306	2.75031	4.66667e-05	10.8021
12 	24    	4.72431	2.74019	4.8092e-05 	14.3051
13 	24    	4.6762 	2.72881	4.8092e-05 	14.2869
14 	24    	4.60133	2.70619	6.01743e-05	14.2869
15 	24    	4.56734	2.71845	9.24358e-05	12.2798
16 	24    	4.52702	2.76489	9.24358e-05	12.3375
17 	24    	4.46724	2.62627	8.96916e-05	10.7576
18 	24    	4.42556	2.51257	8.96916e-05	10.4553
19 	24    	4.39711	2.3345 	8.96916e-05	10.4349
20 	24    	4.36347	2.33193	7.35559e-05	10.4349
21 	24    	4.3272 	2.36304	7.35559e-05	10.4351
22 	24    	4.31548	2.38291	7.35559e-05	10.4569
23 	24    	4.30443	2.40281	8.96916e-05	10.4569
24 	24    	4.28784	2.43157	8.96916e-05	10.4681
25 	24    	4.24971	2.465  	8.96916e-05	10.4681
26 	24    	4.21385	2.55901	6.96654e-05	10.4681
27 	24    	4.20828	2.54963	6.96654e-05	10.459 
28 	24    	4.20415	2.53939	1.06551e-05	10.459 
29 	24    	4.19986	2.52679	1.06551e-05	10.4534
30 	24    	4.19881	2.52632	6.96654e-05	10.4507
31 	24    	4.1968 	2.52477	5.33306e-05	10.4562
32 	24    	4.19536	2.52413	5.33306e-05	10.4562
33 	24    	4.19093	2.52244	5.33306e-05	10.4562
34 	24    	4.18682	2.52158	5.33306e-05	10.4562
35 	24    	4.17972	2.51962	5.33306e-05	10.4562
36 	24    	4.17124	2.51853	6.77919e-05	10.4562
37 	24    	4.16857	2.51902	7.14231e-05	10.4562
38 	24    	4.16662	2.51721	7.14231e-05	10.4508
39 	24    	4.16505	2.51554	3.82071e-05	10.4578
40 	24    	4.1642 	2.51365	8.66532e-05	10.4476
41 	24    	4.16344	2.51158	8.66532e-05	10.4476
42 	24    	4.16295	2.51029	8.66532e-05	10.4409
43 	24    	4.16268	2.50994	8.66532e-05	10.4409
44 	24    	4.15916	2.50574	8.66532e-05	10.4409
45 	24    	4.15607	2.50234	8.66532e-05	10.4356
46 	24    	4.14707	2.49277	0.000141329	10.4196
47 	24    	4.13661	2.48662	0.000100774	10.2474
48 	24    	4.12114	2.47962	0.000100774	10.2474
49 	24    	4.10463	2.47015	7.06907e-05	10.2432
50 	24    	4.10205	2.46877	7.06907e-05	10.2081
51 	24    	4.10084	2.46858	8.82181e-05	10.2081
52 	24    	4.09998	2.47193	0.000145614	10.2081
53 	24    	4.09953	2.47149	0.000114667	10.2073
54 	24    	4.099  	2.47103	0.000114667	10.2073
55 	24    	4.09827	2.47069	7.49608e-05	10.209 
56 	24    	4.09788	2.47011	7.49608e-05	10.209 
57 	24    	4.09772	2.46993	7.49608e-05	10.209 
58 	24    	4.09678	2.46874	7.49608e-05	10.2087
59 	24    	4.09463	2.46469	7.49608e-05	10.2087
60 	24    	4.09419	2.46423	7.49608e-05	10.2147
61 	24    	4.09128	2.45958	6.7646e-05 	10.2147
62 	24    	4.08605	2.45185	6.7646e-05 	10.2167
63 	24    	4.08179	2.44495	1.7738e-06 	10.2167
64 	24    	4.0741 	2.43135	1.7738e-06 	10.2258
65 	24    	4.06543	2.41476	1.7738e-06 	10.2194
66 	24    	4.04791	2.37682	0.000114558	10.2194
67 	24    	4.03928	2.36154	0.000114558	9.43371
68 	24    	4.03377	2.35452	0.000116212	9.42338
69 	24    	4.03086	2.35167	0.000100554	9.42301
70 	24    	4.02968	2.35081	8.32869e-05	9.42301
71 	24    	4.02928	2.35029	9.44529e-05	9.42301
72 	24    	4.02881	2.34983	0.000100554	9.42301
73 	24    	4.02832	2.34946	0.000115681	9.42797
74 	24    	4.02814	2.34938	0.000107621	9.42301
75 	24    	4.02738	2.3491 	0.000107621	9.42814
76 	24    	4.02724	2.34953	0.000107621	9.42814
77 	24    	4.02688	2.34911	0.000107621	9.42814
78 	24    	4.02669	2.34909	0.000107621	9.42814
79 	24    	4.02668	2.34909	0.000107621	9.42814
80 	24    	4.02631	2.34902	0.000107621	9.42814
81 	24    	4.02568	2.34883	0.000107621	9.42814
82 	24    	4.02528	2.3489 	0.000104341	9.42814
83 	24    	4.0223 	2.35295	0.000104341	9.5492 
84 	24    	4.02186	2.3532 	0.000104341	9.5492 
85 	24    	4.0218 	2.35329	4.55804e-05	9.5492 
86 	24    	4.01946	2.35736	4.55804e-05	9.55895
87 	24    	4.01357	2.36799	4.55804e-05	9.55895
88 	24    	4.00476	2.3867 	7.92869e-05	9.56368
89 	24    	3.99144	2.408  	7.92869e-05	9.57532
90 	24    	3.9712 	2.43705	0.000109636	9.57532
91 	24    	3.96971	2.43552	0.000144587	9.57459
92 	24    	3.96877	2.43495	0.000144587	9.57593
93 	24    	3.96827	2.43501	0.000112046	9.57593
94 	24    	3.96747	2.43417	8.49471e-05	9.57269
95 	24    	3.96711	2.43373	0.000112046	9.57102
96 	24    	3.96665	2.43244	0.000112046	9.57102
97 	24    	3.96652	2.43267	0.000112046	9.57102
98 	24    	3.96622	2.43317	0.000104403	9.57285
99 	24    	3.96609	2.43321	0.000104403	9.57102
100	24    	3.966  	2.43326	0.000104403	9.57102
101	24    	3.96587	2.43331	0.000104403	9.5782 
102	24    	3.96582	2.43324	4.23751e-05	9.5782 
103	24    	3.96571	2.43343	4.23751e-05	9.5782 
104	24    	3.9657 	2.43326	4.23751e-05	9.5782 
105	24    	3.9657 	2.43326	4.23751e-05	9.5782 
106	24    	3.96401	2.42216	4.23751e-05	9.5782 
107	24    	3.96241	2.41129	4.23751e-05	9.5782 
108	24    	3.96024	2.41012	4.23751e-05	9.5782 
109	24    	3.9536 	2.38158	8.56258e-05	9.5782 
110	24    	3.94492	2.35538	8.56258e-05	9.5856 
111	24    	3.92795	2.26556	8.56258e-05	9.5856 
112	24    	3.9181 	2.22579	8.56258e-05	9.5856 
113	24    	3.91215	2.24176	8.96031e-05	9.5856 
114	24    	3.89922	2.26957	9.45858e-05	9.5856 
115	24    	3.89092	2.21442	9.45858e-05	9.57027
116	24    	3.87357	2.14386	7.8521e-05 	9.57022
117	24    	3.85001	2.12252	5.41679e-05	8.55613
118	24    	3.83877	2.12679	7.8521e-05 	8.55312
119	24    	3.8273 	2.13523	7.8521e-05 	8.55312
120	24    	3.79398	2.14123	7.73828e-05	8.56112
--- 7915.447091579437 seconds ---
ran GA
