preds
F11R
['CXCR4', 'CDC42', 'RAC2']
preds
ITGAL
['RASSF5', 'PTK2B', 'CYBA']
preds
RHOA
['CDC42', 'RAC1', 'PTK2']
preds
JAM3
['RASSF5', 'PTK2B', 'RHOA']
preds
RAC1
['RHOA', 'RAC2', 'NCF4']
preds
RAC2
['RAC1', 'F11R', 'CXCR4']
preds
RASSF5
['JAM3', 'PTK2B', 'ITGAL']
preds
PTK2B
['ITGA4', 'SIPA1', 'JAM3']
preds
CXCR4
['F11R', 'CDC42', 'RHOA']
preds
ICAM1
['F11R', 'PTK2', 'RAC1']
preds
CDC42
['RHOA', 'F11R', 'CXCR4']
gen	nevals	avg    	std    	min        	max    
0  	24    	7.45197	5.10922	0.000100521	20.1086
1  	24    	6.20833	4.41728	9.60789e-05	19.8897
2  	24    	5.64201	4.01685	0.000100521	19.8833
3  	24    	5.1867 	3.60699	0.000126191	19.1691
4  	24    	4.94561	3.40629	0.000134036	22.5253
5  	24    	4.7419 	3.25986	4.74358e-05	18.8339
6  	24    	4.61826	3.09424	4.74358e-05	18.0465
7  	24    	4.54893	2.92102	5.71259e-05	18.8049
8  	24    	4.47987	2.91035	9.32648e-05	18.8049
9  	24    	4.42628	2.84308	7.46751e-05	16.0619
10 	24    	4.37669	2.83469	6.81453e-05	18.076 
11 	24    	4.26722	2.94924	5.44981e-05	18.076 
12 	24    	4.18365	3.0036 	4.85739e-05	18.076 
13 	24    	4.09433	2.91459	0.000103063	16.0402
14 	24    	4.03282	2.95593	8.2131e-05 	16.0402
15 	24    	3.97315	2.75949	9.95465e-05	9.99046
16 	24    	3.92131	2.88978	8.77807e-05	9.98228
17 	24    	3.88887	2.83803	8.57737e-05	9.98228
18 	24    	3.85416	2.75137	8.08772e-05	9.98228
19 	24    	3.82465	2.7939 	8.08772e-05	9.97098
20 	24    	3.81487	2.79783	4.8198e-05 	9.97098
21 	24    	3.79895	2.8087 	0.000152907	9.97098
22 	24    	3.78043	2.81909	7.57142e-05	9.95442
23 	24    	3.77811	2.80894	7.57142e-05	9.95442
24 	24    	3.77454	2.78968	0.000135255	9.94765
25 	24    	3.77265	2.78289	0.000135255	9.91988
26 	24    	3.76999	2.7704 	0.000135255	9.42847
27 	24    	3.76713	2.77812	0.000113476	10.334 
28 	24    	3.76535	2.79143	0.000113476	10.3555
29 	24    	3.76014	2.84691	0.000113476	10.3574
30 	24    	3.7496 	2.92658	0.000113476	10.3697
31 	24    	3.74127	3.02021	0.000114081	10.3697
32 	24    	3.73528	3.08529	0.00012678 	10.3697
33 	24    	3.7308 	3.08145	0.00012678 	10.3671
34 	24    	3.71994	3.07166	0.00012678 	10.3671
35 	24    	3.69421	3.04379	0.00012678 	10.3604
36 	24    	3.67667	3.02804	8.68905e-05	10.3607
37 	24    	3.638  	2.9882 	8.68905e-05	10.3635
38 	24    	3.58633	2.90834	5.92237e-05	10.3542
39 	24    	3.51598	2.7933 	5.46167e-05	10.336 
40 	24    	3.45417	2.6908 	5.46167e-05	9.41853
41 	24    	3.43161	2.65261	7.62667e-05	9.41624
42 	24    	3.3918 	2.59108	3.88672e-05	9.41624
43 	24    	3.35428	2.51572	3.88672e-05	9.42152
44 	24    	3.33263	2.47896	0.000131909	9.16122
45 	24    	3.30278	2.45398	6.31975e-05	9.16122
46 	24    	3.28136	2.44054	0.000131909	9.1627 
47 	24    	3.25376	2.42721	8.54781e-05	9.16052
48 	24    	3.23617	2.41084	3.15983e-05	9.16052
49 	24    	3.22805	2.40168	8.03738e-05	9.16065
50 	24    	3.22762	2.40158	8.03738e-05	9.1608 
51 	24    	3.22734	2.40161	8.03738e-05	9.16125
52 	24    	3.22658	2.40144	8.03738e-05	9.16125
53 	24    	3.22599	2.40112	0.000101493	9.16125
54 	24    	3.22543	2.40077	0.000101493	9.16125
55 	24    	3.22515	2.40083	7.32389e-05	9.16125
56 	24    	3.22485	2.40084	0.000140967	9.16053
57 	24    	3.22478	2.40086	0.000174638	9.16053
58 	24    	3.22463	2.40085	0.000186135	9.16053
59 	24    	3.22455	2.40093	3.63657e-05	9.16062
60 	24    	3.2233 	2.40766	3.63657e-05	9.16062
61 	24    	3.22203	2.4144 	3.63657e-05	9.16062
62 	24    	3.22202	2.41441	3.63657e-05	9.16062
63 	24    	3.2199 	2.42157	3.63657e-05	9.16062
64 	24    	3.2166 	2.43552	3.63657e-05	9.16062
65 	24    	3.2061 	2.48931	0.000140888	9.16062
66 	24    	3.1966 	2.54126	0.000140888	9.15951
67 	24    	3.19386	2.5593 	3.17018e-05	9.15917
