preds
F11R
['CXCR4', 'CDC42', 'RAC2']
preds
ITGAL
['RASSF5', 'PECAM1', 'CYBA']
preds
RHOA
['CDC42', 'RAC1', 'RAC2']
preds
JAM3
['PTK2B', 'NCF2', 'CXCR4']
preds
RAC1
['RHOA', 'CDC42', 'F11R']
preds
RAC2
['RHOA', 'F11R', 'CXCR4']
preds
RASSF5
['NCF1', 'PTK2B', 'ITGAL']
preds
PTK2B
['SIPA1', 'JAM3', 'RASSF5']
preds
CXCR4
['F11R', 'RAC2', 'RAC1']
preds
ICAM1
['CXCR4', 'RAC1', 'RAC2']
preds
CDC42
['RHOA', 'RAC1', 'PTK2']
gen	nevals	avg    	std    	min       	max    
0  	24    	7.74116	4.86122	7.1261e-05	20.1086
1  	24    	6.64647	4.20789	6.72692e-05	19.971 
2  	24    	6.11195	3.76942	6.72692e-05	19.971 
3  	24    	5.90406	3.55299	6.72692e-05	18.1283
4  	24    	5.59746	3.38746	8.68167e-05	16.1324
5  	24    	5.42132	3.15353	3.95636e-05	16.1324
6  	24    	5.28319	3.105  	3.95636e-05	16.1324
7  	24    	5.16068	2.90577	8.6808e-05 	14.719 
8  	24    	5.0102 	2.72303	9.924e-05  	14.7119
9  	24    	4.88639	2.55917	9.924e-05  	14.7216
10 	24    	4.84526	2.65825	7.32552e-05	14.7216
11 	24    	4.80178	2.64367	4.35099e-05	14.7233
12 	24    	4.75152	2.43411	9.2203e-05 	12.8643
13 	24    	4.731  	2.49248	4.34894e-05	12.9044
14 	24    	4.68579	2.47177	4.34894e-05	12.9044
15 	24    	4.64672	2.55461	4.81013e-05	12.9044
16 	24    	4.61765	2.47306	0.000120078	12.858 
17 	24    	4.56566	2.41465	0.000120078	12.3286
18 	24    	4.54629	2.41765	8.12174e-05	12.3366
19 	24    	4.52784	2.45256	8.12174e-05	12.3366
20 	24    	4.52036	2.42244	8.12174e-05	12.3366
21 	24    	4.48936	2.39379	3.756e-05  	12.3366
22 	24    	4.48079	2.38667	3.756e-05  	12.336 
23 	24    	4.45211	2.3514 	5.62525e-05	12.336 
24 	24    	4.42954	2.39196	5.62525e-05	12.336 
25 	24    	4.40698	2.36413	5.62525e-05	12.336 
26 	24    	4.39115	2.3446 	5.62525e-05	12.3369
27 	24    	4.38528	2.33482	5.62525e-05	12.3035
28 	24    	4.34397	2.24965	5.62525e-05	12.2604
29 	24    	4.27642	2.218  	9.59302e-05	8.91132
30 	24    	4.22733	2.20202	9.59302e-05	8.91132
31 	24    	4.2007 	2.18609	9.59302e-05	8.91132
32 	24    	4.19604	2.16962	5.66967e-05	8.91132
33 	24    	4.18778	2.13274	8.50377e-05	8.91132
34 	24    	4.17778	2.0851 	8.50377e-05	8.91132
35 	24    	4.17359	2.06826	9.14267e-05	8.91132
36 	24    	4.17199	2.06676	9.14267e-05	8.89514
37 	24    	4.1715 	2.06625	9.14267e-05	8.88132
38 	24    	4.17122	2.06589	8.20883e-05	8.88132
39 	24    	4.17089	2.0656 	9.14267e-05	8.87502
40 	24    	4.17042	2.06539	9.14267e-05	8.87502
41 	24    	4.17006	2.06504	9.14267e-05	8.87502
42 	24    	4.16996	2.06488	9.14267e-05	8.87502
43 	24    	4.16989	2.06487	9.14267e-05	8.87502
44 	24    	4.1698 	2.06482	5.17759e-05	8.87502
45 	24    	4.16979	2.06478	5.17759e-05	8.87502
46 	24    	4.16613	2.05424	5.17759e-05	8.87502
47 	24    	4.1627 	2.04542	5.17759e-05	8.87502
48 	24    	4.14998	2.03187	5.17759e-05	8.89504
49 	24    	4.13668	2.01084	4.40335e-05	8.90402
50 	24    	4.11001	2.00634	7.11121e-05	8.90402
51 	24    	4.1024 	1.97444	5.83261e-05	8.89743
52 	24    	4.09186	1.89123	5.83261e-05	8.86268
