preds
F11R
['CXCR4', 'RAC2', 'ICAM1']
preds
ITGAL
['ITGA4', 'RASSF5', 'JAM3']
preds
RHOA
['CDC42', 'RAC1', 'RAC2']
preds
JAM3
['PTK2B', 'ITGAL', 'CDC42']
preds
RAC1
['RHOA', 'RAC2', 'NCF4']
preds
RAC2
['RHOA', 'RAC1', 'F11R']
preds
RASSF5
['PECAM1', 'PTK2B', 'ITGA4']
preds
PTK2B
['JAM3', 'RASSF5', 'ITGAL']
preds
CXCR4
['F11R', 'RHOA', 'RAC1']
preds
ICAM1
['CYBA', 'F11R', 'CXCR4']
preds
CDC42
['RHOA', 'ITGB1', 'NCF2']
gen	nevals	avg    	std    	min        	max    
0  	24    	7.39022	5.32315	8.33701e-05	20.5126
1  	24    	6.25411	4.5914 	6.28686e-05	19.1078
2  	24    	5.68572	3.96175	6.79619e-05	19.1078
3  	24    	5.30939	3.68542	6.17274e-05	19.1078
4  	24    	5.12279	3.25734	0.000135861	19.0663
5  	24    	5.00412	3.20558	0.000135861	18.332 
6  	24    	4.87953	3.06102	8.39361e-05	17.6726
7  	24    	4.79199	2.91911	6.44073e-05	15.2147
8  	24    	4.60634	2.79381	6.44073e-05	13.3672
9  	24    	4.46014	2.81317	0.000112579	13.3672
10 	24    	4.31987	2.66897	0.000112579	10.1373
11 	24    	4.21036	2.53251	0.000107466	10.1373
12 	24    	4.02705	2.25441	0.00014822 	9.8355 
13 	24    	3.97514	2.18308	8.3225e-05 	7.92096
14 	24    	3.94149	2.13658	6.17955e-05	6.83672
15 	24    	3.92347	2.16934	6.22619e-06	6.83672
16 	24    	3.92221	2.17355	6.22619e-06	6.83672
17 	24    	3.91407	2.18109	6.22619e-06	6.83672
18 	24    	3.90783	2.16574	7.30793e-05	6.83672
19 	24    	3.88609	2.12836	4.96231e-05	6.83672
20 	24    	3.85628	2.1931 	0.000104982	6.81708
21 	24    	3.84193	2.15409	9.39114e-05	6.82527
22 	24    	3.8277 	2.08847	8.68759e-05	6.83834
23 	24    	3.82275	2.0101 	6.60378e-05	6.80755
24 	24    	3.82019	2.00112	4.4801e-05 	6.84934
25 	24    	3.81733	1.9951 	2.62643e-05	6.84934
26 	24    	3.81708	1.99501	1.94415e-05	6.84934
27 	24    	3.81472	1.9947 	1.94415e-05	6.85085
28 	24    	3.81179	1.99492	6.60378e-05	6.85085
29 	24    	3.80698	2.0027 	6.60378e-05	6.85085
30 	24    	3.80192	2.00384	6.60378e-05	6.82625
31 	24    	3.79174	1.99872	9.06431e-05	6.8256 
32 	24    	3.78827	2.00165	9.06431e-05	6.84897
33 	24    	3.7865 	2.00101	9.1017e-05 	6.84897
34 	24    	3.78544	2.00019	9.1017e-05 	6.84897
35 	24    	3.78494	1.99972	9.1017e-05 	6.84897
36 	24    	3.78303	1.99808	9.1017e-05 	6.85286
37 	24    	3.77856	1.99537	4.40733e-05	6.85286
38 	24    	3.77315	1.99119	4.40733e-05	6.85783
39 	24    	3.76882	1.98946	4.40733e-05	6.81725
40 	24    	3.75889	1.98684	0.000104073	6.84797
41 	24    	3.74774	1.98371	0.000104073	6.87839
42 	24    	3.73245	1.97713	0.000104073	6.8381 
43 	24    	3.72081	1.97045	7.09602e-05	6.84306
44 	24    	3.71627	1.96647	7.09602e-05	6.84306
45 	24    	3.71325	1.96177	0.000121305	6.85364
46 	24    	3.71038	1.95624	0.000121305	6.85364
47 	24    	3.70486	1.95066	0.000121305	6.83667
48 	24    	3.69947	1.95427	0.000125817	7.19312
49 	24    	3.69637	1.96532	0.000125817	7.19312
50 	24    	3.69567	1.96589	0.000131533	7.19312
51 	24    	3.69549	1.96592	0.000131533	7.19312
52 	24    	3.69532	1.96633	0.000106132	7.19312
53 	24    	3.69513	1.96647	7.32573e-05	7.19312
54 	24    	3.6951 	1.9662 	7.32573e-05	7.19312
55 	24    	3.69508	1.96624	0.000106132	7.19312
56 	24    	3.69504	1.96652	0.000106132	7.19312
57 	24    	3.69499	1.96891	0.000106132	7.28175
58 	24    	3.69476	1.97098	5.86884e-05	7.28175
59 	24    	3.6944 	1.97581	5.86884e-05	7.28175
60 	24    	3.69412	1.98064	5.86884e-05	7.28175
61 	24    	3.69178	1.9939 	0.000106132	7.28175
62 	24    	3.69146	2.00708	5.34645e-05	7.29389
63 	24    	3.69077	2.02173	5.34645e-05	7.29389
64 	24    	3.68817	2.02882	6.21967e-05	7.28583
65 	24    	3.68371	2.03636	6.21967e-05	7.29557
66 	24    	3.68164	2.04052	6.21967e-05	7.29557
67 	24    	3.67253	2.05644	0.000113456	7.30022
68 	24    	3.65617	2.08205	0.000131947	7.30022
69 	24    	3.6314 	2.10268	8.42995e-05	7.30084
70 	24    	3.6199 	2.09103	8.42995e-05	7.30084
71 	24    	3.60374	2.07272	8.42995e-05	7.30084
72 	24    	3.59243	2.05031	9.02699e-05	7.28396
73 	24    	3.58743	2.05266	6.00357e-05	7.35635
74 	24    	3.58036	2.04682	9.02699e-05	7.35635
75 	24    	3.5776 	2.06276	9.02699e-05	7.35635
76 	24    	3.57496	2.09   	9.40236e-05	7.35635
77 	24    	3.56054	2.09504	8.85657e-05	7.35635
78 	24    	3.54816	2.10984	9.82402e-05	7.35635
79 	24    	3.5304 	2.14427	9.82402e-05	7.35635
80 	24    	3.5053 	2.16756	9.82402e-05	13.5882
81 	24    	3.48029	2.19285	9.82402e-05	13.628 
82 	24    	3.46457	2.16107	8.64613e-05	13.628 
83 	24    	3.45042	2.16066	8.64613e-05	13.628 
84 	24    	3.43292	2.16229	8.77451e-05	13.628 
85 	24    	3.42067	2.17208	8.77451e-05	13.628 
86 	24    	3.42054	2.17199	8.77451e-05	13.628 
87 	24    	3.39739	2.25325	7.16988e-05	13.628 
88 	24    	3.38647	2.26027	5.84999e-05	13.628 
89 	24    	3.31897	2.48531	5.84999e-05	13.7084
90 	24    	3.21885	2.49842	5.84999e-05	13.703 
91 	24    	3.15594	2.26628	5.84999e-05	13.1196
92 	24    	3.13561	2.24599	7.16988e-05	9.60955
93 	24    	3.10916	2.25476	0.000124424	9.60955
94 	24    	3.10873	2.25354	8.28132e-05	9.60955
95 	24    	3.10854	2.25278	0.000104975	9.59307
96 	24    	3.10802	2.25306	8.76815e-05	9.56656
97 	24    	3.10777	2.25519	8.76815e-05	9.57959
98 	24    	3.10768	2.25513	8.76815e-05	9.57959
99 	24    	3.10751	2.25493	8.76815e-05	9.57959
100	24    	3.10751	2.25493	8.76815e-05	9.57959
101	24    	3.10747	2.25532	8.76815e-05	9.57959
102	24    	3.10745	2.25536	8.76815e-05	9.57959
103	24    	3.10745	2.25536	8.76815e-05	9.57959
104	24    	3.10743	2.25442	8.76815e-05	9.57959
105	24    	3.10741	2.25374	8.76815e-05	9.57959
106	24    	3.1071 	2.25383	8.76815e-05	9.59675
107	24    	3.10707	2.25419	8.76815e-05	9.59675
108	24    	3.10705	2.25397	8.76815e-05	9.59675
109	24    	3.10703	2.25394	8.19165e-05	9.59675
110	24    	3.10699	2.25374	8.19165e-05	9.59675
111	24    	3.10677	2.25294	8.19165e-05	9.59675
112	24    	3.10344	2.25093	8.19165e-05	9.59675
113	24    	3.09944	2.24687	8.19165e-05	9.59675
114	24    	3.0986 	2.24378	0.000117506	9.59675
115	24    	3.09157	2.23558	5.538e-05  	9.54369
116	24    	3.07731	2.22538	5.538e-05  	9.54369
117	24    	3.06585	2.22126	5.538e-05  	9.60055
118	24    	3.04352	2.20196	5.538e-05  	9.60055
119	24    	3.03862	2.2038 	5.538e-05  	9.60055
120	24    	3.03827	2.2049 	5.538e-05  	9.60055
--- 7618.539361000061 seconds ---
ran GA
