preds
F11R
['CXCR4', 'RHOA', 'RAC1']
preds
ITGAL
['RASSF5', 'PTK2B', 'NCF2']
preds
RHOA
['CDC42', 'RAC2', 'F11R']
preds
JAM3
['RASSF5', 'PTK2B', 'CXCR4']
preds
RAC1
['CDC42', 'NCF4', 'PTK2']
preds
RAC2
['RHOA', 'CXCR4', 'ICAM1']
preds
RASSF5
['JAM3', 'ITGA4', 'ITGAL']
preds
PTK2B
['CTNNB1', 'JAM3', 'ITGAL']
preds
CXCR4
['F11R', 'CDC42', 'RHOA']
preds
ICAM1
['ITGB1', 'CXCR4', 'RAC2']
preds
CDC42
['RHOA', 'RAC1', 'CXCR4']
gen	nevals	avg    	std    	min        	max    
0  	24    	7.41349	5.01329	6.86471e-05	20.1086
1  	24    	6.24077	4.37177	8.48839e-05	19.1078
2  	24    	5.71845	3.94143	9.19791e-05	19.1078
3  	24    	5.1288 	3.49297	9.19791e-05	19.1078
4  	24    	4.99239	3.33229	9.19791e-05	19.1078
5  	24    	4.90049	3.19256	0.000101412	19.1078
6  	24    	4.80577	3.38954	0.000101412	19.1078
7  	24    	4.74418	3.41103	0.000101412	19.1078
8  	24    	4.69876	3.06935	0.000149863	19.1078
9  	24    	4.6443 	2.59659	6.87859e-05	19.1078
10 	24    	4.52412	2.20272	4.84857e-05	15.9614
11 	24    	4.41626	2.01134	4.84857e-05	10.493 
12 	24    	4.33155	1.94102	4.84857e-05	10.493 
13 	24    	4.24498	1.8138 	5.38569e-05	7.61326
14 	24    	4.21624	1.80672	6.80398e-05	7.61326
15 	24    	4.20186	1.78158	6.80398e-05	7.59972
16 	24    	4.17264	1.77162	0.000110963	7.5749 
17 	24    	4.13738	1.74129	0.000100966	7.38629
18 	24    	4.10519	1.72976	8.36224e-05	6.50465
19 	24    	4.09084	1.78174	8.36224e-05	6.50984
20 	24    	4.08183	1.79621	5.59506e-05	6.51166
21 	24    	4.07263	1.79044	5.59506e-05	6.51627
22 	24    	4.05663	1.78038	5.59506e-05	6.51627
23 	24    	4.05445	1.77945	6.37889e-05	6.51627
24 	24    	4.05402	1.77926	6.37889e-05	6.52007
25 	24    	4.05391	1.77923	6.37889e-05	6.52007
26 	24    	4.05361	1.77933	6.37889e-05	6.51627
27 	24    	4.05357	1.7792 	6.37889e-05	6.51627
28 	24    	4.05354	1.77927	6.37889e-05	6.51627
29 	24    	4.05345	1.77934	5.66577e-05	6.51627
30 	24    	4.05341	1.77929	5.66577e-05	6.51627
31 	24    	4.05339	1.7793 	5.66577e-05	6.51627
32 	24    	4.05337	1.77935	5.66577e-05	6.51627
33 	24    	4.05333	1.77935	5.66577e-05	6.51627
34 	24    	4.05325	1.77938	5.66577e-05	6.51627
35 	24    	4.05325	1.77938	5.66577e-05	6.51627
36 	24    	4.05325	1.77944	5.66577e-05	6.51627
37 	24    	4.05291	1.77895	5.66577e-05	6.51627
38 	24    	4.0481 	1.77581	5.66577e-05	6.50856
39 	24    	4.04763	1.77519	5.66577e-05	6.50856
40 	24    	4.04189	1.77054	5.66577e-05	6.50692
41 	24    	4.03047	1.76277	6.10253e-05	6.51541
42 	24    	3.98801	1.73643	3.61293e-05	6.50852
43 	24    	3.94591	1.70899	8.59489e-05	6.50618
44 	24    	3.94535	1.7091 	0.000120329	6.50618
45 	24    	3.94506	1.70923	8.20727e-05	6.50113
46 	24    	3.94468	1.70909	8.20727e-05	6.50747
47 	24    	3.94466	1.70911	8.20727e-05	6.50397
48 	24    	3.94422	1.70943	8.20727e-05	6.51791
49 	24    	3.94341	1.71012	8.20727e-05	6.51915
50 	24    	3.9423 	1.71049	8.20727e-05	6.5302 
51 	24    	3.94031	1.71214	0.000104842	6.5302 
52 	24    	3.93695	1.71628	0.000104842	6.53384
53 	24    	3.9354 	1.7163 	0.000104842	6.53384
54 	24    	3.93437	1.71409	0.000104842	6.53523
55 	24    	3.93327	1.71217	8.35129e-05	6.53523
56 	24    	3.93093	1.71083	8.35129e-05	6.56334
57 	24    	3.92749	1.71042	8.24277e-05	6.56334
58 	24    	3.9266 	1.71011	8.35129e-05	6.56618
59 	24    	3.92596	1.70929	8.35129e-05	6.56618
60 	24    	3.91826	1.70892	8.35129e-05	6.56569
61 	24    	3.90355	1.70807	0.000113033	6.56569
62 	24    	3.87991	1.72607	0.0001069  	9.06623
63 	24    	3.84491	1.72737	0.000158699	9.06623
64 	24    	3.76922	1.75393	0.000158699	9.09917
65 	24    	3.74985	1.71645	0.000111711	6.5627 
66 	24    	3.74201	1.72287	0.000119414	6.57533
67 	24    	3.73439	1.72906	0.000156732	6.57754
68 	24    	3.71954	1.74164	0.000132394	6.57754
69 	24    	3.69805	1.76156	0.000132394	7.18194
70 	24    	3.66894	1.78442	0.000150288	6.57533
71 	24    	3.66799	1.78458	0.000141721	6.57533
72 	24    	3.66773	1.78498	8.8291e-05 	6.57533
73 	24    	3.66758	1.7849 	8.8291e-05 	6.57533
74 	24    	3.66742	1.78497	8.8291e-05 	6.5834 
75 	24    	3.66728	1.78487	8.8291e-05 	6.5834 
76 	24    	3.66721	1.78493	8.8291e-05 	6.5834 
77 	24    	3.66718	1.7848 	7.18314e-05	6.5834 
78 	24    	3.66695	1.78471	7.18314e-05	6.5834 
79 	24    	3.66695	1.78469	8.33322e-05	6.5834 
80 	24    	3.66687	1.78469	8.33322e-05	6.5834 
81 	24    	3.66682	1.78465	8.33322e-05	6.5834 
82 	24    	3.66679	1.78467	8.33322e-05	6.5834 
83 	24    	3.66672	1.78469	8.33322e-05	6.5834 
84 	24    	3.66672	1.78469	8.33322e-05	6.5834 
85 	24    	3.66672	1.78469	8.33322e-05	6.5834 
86 	24    	3.66666	1.78463	8.33322e-05	6.5834 
87 	24    	3.66666	1.78476	8.33322e-05	6.5834 
88 	24    	3.66662	1.78477	8.33322e-05	6.5834 
89 	24    	3.66662	1.78477	8.33322e-05	6.5834 
90 	24    	3.66655	1.78458	8.33322e-05	6.5834 
91 	24    	3.66655	1.78458	8.33322e-05	6.5834 
92 	24    	3.66651	1.78454	8.33322e-05	6.5834 
93 	24    	3.66491	1.78511	8.33322e-05	7.19143
94 	24    	3.66322	1.78551	0.000118068	7.19143
95 	24    	3.66314	1.78662	0.000118068	7.19143
96 	24    	3.66147	1.7897 	0.000118068	7.19143
97 	24    	3.65977	1.79135	0.000118068	7.19143
98 	24    	3.65972	1.79403	0.000118068	7.19143
99 	24    	3.64806	1.80526	6.63015e-05	7.19143
100	24    	3.63638	1.80977	8.17511e-05	7.2019 
101	24    	3.6166 	1.81479	0.000118068	7.21958
102	24    	3.57814	1.83581	7.90117e-05	7.20055
103	24    	3.53751	1.86596	7.90117e-05	7.19628
104	24    	3.51724	1.88072	7.90117e-05	7.18211
105	24    	3.46106	1.92682	7.90117e-05	7.17794
106	24    	3.40181	1.96719	7.90117e-05	6.57452
107	24    	3.387  	1.9694 	8.5175e-05 	6.56731
108	24    	3.3855 	1.96954	8.5175e-05 	6.56731
109	24    	3.38334	1.96965	8.5175e-05 	6.56731
110	24    	3.38118	1.96972	8.5175e-05 	6.57462
111	24    	3.38016	1.96987	8.36967e-05	6.57462
112	24    	3.37921	1.96996	8.36967e-05	6.58685
113	24    	3.37543	1.97022	8.36967e-05	6.57462
114	24    	3.36999	1.97062	8.36967e-05	6.57462
115	24    	3.36346	1.97113	7.45281e-05	6.57462
116	24    	3.36326	1.97125	7.20579e-05	6.57462
117	24    	3.36293	1.97104	7.20579e-05	6.57462
118	24    	3.36273	1.98602	7.20579e-05	9.07928
119	24    	3.36148	2.00078	7.20579e-05	9.10096
120	24    	3.36133	2.00074	7.20579e-05	9.10096
--- 7337.545906543732 seconds ---
ran GA
