preds
WASF1
['ARHGEF6', 'ABI2', 'BCAR1']
preds
APC
['CDC42', 'RHOA', 'BAIAP2']
preds
ABI2
['NCKAP1', 'WASF1', 'GIT1']
preds
NCKAP1
['ABI2', 'BCAR1', 'ARHGEF6']
preds
BAIAP2
['CDC42', 'RHOA', 'APC']
preds
GIT1
['RHOA', 'CDC42', 'SLC9A1']
preds
CDC42
['RHOA', 'PTK2', 'APC']
preds
RHOA
['CDC42', 'PTK2', 'CXCR4']
preds
ARHGEF6
['WASF1', 'NCKAP1', 'GNG12']
preds
GNG12
['PXN', 'ARHGEF6', 'WASF1']
preds
CRK
['RHOA', 'GIT1', 'BAIAP2']
preds
BCAR1
['NCKAP1', 'WASF1', 'BAIAP2']
preds
PTK2
['RHOA', 'CDC42', 'GSN']
preds
FN1
['RHOA', 'BCAR1', 'SRC']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.69608	5.93638	0.252705	20.8918
1  	24    	7.15903	5.14312	0.252705	20.8918
2  	24    	6.41567	4.54913	0.163803	20.8918
3  	24    	5.82476	3.87242	0.224654	20.8918
4  	24    	5.37107	2.88693	0.228678	18.1385
5  	24    	5.16659	2.90574	0.0659178	19.5974
6  	24    	5.02427	2.96084	0.0618202	19.5974
7  	24    	4.82077	3.17767	0.0618202	19.5974
8  	24    	4.7071 	3.01141	0.0618202	18.1385
9  	24    	4.60208	2.80546	0.0667304	18.1385
10 	24    	4.48434	2.56179	0.0667304	18.1385
11 	24    	4.35317	2.07387	0.0667304	12.2146
12 	24    	4.25258	1.78111	0.0667304	10.4744
13 	24    	4.19445	1.73984	0.0667304	10.4744
14 	24    	4.17523	1.63078	0.47375  	7.41081
15 	24    	4.14351	1.65262	0.500164 	7.41081
16 	24    	4.11923	1.63566	0.500164 	7.415  
17 	24    	4.11142	1.68368	0.499527 	7.415  
18 	24    	4.10647	1.67262	0.499409 	7.41081
19 	24    	4.09955	1.65595	0.499409 	7.41081
20 	24    	4.08835	1.62781	0.499409 	7.4088 
21 	24    	4.06612	1.56996	0.499718 	7.4088 
22 	24    	4.06135	1.55838	0.822439 	7.40538
23 	24    	4.06092	1.55858	0.822731 	7.41176
24 	24    	4.06086	1.55857	0.822731 	7.40538
25 	24    	4.06081	1.55869	0.822731 	7.40538
26 	24    	4.06068	1.55873	0.822731 	7.40523
27 	24    	4.06057	1.55877	0.822731 	7.40523
28 	24    	4.05013	1.56683	0.823495 	7.72346
29 	24    	4.04653	1.57063	0.823495 	7.72346
30 	24    	4.043  	1.57448	0.824536 	7.72346
31 	24    	4.03488	1.60156	0.679338 	9.03743
32 	24    	4.0156 	1.64211	0.666742 	9.03743
33 	24    	3.97775	1.67776	0.66809  	9.03743
34 	24    	3.97222	1.64845	0.824648 	7.40832
35 	24    	3.96915	1.64649	0.821694 	7.41044
36 	24    	3.94259	1.66051	0.312727 	7.41044
37 	24    	3.91663	1.65606	0.301468 	7.40601
38 	24    	3.86882	1.6646 	0.301468 	7.40868
39 	24    	3.85526	1.68651	0.301468 	7.40868
40 	24    	3.81011	1.77721	0.301468 	7.40868
41 	24    	3.77107	1.87858	0.301468 	7.41864
42 	24    	3.7673 	1.88318	0.301426 	7.41841
43 	24    	3.76295	1.88806	0.281359 	7.40849
44 	24    	3.7427 	1.89869	0.277993 	7.40849
45 	24    	3.72873	1.90874	0.277993 	7.41227
46 	24    	3.6986 	1.92397	0.276499 	7.41227
47 	24    	3.6392 	1.93861	0.276437 	7.41227
48 	24    	3.61543	1.89417	0.291198 	7.07063
49 	24    	3.60882	1.89951	0.291198 	7.07063
50 	24    	3.59402	1.91275	0.300345 	7.07063
51 	24    	3.57289	1.93391	0.301673 	7.07388
52 	24    	3.54647	1.95665	0.29745  	7.07507
53 	24    	3.53363	1.97559	0.298035 	7.07507
54 	24    	3.51845	1.9962 	0.297495 	7.07063
55 	24    	3.51015	2.00316	0.297495 	7.06964
56 	24    	3.48605	2.02334	0.297861 	7.07872
57 	24    	3.44045	2.0619 	0.297861 	7.06964
58 	24    	3.43881	2.06236	0.297158 	7.06869
59 	24    	3.43051	2.06871	0.299173 	7.06895
60 	24    	3.42308	2.07737	0.299173 	7.86488
61 	24    	3.39589	2.0968 	0.299173 	7.86488
62 	24    	3.37045	2.10867	0.295049 	7.07071
63 	24    	3.34209	2.13197	0.245649 	7.07201
64 	24    	3.27995	2.18148	0.245649 	7.0976 
65 	24    	3.26496	2.19145	0.295049 	7.12611
66 	24    	3.24693	2.19639	0.295636 	7.5619 
67 	24    	3.23573	2.19561	0.302636 	7.26919
68 	24    	3.2191 	2.18736	0.302636 	7.26919
69 	24    	3.21085	2.18371	0.29917  	7.24599
70 	24    	3.20298	2.17976	0.29917  	7.24599
71 	24    	3.17874	2.17196	0.29917  	7.24599
72 	24    	3.17007	2.16796	0.29917  	7.23971
73 	24    	3.1678 	2.16485	0.296956 	7.22617
74 	24    	3.16419	2.15994	0.298807 	7.22617
75 	24    	3.15791	2.15086	0.298807 	7.22617
76 	24    	3.15359	2.14518	0.298807 	7.01987
77 	24    	3.14559	2.12877	0.300408 	7.02272
78 	24    	3.1415 	2.11344	0.289733 	6.70184
79 	24    	3.14023	2.10519	0.289733 	6.69924
80 	24    	3.13923	2.11629	0.2947   	6.69701
81 	24    	3.13874	2.11592	0.2947   	6.69701
82 	24    	3.13862	2.11592	0.2947   	6.69701
83 	24    	3.13785	2.11445	0.2947   	6.69662
84 	24    	3.13694	2.1105 	0.2947   	6.97763
85 	24    	3.13539	2.10522	0.2947   	6.97864
86 	24    	3.13348	2.09848	0.2947   	6.97864
87 	24    	3.13115	2.09074	0.2947   	6.97864
88 	24    	3.12682	2.07414	0.301285 	6.97975
89 	24    	3.12572	2.07502	0.297863 	6.97758
90 	24    	3.12497	2.07573	0.30126  	6.97516
91 	24    	3.12403	2.07427	0.299705 	6.98656
92 	24    	3.12287	2.06881	0.30139  	6.98656
93 	24    	3.1203 	2.0558 	0.296957 	6.98656
94 	24    	3.11935	2.04837	0.296957 	6.98656
95 	24    	3.11658	2.02483	0.299336 	6.98756
96 	24    	3.11348	2.02026	0.299336 	6.9842 
97 	24    	3.11248	2.01946	0.298999 	6.9842 
98 	24    	3.10868	2.01284	0.298999 	6.98248
99 	24    	3.10514	2.00985	0.298999 	6.98642
100	24    	3.09827	2.0044 	0.298999 	6.98642
101	24    	3.09169	1.99918	0.298999 	6.98248
102	24    	3.07844	1.98986	0.298999 	6.98462
103	24    	3.05876	1.98008	0.295556 	6.98462
104	24    	3.04251	1.9675 	0.299598 	6.97352
105	24    	3.03207	1.96303	0.302265 	5.77724
106	24    	3.03123	1.96261	0.296312 	5.74807
107	24    	3.03039	1.96355	0.299313 	5.78402
108	24    	3.02951	1.96445	0.299313 	5.78402
109	24    	3.02874	1.96481	0.299313 	5.78402
110	24    	3.02801	1.96595	0.299313 	5.78402
111	24    	3.02772	1.96709	0.299313 	6.4261 
112	24    	3.02437	1.97159	0.285099 	6.4261 
113	24    	3.0193 	1.98004	0.285099 	6.4261 
114	24    	3.01579	1.98384	0.285099 	5.77192
115	24    	3.01524	1.98287	0.285099 	5.74063
116	24    	3.01457	1.98184	0.285099 	5.7402 
117	24    	3.01431	1.98199	0.285099 	5.76274
118	24    	3.01424	1.98155	0.285099 	5.76274
119	24    	3.01414	1.98172	0.285099 	5.76274
120	24    	3.01412	1.98178	0.285099 	5.76274
--- 8484.379940032959 seconds ---
ran GA
