preds
WASF1
['ARHGEF6', 'ABI2', 'BCAR1']
preds
APC
['PTK2', 'RHOA', 'GIT1']
preds
ABI2
['NCKAP1', 'BCAR1', 'GNG12']
preds
NCKAP1
['ABI2', 'BCAR1', 'ARHGEF6']
preds
BAIAP2
['SLC9A1', 'CDC42', 'RHOA']
preds
GIT1
['RHOA', 'CDC42', 'PTK2']
preds
CDC42
['RHOA', 'PTK2', 'CRK']
preds
RHOA
['CDC42', 'PTK2', 'CXCR4']
preds
ARHGEF6
['WASF1', 'NCKAP1', 'CDC42']
preds
GNG12
['ABI2', 'BCAR1', 'WASF1']
preds
CRK
['RHOA', 'CDC42', 'PTK2']
preds
BCAR1
['NCKAP1', 'ABI2', 'GNG12']
preds
PTK2
['RHOA', 'CDC42', 'CRK']
preds
FN1
['BAIAP2', 'WASF1', 'GNG12']
gen	nevals	avg   	std    	min    	max    
0  	24    	8.8525	6.16364	0.26454	20.8918
1  	24    	7.10937	5.55217	0.26454	20.8918
2  	24    	6.28544	4.79399	0.263481	20.8918
3  	24    	5.91202	4.32147	0.261754	20.8918
4  	24    	5.72476	4.24918	0.29261 	19.0436
5  	24    	5.44013	4.10532	0.440507	19.0436
6  	24    	5.27378	4.17557	0.440507	19.0436
7  	24    	5.03673	4.15148	0.280573	19.0436
8  	24    	4.84822	3.69224	0.280573	19.0436
9  	24    	4.70575	3.85734	0.280573	19.0436
10 	24    	4.54811	3.55302	0.280573	19.6524
11 	24    	4.4968 	3.32912	0.2816  	19.6531
12 	24    	4.41066	3.01805	0.282536	18.1716
13 	24    	4.33851	2.74809	0.282536	18.1691
14 	24    	4.28338	2.6863 	0.282536	11.7487
15 	24    	4.17606	2.63006	0.307449	11.57  
16 	24    	4.13048	2.59898	0.309789	11.5824
17 	24    	4.04286	2.54189	0.336401	11.5824
18 	24    	3.95654	2.5477 	0.332748	11.5824
19 	24    	3.85718	2.47479	0.307816	11.1542
20 	24    	3.82169	2.43838	0.307816	11.156 
21 	24    	3.73192	2.32079	0.307816	11.162 
22 	24    	3.64923	2.2344 	0.304778	11.162 
23 	24    	3.50852	2.00777	0.278831	11.0251
24 	24    	3.41338	1.89623	0.278831	8.48469
25 	24    	3.39824	1.8913 	0.302702	8.46204
26 	24    	3.38404	1.93444	0.302702	8.43835
27 	24    	3.35876	2.00681	0.265027	8.4376 
28 	24    	3.3463 	2.02634	0.264685	8.4376 
29 	24    	3.33193	2.05604	0.261752	8.45949
30 	24    	3.30942	2.05097	0.263882	8.41678
31 	24    	3.28112	2.03545	0.26477 	8.3817 
32 	24    	3.25144	2.02003	0.26477 	8.35857
33 	24    	3.21959	2.0282 	0.262087	9.43678
34 	24    	3.2006 	2.02996	0.262087	9.4495 
35 	24    	3.18351	2.02926	0.262087	9.45271
36 	24    	3.17876	2.06315	0.262087	9.45753
37 	24    	3.16443	2.126  	0.262087	9.45993
38 	24    	3.14549	2.19237	0.262087	9.46216
39 	24    	3.13155	2.18521	0.300598	9.47907
40 	24    	3.12955	2.18428	0.300598	9.47083
41 	24    	3.12791	2.18386	0.300598	9.47521
42 	24    	3.12723	2.18374	0.300598	9.47521
43 	24    	3.12721	2.18353	0.300598	9.47521
44 	24    	3.12695	2.18346	0.300598	9.47521
45 	24    	3.12683	2.18315	0.300598	9.47521
46 	24    	3.12645	2.18272	0.300327	9.47083
47 	24    	3.12627	2.18281	0.299945	9.47083
48 	24    	3.12545	2.18319	0.299945	9.47083
49 	24    	3.12454	2.18367	0.299945	9.47309
50 	24    	3.12407	2.18415	0.299945	9.47309
51 	24    	3.12014	2.18642	0.299945	9.47309
52 	24    	3.11485	2.17615	0.299945	9.4739 
53 	24    	3.10915	2.16762	0.301692	9.4739 
54 	24    	3.10601	2.13801	0.301692	9.46866
55 	24    	3.10219	2.08006	0.301692	9.46866
56 	24    	3.09826	1.99178	0.301692	9.46866
