preds
WASF1
['ARHGEF6', 'NCKAP1', 'ABI2']
preds
APC
['CDC42', 'RHOA', 'GIT1']
preds
ABI2
['NCKAP1', 'GNG12', 'WASF1']
preds
NCKAP1
['ABI2', 'GNG12', 'WASF1']
preds
BAIAP2
['PTK2', 'CDC42', 'RHOA']
preds
GIT1
['RHOA', 'CDC42', 'SLC9A1']
preds
CDC42
['RHOA', 'FN1', 'APC']
preds
RHOA
['CDC42', 'PTK2', 'ENAH']
preds
ARHGEF6
['WASF1', 'SRC', 'NCKAP1']
preds
GNG12
['ABI2', 'NCKAP1', 'WASF1']
preds
CRK
['RHOA', 'FN1', 'BAIAP2']
preds
BCAR1
['WASF1', 'BAIAP2', 'CDC42']
preds
PTK2
['RHOA', 'GIT1', 'BAIAP2']
preds
FN1
['CRK', 'RHOA', 'CDC42']
gen	nevals	avg  	std    	min     	max    
0  	24    	8.058	5.51904	0.130938	20.8918
1  	24    	6.64765	4.69988	0.130938	20.8918
2  	24    	5.84222	4.16415	0.130938	20.8918
3  	24    	5.56669	3.85384	0.127231	20.8918
4  	24    	5.29719	3.71335	0.0425289	18.1874
5  	24    	5.04819	3.39936	0.125145 	18.1874
6  	24    	4.91405	3.18864	0.122501 	18.1941
7  	24    	4.75126	2.9646 	0.122501 	18.1429
8  	24    	4.61191	2.5891 	0.11931  	12.5291
9  	24    	4.5136 	2.48528	0.11931  	11.9852
10 	24    	4.45127	2.39815	0.116025 	11.7817
11 	24    	4.41697	2.29161	0.116025 	11.7902
12 	24    	4.38001	2.25445	0.116025 	11.7799
13 	24    	4.34312	2.24379	0.116025 	11.7799
14 	24    	4.31571	2.25916	0.110494 	10.4641
15 	24    	4.28367	2.1766 	0.110494 	10.4641
16 	24    	4.24635	2.01654	0.114676 	10.462 
17 	24    	4.20438	1.93091	0.211212 	9.75534
18 	24    	4.16314	1.80737	0.211212 	9.7174 
19 	24    	4.13244	1.81793	0.210217 	8.47465
20 	24    	4.13124	1.82784	0.211822 	8.4411 
21 	24    	4.13054	1.82991	0.211245 	8.43894
22 	24    	4.12941	1.83106	0.211235 	8.43894
23 	24    	4.12909	1.83554	0.211235 	8.42246
24 	24    	4.11822	1.84874	0.211235 	9.52464
25 	24    	4.09958	1.86944	0.0298985	10.2134
26 	24    	4.0784 	1.89978	0.0298985	10.2134
27 	24    	4.01266	1.95886	0.0298985	10.2134
28 	24    	3.96149	2.0525 	0.210996 	9.56746
29 	24    	3.95968	2.05059	0.210909 	9.53709
