preds
WASF1
['ARHGEF6', 'NCKAP1', 'ABI2']
preds
APC
['CDC42', 'RHOA', 'BAIAP2']
preds
ABI2
['GNG12', 'WASF1', 'ARHGEF6']
preds
NCKAP1
['GNG12', 'WASF1', 'ARHGEF6']
preds
BAIAP2
['CDC42', 'RHOA', 'APC']
preds
GIT1
['RHOA', 'ENAH', 'PTK2']
preds
CDC42
['RHOA', 'SLC9A1', 'APC']
preds
RHOA
['CDC42', 'PTK2', 'CRK']
preds
ARHGEF6
['WASF1', 'ABI2', 'NCKAP1']
preds
GNG12
['ABI2', 'NCKAP1', 'WASF1']
preds
CRK
['RHOA', 'FN1', 'BAIAP2']
preds
BCAR1
['BAIAP2', 'GIT1', 'FN1']
preds
PTK2
['RHOA', 'CXCR4', 'GIT1']
preds
FN1
['CRK', 'RHOA', 'BCAR1']
gen	nevals	avg    	std   	min    	max    
0  	24    	8.12143	5.9003	0.10698	21.3059
1  	24    	7.1873 	5.36766	0.103959	21.4086
2  	24    	6.63731	4.89034	0.0984381	21.4086
3  	24    	6.16064	4.453  	0.0957984	21.4651
4  	24    	5.57578	3.56701	0.0930962	20.6383
5  	24    	5.29039	3.52084	0.0930962	20.6193
6  	24    	5.00853	3.34307	0.0930962	18.004 
7  	24    	4.65423	3.24692	0.0930962	17.7895
8  	24    	4.47065	3.13126	0.096709 	17.8057
9  	24    	4.33544	3.04077	0.096709 	17.3305
10 	24    	4.22553	3.00296	0.151567 	10.0498
11 	24    	4.1609 	3.02228	0.151567 	10.0498
12 	24    	4.07086	3.06931	0.151014 	9.51868
13 	24    	4.02578	3.05343	0.151014 	9.49772
14 	24    	4.00314	3.05988	0.154105 	9.48752
15 	24    	3.97986	3.02718	0.151739 	9.49658
16 	24    	3.94626	2.9827 	0.151904 	9.51336
17 	24    	3.90419	2.9479 	0.148421 	9.51336
18 	24    	3.90171	2.94667	0.148073 	9.53452
19 	24    	3.89852	2.94369	0.149927 	9.51336
20 	24    	3.89664	2.94354	0.149927 	9.51336
21 	24    	3.89478	2.94294	0.151119 	9.51336
22 	24    	3.89323	2.94183	0.147305 	9.4984 
23 	24    	3.89135	2.93975	0.147305 	9.51896
24 	24    	3.88953	2.93759	0.151119 	9.51896
25 	24    	3.8872 	2.93615	0.147032 	9.51896
26 	24    	3.88617	2.93494	0.151264 	9.51896
27 	24    	3.88553	2.93426	0.148631 	9.51896
28 	24    	3.88459	2.93315	0.148631 	9.51896
29 	24    	3.88419	2.93268	0.148631 	9.51896
30 	24    	3.87054	2.93094	0.148631 	9.51896
31 	24    	3.87035	2.93073	0.148631 	9.51896
32 	24    	3.84412	2.92873	0.148631 	9.51896
33 	24    	3.80522	2.9267 	0.148631 	9.51896
34 	24    	3.68929	2.91767	0.148631 	9.51896
35 	24    	3.5644 	2.88975	0.149598 	9.39655
36 	24    	3.55727	2.87989	0.149598 	9.3995 
37 	24    	3.55592	2.87839	0.149598 	9.39179
38 	24    	3.55554	2.87884	0.149598 	9.39179
39 	24    	3.55536	2.87852	0.149598 	9.39179
40 	24    	3.55495	2.87758	0.149598 	9.39387
41 	24    	3.55458	2.87672	0.149598 	9.39161
42 	24    	3.55434	2.87603	0.149598 	9.39161
43 	24    	3.55382	2.87582	0.146755 	9.39161
44 	24    	3.55371	2.87585	0.146755 	9.39337
45 	24    	3.55359	2.87621	0.146755 	9.39198
46 	24    	3.55341	2.87587	0.146755 	9.39198
47 	24    	3.55338	2.87574	0.145787 	9.39198
48 	24    	3.55325	2.87536	0.145787 	9.39198
49 	24    	3.54979	2.85038	0.145787 	9.39198
50 	24    	3.54626	2.82571	0.145787 	9.39198
51 	24    	3.53503	2.77846	0.152619 	9.62456
52 	24    	3.51967	2.71205	0.151026 	9.62456
53 	24    	3.50728	2.66945	0.151026 	9.62456
54 	24    	3.48326	2.54764	0.154088 	9.6535 
55 	24    	3.45397	2.55599	0.15361  	9.69032
56 	24    	3.42861	2.67004	0.15361  	9.69032
57 	24    	3.42704	2.66833	0.148595 	9.6535 
58 	24    	3.42453	2.67027	0.15361  	9.65088
59 	24    	3.42404	2.66984	0.153003 	9.65088
60 	24    	3.42202	2.67126	0.153003 	9.63821
61 	24    	3.42202	2.67147	0.153003 	9.64766
62 	24    	3.41895	2.67508	0.153003 	9.63936
63 	24    	3.41728	2.67743	0.153003 	9.66307
64 	24    	3.41227	2.68366	0.150275 	9.66307
65 	24    	3.40242	2.69458	0.150275 	9.66307
66 	24    	3.38895	2.71085	0.152175 	9.66307
67 	24    	3.38517	2.71153	0.152175 	9.67236
68 	24    	3.38394	2.71161	0.150726 	9.67236
69 	24    	3.3826 	2.71155	0.150553 	9.68172
70 	24    	3.38236	2.71163	0.150553 	9.68172
71 	24    	3.38145	2.71092	0.150553 	9.68172
72 	24    	3.38078	2.71058	0.144888 	9.68172
73 	24    	3.38039	2.70949	0.144888 	9.68172
74 	24    	3.38023	2.70945	0.14799  	9.68172
75 	24    	3.37783	2.709  	0.14799  	9.72332
76 	24    	3.37757	2.70851	0.14799  	9.72332
77 	24    	3.37516	2.70841	0.14799  	9.72332
78 	24    	3.37266	2.70788	0.14799  	9.72332
79 	24    	3.36521	2.70581	0.14799  	9.72332
80 	24    	3.35249	2.70264	0.14799  	9.72332
81 	24    	3.33029	2.6962 	0.149488 	9.72332
82 	24    	3.32005	2.69266	0.14729  	9.67925
83 	24    	3.31896	2.69208	0.14729  	9.67665
84 	24    	3.31809	2.69118	0.14729  	9.67714
85 	24    	3.31797	2.69122	0.14729  	9.67714
86 	24    	3.31753	2.69094	0.14729  	9.67714
87 	24    	3.31615	2.69009	0.149488 	9.67714
88 	24    	3.31605	2.68988	0.149488 	9.67714
89 	24    	3.31604	2.68984	0.149488 	9.67714
90 	24    	3.31588	2.69009	0.130321 	9.67714
91 	24    	3.31291	2.69135	0.122733 	9.67714
92 	24    	3.31006	2.69399	0.122733 	9.77694
93 	24    	3.30553	2.70087	0.122733 	9.79018
94 	24    	3.2982 	2.70576	0.123013 	9.79018
95 	24    	3.29369	2.69989	0.123013 	9.76683
96 	24    	3.29131	2.69624	0.123013 	9.69809
97 	24    	3.29076	2.69595	0.119289 	9.69809
98 	24    	3.28985	2.69565	0.123013 	9.69809
99 	24    	3.28805	2.69312	0.12744  	9.67103
100	24    	3.28699	2.69177	0.128163 	9.67103
101	24    	3.28338	2.69272	0.122285 	9.68858
102	24    	3.28297	2.69314	0.122285 	9.68858
103	24    	3.28297	2.69314	0.122285 	9.68858
104	24    	3.28124	2.69533	0.123983 	9.65841
105	24    	3.27767	2.69889	0.118734 	9.65841
106	24    	3.27287	2.70455	0.123983 	9.65642
107	24    	3.26317	2.71094	0.124624 	9.65642
108	24    	3.24842	2.71426	0.124624 	9.66746
109	24    	3.2344 	2.71569	0.115594 	9.66746
110	24    	3.20949	2.72194	0.124866 	9.68378
111	24    	3.20638	2.72508	0.124866 	9.68378
112	24    	3.20387	2.72763	0.122624 	9.66746
113	24    	3.20292	2.72631	0.118609 	9.66746
114	24    	3.20246	2.72556	0.118609 	9.66746
115	24    	3.20206	2.72546	0.118609 	9.66746
116	24    	3.19568	2.72387	0.118609 	9.66746
117	24    	3.18994	2.72223	0.118609 	9.66746
118	24    	3.18967	2.72094	0.118609 	9.66442
119	24    	3.18945	2.72116	0.118609 	9.66442
120	24    	3.18927	2.72064	0.118609 	9.66442
--- 8358.75605750084 seconds ---
ran GA
