preds
WASF1
['ARHGEF6', 'NCKAP1', 'ABI2']
preds
APC
['PTK2', 'RHOA', 'BAIAP2']
preds
ABI2
['NCKAP1', 'BCAR1', 'GNG12']
preds
NCKAP1
['ABI2', 'GNG12', 'WASF1']
preds
BAIAP2
['CDC42', 'RHOA', 'APC']
preds
GIT1
['RHOA', 'CDC42', 'CRK']
preds
CDC42
['RHOA', 'PTK2', 'GSN']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['WASF1', 'ABI2', 'NCKAP1']
preds
GNG12
['ABI2', 'NCKAP1', 'GIT1']
preds
CRK
['RHOA', 'PTK2', 'FN1']
preds
BCAR1
['ABI2', 'WASF1', 'BAIAP2']
preds
PTK2
['RHOA', 'CDC42', 'CRK']
preds
FN1
['CRK', 'CDC42', 'WASF1']
gen	nevals	avg    	std    	min     	max    
0  	24    	7.63041	5.41612	0.224384	20.8918
1  	24    	6.24782	4.50909	0.163373	20.8918
2  	24    	5.71327	4.06976	0.0282759	20.8918
3  	24    	5.37265	3.65223	0.12643  	20.8918
4  	24    	5.10795	3.41968	0.12643  	20.8918
5  	24    	4.92146	2.82245	0.260976 	20.8918
6  	24    	4.80533	2.53935	0.226149 	14.3113
7  	24    	4.76637	2.64451	0.260976 	16.7906
8  	24    	4.71543	2.44142	0.260976 	14.3277
9  	24    	4.64591	2.24403	0.261928 	13.2226
10 	24    	4.57711	2.12851	0.216096 	10.2719
11 	24    	4.52421	2.10158	0.215524 	11.107 
12 	24    	4.43516	2.00378	0.215042 	11.107 
13 	24    	4.36812	1.95009	0.213838 	9.51948
14 	24    	4.32112	1.95361	0.412662 	9.54926
15 	24    	4.27711	2.05682	0.412662 	9.54747
16 	24    	4.24683	2.03927	0.412662 	9.63989
17 	24    	4.21748	2.00161	0.412662 	9.05701
18 	24    	4.16877	2.07535	0.412662 	9.05701
19 	24    	4.11639	2.01522	0.416189 	9.05701
20 	24    	4.09109	2.00555	0.422922 	9.05701
21 	24    	4.08279	2.03405	0.422922 	9.057  
22 	24    	4.08058	2.03895	0.422922 	9.05699
23 	24    	4.07805	2.05454	0.422922 	9.05699
24 	24    	4.07457	2.07997	0.422922 	9.05699
25 	24    	4.07107	2.10596	0.422922 	9.05698
26 	24    	4.06975	2.10506	0.422922 	9.05698
27 	24    	4.0662 	2.10306	0.388386 	9.05701
28 	24    	4.06207	2.10162	0.388386 	9.05701
29 	24    	4.05833	2.09992	0.388386 	9.05701
30 	24    	4.04557	2.0978 	0.388386 	9.05701
31 	24    	4.03294	2.09511	0.388386 	9.05701
32 	24    	4.02418	2.09247	0.397764 	9.05701
33 	24    	4.02124	2.08898	0.395262 	9.05701
34 	24    	4.01961	2.08701	0.394594 	9.05701
35 	24    	4.01877	2.08619	0.391695 	9.05701
36 	24    	4.01289	2.07653	0.391695 	9.05701
37 	24    	4.00664	2.06648	0.3899   	9.05701
38 	24    	4.00048	2.05614	0.3899   	9.05701
39 	24    	3.99494	2.04649	0.3899   	9.05701
40 	24    	3.96729	1.99744	0.389271 	9.05701
41 	24    	3.95082	1.96703	0.389271 	9.05701
42 	24    	3.89632	1.86259	0.389271 	9.05701
43 	24    	3.88391	1.83837	0.404204 	7.80572
44 	24    	3.88282	1.83731	0.404204 	7.80645
45 	24    	3.88199	1.83613	0.404204 	7.78409
46 	24    	3.87963	1.83575	0.404106 	7.79635
47 	24    	3.87771	1.83529	0.404106 	7.82499
48 	24    	3.87555	1.83488	0.402288 	7.86091
49 	24    	3.86947	1.83687	0.402288 	7.86091
50 	24    	3.85543	1.8392 	0.338685 	7.90981
51 	24    	3.83859	1.83854	0.352829 	7.94957
52 	24    	3.83625	1.83543	0.352829 	7.94957
53 	24    	3.83541	1.83536	0.352829 	7.94957
54 	24    	3.83501	1.83281	0.356621 	7.91678
55 	24    	3.83489	1.83235	0.356621 	7.91678
56 	24    	3.83232	1.83205	0.356621 	7.91678
57 	24    	3.83202	1.83196	0.356621 	7.91678
58 	24    	3.8318 	1.83321	0.350964 	7.92092
59 	24    	3.83147	1.83254	0.347281 	7.92092
60 	24    	3.82929	1.8328 	0.347281 	7.92092
61 	24    	3.82929	1.8328 	0.347281 	7.92092
62 	24    	3.82696	1.83316	0.34556  	7.88014
63 	24    	3.82125	1.83558	0.34556  	7.88014
64 	24    	3.81776	1.83742	0.34556  	7.88014
65 	24    	3.8032 	1.8437 	0.34556  	7.88014
66 	24    	3.78644	1.84841	0.474505 	7.46186
67 	24    	3.78406	1.84547	0.474505 	7.42346
68 	24    	3.78314	1.84394	0.474505 	7.41789
69 	24    	3.77836	1.84645	0.461148 	7.4189 
70 	24    	3.77455	1.85049	0.461148 	7.4189 
71 	24    	3.77071	1.85617	0.461148 	7.4189 
72 	24    	3.7643 	1.86492	0.461148 	7.45763
73 	24    	3.75151	1.88591	0.458443 	7.46632
74 	24    	3.74688	1.89068	0.458443 	7.42891
75 	24    	3.74034	1.90033	0.458443 	7.42392
76 	24    	3.72719	1.91085	0.465011 	7.3971 
77 	24    	3.71299	1.92538	0.460024 	7.21606
78 	24    	3.71225	1.92532	0.460024 	7.20108
79 	24    	3.7085 	1.92225	0.458511 	7.19391
80 	24    	3.7077 	1.92067	0.455802 	7.19391
81 	24    	3.70546	1.91641	0.455802 	7.19391
82 	24    	3.70485	1.9137 	0.455802 	7.20035
83 	24    	3.69948	1.911  	0.355384 	7.20035
84 	24    	3.69488	1.89683	0.355384 	7.22336
85 	24    	3.68695	1.88185	0.355384 	7.2423 
86 	24    	3.6785 	1.87639	0.355004 	7.2423 
87 	24    	3.66961	1.87834	0.291804 	7.2423 
88 	24    	3.64224	1.89227	0.291804 	7.2423 
89 	24    	3.61298	1.92224	0.291804 	7.2423 
90 	24    	3.60144	1.91289	0.292623 	7.2418 
91 	24    	3.59576	1.90336	0.351746 	7.20071
92 	24    	3.59208	1.90058	0.351019 	7.17957
93 	24    	3.58521	1.89154	0.351019 	7.18699
94 	24    	3.5815 	1.89065	0.351019 	7.19457
95 	24    	3.57777	1.88796	0.351746 	7.19474
96 	24    	3.57737	1.88977	0.351746 	7.19474
97 	24    	3.57628	1.88882	0.351024 	7.19474
98 	24    	3.57218	1.88277	0.351024 	7.19474
99 	24    	3.56995	1.87718	0.351024 	7.22345
100	24    	3.56365	1.86205	0.351024 	7.22345
101	24    	3.56103	1.85694	0.351024 	7.22345
102	24    	3.54973	1.8215 	0.351024 	7.17971
103	24    	3.54326	1.78376	0.352821 	7.1649 
104	24    	3.5386 	1.77009	0.353678 	7.1649 
105	24    	3.52461	1.75552	0.353678 	7.09082
106	24    	3.51742	1.7537 	0.355461 	7.18576
107	24    	3.51672	1.75261	0.355461 	7.18576
108	24    	3.51418	1.74601	0.355461 	7.18576
109	24    	3.51192	1.74233	0.355461 	7.18576
110	24    	3.50641	1.74241	0.355461 	7.18576
111	24    	3.49862	1.74075	0.355461 	7.18576
112	24    	3.49659	1.73498	0.355461 	7.18576
113	24    	3.48258	1.74191	0.353991 	7.18576
114	24    	3.46047	1.7434 	0.353991 	7.18576
115	24    	3.43907	1.7122 	0.357043 	6.87031
116	24    	3.4191 	1.72807	0.357999 	6.88568
117	24    	3.38831	1.75911	0.377099 	6.88568
118	24    	3.38569	1.75292	0.408095 	6.80941
119	24    	3.38489	1.75423	0.409843 	6.80941
120	24    	3.38465	1.75413	0.409843 	6.80941
--- 8244.176345825195 seconds ---
ran GA
