preds
WASF1
['NCKAP1', 'ABI2', 'BCAR1']
preds
APC
['WASF2', 'CDC42', 'RHOA']
preds
ABI2
['NCKAP1', 'GNG12', 'WASF1']
preds
NCKAP1
['ABI2', 'BCAR1', 'GNG12']
preds
BAIAP2
['RHOA', 'APC', 'CRK']
preds
GIT1
['RHOA', 'CDC42', 'CRK']
preds
CDC42
['RHOA', 'CRK', 'APC']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['NCKAP1', 'GIT1', 'CDC42']
preds
GNG12
['ABI2', 'NCKAP1', 'WASF1']
preds
CRK
['RHOA', 'CDC42', 'GIT1']
preds
BCAR1
['NCKAP1', 'WASF1', 'BAIAP2']
preds
PTK2
['RHOA', 'VCL', 'FN1']
preds
FN1
['RHOA', 'ENAH', 'PTK2']
gen	nevals	avg    	std    	min      	max    
0  	24    	9.01315	6.24572	0.0401734	20.8918
1  	24    	7.22158	5.48304	0.0484311	21.3092
2  	24    	6.21483	4.68692	0.0521306	21.3092
3  	24    	5.69426	3.96716	0.0491862	20.8481
4  	24    	5.1279 	3.23621	0.0518029	19.9441
5  	24    	4.74976	2.60774	0.15452  	14.8829
6  	24    	4.69541	2.53454	0.12695  	16.6407
7  	24    	4.5987 	2.49353	0.126851 	16.6612
8  	24    	4.48266	2.40639	0.154844 	12.3584
9  	24    	4.41497	2.20451	0.155426 	11.4404
10 	24    	4.34261	2.08011	0.363841 	8.94602
11 	24    	4.31373	2.02736	0.398575 	8.94602
12 	24    	4.27624	2.02122	0.401708 	8.95023
13 	24    	4.26588	1.99258	0.401481 	8.94602
14 	24    	4.26484	1.99209	0.401138 	8.94602
15 	24    	4.2644 	1.99199	0.401138 	8.94602
16 	24    	4.26147	1.9893 	0.288628 	9.30176
17 	24    	4.25613	1.98508	0.283658 	9.30492
18 	24    	4.24867	1.97822	0.283658 	9.30492
19 	24    	4.23647	1.96715	0.281792 	9.30492
20 	24    	4.21783	1.94922	0.280723 	9.30979
21 	24    	4.20393	1.93994	0.276585 	9.32214
22 	24    	4.20235	1.94021	0.276585 	9.32214
23 	24    	4.20153	1.93734	0.276585 	9.32214
24 	24    	4.19181	1.9206 	0.276924 	9.3188 
25 	24    	4.19137	1.9146 	0.276924 	9.31368
26 	24    	4.18802	1.90212	0.276924 	9.31368
27 	24    	4.17467	1.87483	0.277722 	9.312  
28 	24    	4.12619	1.78748	0.3895   	9.20173
29 	24    	4.08912	1.66689	0.3895   	7.49613
30 	24    	4.06685	1.65756	0.3895   	7.50455
31 	24    	4.00049	1.62997	0.3876   	7.52577
32 	24    	3.95074	1.59552	0.3876   	7.51073
33 	24    	3.9052 	1.59451	0.391302 	7.52906
34 	24    	3.8692 	1.55363	0.387109 	7.52017
35 	24    	3.8342 	1.52336	0.387109 	5.83744
36 	24    	3.83028	1.52557	0.115605 	5.83744
37 	24    	3.82978	1.52529	0.115605 	5.83744
38 	24    	3.82673	1.52796	0.115605 	5.83744
39 	24    	3.81774	1.54119	0.115605 	6.4362 
