preds
WASF1
['NCKAP1', 'ABI2', 'BCAR1']
preds
APC
['RHOA', 'FN1', 'BAIAP2']
preds
ABI2
['NCKAP1', 'BCAR1', 'F2R']
preds
NCKAP1
['ABI2', 'SRC', 'GNG12']
preds
BAIAP2
['PTK2', 'RHOA', 'APC']
preds
GIT1
['RHOA', 'CDC42', 'CRK']
preds
CDC42
['RHOA', 'PTK2', 'FN1']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['ABI2', 'GNG12', 'APC']
preds
GNG12
['NCKAP1', 'ARHGEF6', 'BAIAP2']
preds
CRK
['RHOA', 'GIT1', 'BAIAP2']
preds
BCAR1
['ABI2', 'WASF1', 'BAIAP2']
preds
PTK2
['RHOA', 'CDC42', 'WASF2']
preds
FN1
['CDC42', 'APC', 'BAIAP2']
gen	nevals	avg   	std    	min     	max    
0  	24    	6.5879	4.85654	0.255142	20.8918
1  	24    	5.30228	3.46784	0.133662	20.8918
2  	24    	4.95357	3.08964	0.133662	19.7118
3  	24    	4.80993	2.87498	0.29261 	15.3325
4  	24    	4.70296	2.7044 	0.29261 	14.9386
5  	24    	4.62568	2.79647	0.0959024	18.1908
6  	24    	4.51918	2.74924	0.253162 	18.1908
7  	24    	4.40856	2.63317	0.173933 	17.8565
8  	24    	4.23457	2.2836 	0.130654 	13.9418
9  	24    	4.09379	2.16933	0.130654 	13.9418
10 	24    	4.03317	2.13186	0.132575 	8.63999
11 	24    	3.98396	2.11193	0.128766 	8.63999
12 	24    	3.94946	2.05416	0.128563 	7.42085
13 	24    	3.89045	2.11332	0.13369  	7.4519 
14 	24    	3.85361	2.1115 	0.133735 	7.45382
15 	24    	3.83755	2.10644	0.296739 	7.44979
16 	24    	3.81925	2.10915	0.299521 	7.4361 
17 	24    	3.81331	2.10747	0.299521 	7.42604
18 	24    	3.8067 	2.10947	0.298551 	7.42658
19 	24    	3.7996 	2.11225	0.298147 	7.254  
20 	24    	3.79627	2.10961	0.197223 	7.254  
21 	24    	3.79534	2.10884	0.197223 	7.24828
22 	24    	3.79481	2.10841	0.197223 	7.24828
23 	24    	3.79443	2.10647	0.197223 	7.24825
24 	24    	3.79253	2.10556	0.197223 	7.24825
25 	24    	3.79148	2.1007 	0.197173 	7.24067
26 	24    	3.78854	2.09439	0.196868 	6.91524
27 	24    	3.78627	2.09743	0.196868 	6.91524
28 	24    	3.77903	2.09225	0.323435 	6.90702
29 	24    	3.77018	2.07808	0.323435 	6.89912
30 	24    	3.75489	2.05658	0.324057 	6.60305
31 	24    	3.7505 	2.05517	0.323542 	6.3458 
32 	24    	3.74504	2.05334	0.322692 	6.33484
33 	24    	3.7382 	2.04357	0.322692 	6.89667
34 	24    	3.73429	2.04067	0.321491 	6.89667
35 	24    	3.73411	2.03556	0.321491 	6.90014
36 	24    	3.73405	2.03566	0.321491 	6.90014
37 	24    	3.73387	2.03052	0.321491 	6.90626
38 	24    	3.73364	2.01479	0.321491 	6.91035
39 	24    	3.73326	1.99408	0.321491 	6.9109 
40 	24    	3.73229	1.95459	0.322692 	7.54698
41 	24    	3.73143	1.91435	0.355889 	7.55964
42 	24    	3.7305 	1.90928	0.355889 	7.55964
43 	24    	3.72971	1.90115	0.355889 	7.56305
44 	24    	3.72827	1.88769	0.355889 	7.56305
45 	24    	3.72574	1.86402	0.186724 	7.57107
46 	24    	3.72385	1.86469	0.186724 	8.74523
47 	24    	3.72281	1.86613	0.186724 	8.74523
48 	24    	3.72025	1.87012	0.186724 	8.74523
49 	24    	3.71725	1.87551	0.186724 	8.74523
50 	24    	3.71337	1.88175	0.182924 	8.74523
51 	24    	3.71312	1.88157	0.18473  	8.74523
52 	24    	3.71074	1.89123	0.18473  	8.76324
53 	24    	3.70177	1.91976	0.18473  	8.77103
54 	24    	3.69368	1.94115	0.18473  	8.77103
55 	24    	3.6752 	1.92524	0.188227 	6.79263
56 	24    	3.66677	1.91228	0.185283 	6.79263
57 	24    	3.66589	1.90106	0.185283 	6.79263
58 	24    	3.66129	1.86877	0.185283 	6.79263
59 	24    	3.65679	1.84009	0.185867 	6.7743 
60 	24    	3.65388	1.83795	0.184943 	6.77606
61 	24    	3.64109	1.82744	0.186166 	6.7717 
62 	24    	3.62991	1.81671	0.347565 	6.42805
63 	24    	3.62644	1.8118 	0.347565 	6.42821
64 	24    	3.61813	1.80248	0.347514 	6.42854
65 	24    	3.60696	1.7871 	0.347514 	6.42854
66 	24    	3.59515	1.76708	0.348077 	6.42464
67 	24    	3.59407	1.76578	0.347991 	6.42464
68 	24    	3.59204	1.76612	0.347726 	6.42563
69 	24    	3.58693	1.76551	0.348077 	6.42563
70 	24    	3.57538	1.7664 	0.348042 	6.42638
71 	24    	3.56043	1.76203	0.347566 	6.42785
72 	24    	3.55334	1.74418	0.347566 	6.42785
73 	24    	3.54817	1.73196	0.347566 	5.80184
74 	24    	3.53495	1.72751	0.347566 	5.59453
75 	24    	3.52486	1.73108	0.347566 	6.67284
76 	24    	3.51723	1.72556	0.347566 	5.57716
77 	24    	3.51225	1.72202	0.347243 	5.56836
78 	24    	3.50918	1.7211 	0.347822 	5.56836
79 	24    	3.50428	1.71702	0.347822 	5.56836
80 	24    	3.49109	1.71698	0.146975 	6.472  
81 	24    	3.48376	1.70958	0.146975 	6.472  
82 	24    	3.47118	1.69555	0.146975 	6.472  
83 	24    	3.46151	1.68947	0.146975 	6.472  
84 	24    	3.45613	1.68548	0.146975 	6.472  
85 	24    	3.45315	1.68352	0.146975 	6.472  
86 	24    	3.44307	1.67816	0.146975 	6.472  
87 	24    	3.42208	1.69977	0.145713 	6.47928
88 	24    	3.40923	1.64991	0.508741 	5.82553
89 	24    	3.40836	1.66439	0.508741 	5.83549
90 	24    	3.40739	1.67899	0.508741 	5.8355 
91 	24    	3.40617	1.68875	0.509357 	5.8471 
92 	24    	3.40569	1.70226	0.133867 	6.5377 
93 	24    	3.40542	1.70234	0.133867 	6.5377 
94 	24    	3.40197	1.71483	0.133867 	6.5377 
95 	24    	3.4018 	1.72334	0.133681 	6.5377 
96 	24    	3.40087	1.7061 	0.133867 	6.5377 
97 	24    	3.39665	1.71844	0.133867 	6.53779
98 	24    	3.38881	1.72556	0.133867 	6.53779
99 	24    	3.38397	1.74516	0.133781 	6.53791
100	24    	3.36623	1.74976	0.13391  	7.06426
101	24    	3.34216	1.7685 	0.321788 	7.06426
102	24    	3.32765	1.78417	0.321788 	6.0068 
103	24    	3.3251 	1.78411	0.32248  	6.0068 
104	24    	3.32158	1.78436	0.322727 	6.01054
105	24    	3.31898	1.78447	0.32284  	6.00986
106	24    	3.31855	1.78476	0.321985 	6.00986
107	24    	3.31726	1.78555	0.321985 	6.00986
108	24    	3.31719	1.78566	0.321985 	6.00986
109	24    	3.31712	1.78571	0.321985 	6.00986
110	24    	3.31481	1.78706	0.321985 	6.00986
111	24    	3.31267	1.78861	0.321985 	6.01112
112	24    	3.31154	1.78912	0.321952 	6.01112
113	24    	3.30838	1.79109	0.322537 	6.00986
114	24    	3.30211	1.79513	0.322537 	6.00986
115	24    	3.29486	1.7995 	0.322537 	6.00843
116	24    	3.29258	1.80091	0.322041 	6.00679
117	24    	3.2894 	1.79817	0.322041 	6.00432
118	24    	3.28936	1.79821	0.322041 	6.00432
119	24    	3.28328	1.79252	0.321854 	6.01779
120	24    	3.28324	1.79261	0.321854 	6.01779
--- 8347.348181724548 seconds ---
ran GA
