slurmstepd: error: task/cgroup: unable to add task[pid=91253] to memory cg '(null)'
preds
WASF1
['ARHGEF6', 'NCKAP1', 'BCAR1']
preds
APC
['RHOA', 'BAIAP2', 'NCKAP1']
preds
ABI2
['BCAR1', 'GNG12', 'ARHGEF6']
preds
NCKAP1
['WASF1', 'BAIAP2', 'GIT1']
preds
BAIAP2
['PTK2', 'CDC42', 'RHOA']
preds
GIT1
['RHOA', 'PTK2', 'CRK']
preds
CDC42
['RHOA', 'VCL', 'BAIAP2']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['WASF1', 'ABI2', 'PTK2']
preds
GNG12
['ABI2', 'WASF1', 'BAIAP2']
preds
CRK
['RHOA', 'PTK2', 'FN1']
preds
BCAR1
['ABI2', 'WASF1', 'BAIAP2']
preds
PTK2
['RHOA', 'CRK', 'GIT1']
preds
FN1
['CRK', 'RHOA', 'SRC']
gen	nevals	avg    	std    	min     	max    
0  	24    	7.13586	5.01056	0.190693	20.8918
1  	24    	5.97052	4.21609	0.133143	19.0436
2  	24    	5.54068	3.83059	0.133143	19.0436
3  	24    	5.23947	3.50174	0.133143	19.0436
4  	24    	5.07186	3.2814 	0.133143	18.1385
5  	24    	4.86254	3.05907	0.133143	18.1266
6  	24    	4.74484	3.02596	0.133143	18.1385
7  	24    	4.65234	2.99767	0.118303	18.1385
8  	24    	4.50291	2.94033	0.1177  	18.1385
9  	24    	4.39151	2.77809	0.1177  	14.8756
10 	24    	4.33296	2.69906	0.11751 	12.3536
11 	24    	4.21943	2.53271	0.11751 	11.8545
12 	24    	4.11807	2.44478	0.118121	11.7033
13 	24    	4.03077	2.48974	0.166068	9.95226
14 	24    	3.97369	2.45656	0.180414	9.74671
15 	24    	3.93303	2.37477	0.180144	9.48099
16 	24    	3.89776	2.33169	0.274024	9.36661
17 	24    	3.86604	2.29661	0.274024	9.36661
18 	24    	3.83482	2.2863 	0.112192	10.1092
19 	24    	3.81905	2.27034	0.278709	8.93324
20 	24    	3.79753	2.25358	0.286494	8.94079
21 	24    	3.778  	2.22627	0.227914	8.94079
22 	24    	3.76357	2.20397	0.225138	8.93324
23 	24    	3.75696	2.19255	0.225027	8.92187
24 	24    	3.75047	2.18176	0.222995	8.92187
25 	24    	3.73119	2.14918	0.222995	8.92187
26 	24    	3.68696	2.07108	0.221399	8.92187
27 	24    	3.62913	1.9658 	0.220786	6.86458
28 	24    	3.62659	1.9695 	0.220786	6.86458
29 	24    	3.62504	1.97018	0.220786	6.86458
30 	24    	3.62432	1.96993	0.220786	6.86458
31 	24    	3.624  	1.96996	0.220786	6.86458
32 	24    	3.62366	1.97013	0.220786	6.86458
33 	24    	3.62184	1.96672	0.219606	6.86458
34 	24    	3.61998	1.96337	0.219606	6.86458
35 	24    	3.61628	1.9568 	0.219606	6.86458
36 	24    	3.61071	1.94657	0.219606	6.86458
37 	24    	3.59648	1.91885	0.219606	6.86458
38 	24    	3.5791 	1.88717	0.259641	6.37221
39 	24    	3.57788	1.88714	0.259641	6.37221
40 	24    	3.57707	1.88711	0.258266	6.36972
41 	24    	3.57641	1.88695	0.258266	6.36972
42 	24    	3.57583	1.88686	0.256692	6.36972
43 	24    	3.5754 	1.88682	0.256692	6.37261
44 	24    	3.57527	1.88677	0.256692	6.37261
45 	24    	3.57514	1.88676	0.256692	6.37261
46 	24    	3.57501	1.88699	0.256692	6.37261
47 	24    	3.57492	1.88691	0.256692	6.37261
48 	24    	3.5749 	1.88679	0.256692	6.37261
49 	24    	3.57478	1.88686	0.256692	6.37261
50 	24    	3.57463	1.88689	0.256692	6.37261
51 	24    	3.57457	1.88687	0.256692	6.37261
52 	24    	3.57457	1.88687	0.256692	6.37261
53 	24    	3.57456	1.88692	0.256692	6.37261
54 	24    	3.57443	1.887  	0.256692	6.37261
55 	24    	3.57442	1.88692	0.256692	6.37261
56 	24    	3.57442	1.88692	0.256692	6.37261
57 	24    	3.57442	1.88692	0.256692	6.37261
58 	24    	3.57442	1.88704	0.256692	6.37261
59 	24    	3.57442	1.88704	0.256692	6.37261
60 	24    	3.57442	1.88704	0.256692	6.37261
61 	24    	3.57442	1.88704	0.256692	6.37261
62 	24    	3.5743 	1.88708	0.256692	6.37261
63 	24    	3.5743 	1.88708	0.256692	6.37261
64 	24    	3.5743 	1.88708	0.256692	6.37261
65 	24    	3.57423	1.88719	0.256692	6.37261
66 	24    	3.57416	1.88713	0.256692	6.37261
67 	24    	3.57416	1.88713	0.256692	6.37261
68 	24    	3.57406	1.88707	0.256692	6.37261
69 	24    	3.57406	1.88707	0.256692	6.37261
70 	24    	3.57406	1.88707	0.256692	6.37261
71 	24    	3.57406	1.88707	0.256692	6.37261
72 	24    	3.57406	1.88707	0.256692	6.37261
73 	24    	3.57406	1.88707	0.256692	6.37261
74 	24    	3.57406	1.88707	0.256692	6.37261
75 	24    	3.57406	1.88707	0.256692	6.37261
76 	24    	3.57406	1.88707	0.256692	6.37261
77 	24    	3.57397	1.88714	0.256692	6.37261
78 	24    	3.57384	1.88719	0.255889	6.37261
79 	24    	3.57384	1.88719	0.255889	6.37261
80 	24    	3.57384	1.88719	0.255889	6.37261
81 	24    	3.57384	1.88719	0.255889	6.37261
82 	24    	3.57384	1.88719	0.255889	6.37261
83 	24    	3.5738 	1.88669	0.255889	6.37261
84 	24    	3.57378	1.88662	0.255889	6.37261
85 	24    	3.57378	1.88662	0.255889	6.37261
86 	24    	3.57378	1.88662	0.255889	6.37261
87 	24    	3.57378	1.88662	0.255889	6.37261
88 	24    	3.57378	1.88662	0.255889	6.37261
89 	24    	3.57378	1.88662	0.255889	6.37261
90 	24    	3.57368	1.88616	0.254922	6.37261
91 	24    	3.57362	1.88597	0.255889	6.37261
92 	24    	3.57338	1.88574	0.255889	6.37261
93 	24    	3.57324	1.88537	0.255889	6.37261
94 	24    	3.57324	1.88537	0.255889	6.37261
95 	24    	3.57323	1.88534	0.255889	6.37261
96 	24    	3.57323	1.88534	0.255889	6.37261
97 	24    	3.57323	1.88534	0.255889	6.37261
98 	24    	3.57323	1.88534	0.255889	6.37261
99 	24    	3.57254	1.88489	0.255889	6.3677 
100	24    	3.5722 	1.88563	0.255889	6.3677 
101	24    	3.57154	1.88517	0.255889	6.3714 
102	24    	3.57036	1.88393	0.255889	6.3714 
103	24    	3.56842	1.88207	0.259736	6.36615
104	24    	3.5678 	1.88152	0.259736	6.36348
105	24    	3.56712	1.88088	0.259736	6.36593
106	24    	3.56692	1.88082	0.259736	6.36593
107	24    	3.56642	1.88075	0.259736	6.36593
108	24    	3.56605	1.88015	0.258488	6.36593
109	24    	3.56577	1.88008	0.258488	6.36254
110	24    	3.56549	1.88002	0.258488	6.35953
111	24    	3.56537	1.87993	0.258488	6.35953
112	24    	3.56505	1.87983	0.258488	6.35953
113	24    	3.56435	1.88108	0.258488	6.35953
114	24    	3.56348	1.88242	0.258488	6.35953
115	24    	3.56298	1.88265	0.25727 	6.35953
116	24    	3.56297	1.88266	0.25727 	6.35953
117	24    	3.56207	1.8839 	0.25727 	6.35953
118	24    	3.55849	1.88606	0.25727 	6.35953
119	24    	3.55541	1.89127	0.25727 	6.35484
120	24    	3.54977	1.89426	0.25727 	6.3723 
--- 13736.73653459549 seconds ---
ran GA
