slurmstepd: error: task/cgroup: unable to add task[pid=91254] to memory cg '(null)'
preds
WASF1
['ARHGEF6', 'NCKAP1', 'ABI2']
preds
APC
['CDC42', 'RHOA', 'BAIAP2']
preds
ABI2
['NCKAP1', 'GNG12', 'WASF1']
preds
NCKAP1
['ABI2', 'BCAR1', 'WASF1']
preds
BAIAP2
['SLC9A1', 'PTK2', 'CDC42']
preds
GIT1
['RHOA', 'CDC42', 'CRK']
preds
CDC42
['RHOA', 'PTK2', 'GSN']
preds
RHOA
['CDC42', 'WASF2', 'PTK2']
preds
ARHGEF6
['WASF1', 'ABI2', 'NCKAP1']
preds
GNG12
['ABI2', 'PXN', 'ARHGEF6']
preds
CRK
['RHOA', 'PTK2', 'GIT1']
preds
BCAR1
['NCKAP1', 'F2R', 'WASF1']
preds
PTK2
['RHOA', 'CDC42', 'CRK']
preds
FN1
['RHOA', 'BAIAP2', 'GNG12']
gen	nevals	avg    	std   	min     	max    
0  	24    	7.97547	5.4829	0.277163	22.0816
1  	24    	6.71572	4.6768	0.270772	20.8918
2  	24    	6.28523	4.39363	0.278652	20.8918
3  	24    	5.82135	4.05075	0.186684	20.8918
4  	24    	5.43699	3.65555	0.183888	19.0436
5  	24    	5.26221	3.40191	0.183888	18.7936
6  	24    	5.06143	3.32875	0.193571	18.1385
7  	24    	4.91863	3.20801	0.193571	18.1385
8  	24    	4.82777	3.18139	0.193571	18.1385
9  	24    	4.7508 	3.17541	0.259466	18.1385
10 	24    	4.62412	3.11721	0.259466	18.1385
11 	24    	4.5259 	2.82306	0.259466	18.1385
12 	24    	4.42682	2.53395	0.264595	18.1385
13 	24    	4.35509	2.50776	0.266792	10.7945
14 	24    	4.2701 	2.49501	0.266887	9.72681
15 	24    	4.22722	2.49498	0.26199 	9.73063
16 	24    	4.19502	2.4889 	0.26199 	9.73063
17 	24    	4.18025	2.4741 	0.266   	9.72681
18 	24    	4.1615 	2.45752	0.263948	9.72681
19 	24    	4.12778	2.41054	0.265044	9.59984
20 	24    	4.08883	2.3736 	0.270074	9.59381
21 	24    	4.00938	2.27242	0.29918 	9.59523
22 	24    	3.98762	2.26841	0.29918 	9.59523
23 	24    	3.97919	2.255  	0.29918 	9.59523
24 	24    	3.96346	2.21749	0.297359	9.59346
25 	24    	3.96231	2.2164 	0.297359	9.59346
26 	24    	3.96174	2.1916 	0.297359	9.60248
27 	24    	3.96156	2.1914 	0.297359	9.60248
28 	24    	3.96129	2.16632	0.298217	9.60248
29 	24    	3.9601 	2.07658	0.298217	9.60248
30 	24    	3.95919	1.99618	0.298217	9.60248
31 	24    	3.95816	1.9269 	0.291644	9.58559
32 	24    	3.95739	1.91242	0.299566	7.15686
33 	24    	3.95682	1.9119 	0.299566	7.15686
34 	24    	3.95457	1.94303	0.299566	11.3724
35 	24    	3.95207	1.97453	0.299566	11.423 
36 	24    	3.94669	2.06726	0.299566	11.4364
37 	24    	3.93192	2.17684	0.299566	11.5249
38 	24    	3.91042	2.39583	0.299566	11.5249
39 	24    	3.89887	2.56512	0.299701	11.5249
40 	24    	3.89022	2.55603	0.300357	11.5249
41 	24    	3.86737	2.53489	0.297657	11.5249
42 	24    	3.84532	2.5142 	0.297657	11.5249
43 	24    	3.82248	2.49222	0.300812	11.4803
44 	24    	3.8198 	2.48983	0.299321	11.4901
45 	24    	3.81741	2.48569	0.299321	11.4669
