,Gene,ImportanceScore,Pathway
0,RBX1,0.15694403844480798,hsa04066
1,VEGFA,0.15698683403132135,hsa04066
2,VHL,0.15695902934908118,hsa04066
3,ARNT,1.0,hsa04066
4,EP300,0.32505630636336086,hsa04066
5,HIF1A,0.4557919188371946,hsa04066
6,SLC2A1,0.15688186296003193,hsa04066
7,PDK1,0.15695385288387448,hsa04066
8,GAPDH,0.15672286904715552,hsa04066
9,PFKFB3,0.1569090886193183,hsa04066
10,TF,0.1569052960189711,hsa04066
11,TFRC,0.15681834414200307,hsa04066
12,FLT1,0.15705998200107146,hsa04066
13,NOS3,0.15692222665013938,hsa04066
14,TLR4,0.6088443208487783,hsa04066
15,IFNG,0.1570852795139218,hsa04066
16,STAT3,0.15691786081706796,hsa04066
17,EIF4EBP1,0.3131164535307299,hsa04066
18,EIF4E,0.15683257073597726,hsa04066
19,BCL2,0.15680554773472472,hsa04066
20,EIF4E,0.13289215660788364,hsa04151
21,EIF4EBP1,0.2647426251151516,hsa04151
22,EIF4B,0.1326301193178668,hsa04151
23,RHEB,0.4519376338239603,hsa04151
24,TSC2,0.5837435352050192,hsa04151
25,TSC1,0.1326676433512594,hsa04151
26,PDPK1,0.22616284678250956,hsa04151
27,PTEN,0.3701446122543368,hsa04151
28,IRS1,0.46449435804979783,hsa04151
29,GSK3B,0.3967253081258956,hsa04151
30,MYC,0.13297063818241678,hsa04151
31,CDKN1B,0.13291864646253101,hsa04151
32,RBL2,0.1330346178332,hsa04151
33,BCL2L11,0.1327882025143322,hsa04151
34,FOXO3,0.5664344205180203,hsa04151
35,BAD,0.13289615747588618,hsa04151
36,MDM2,0.2647939223078291,hsa04151
37,BCL2L1,0.13297142563932193,hsa04151
38,TP53,0.13281707430384174,hsa04151
39,CCND1,0.13264887644352646,hsa04151
40,G6PC,0.1328417495838816,hsa04151
41,GRB2,0.22316039587913916,hsa04151
42,THEM4,0.38273342657181764,hsa04151
43,CDC37,0.13265780747650027,hsa04151
44,NOS3,0.1329973628068247,hsa04151
45,DDIT4,0.1676776790004118,hsa04151
46,STK11,0.48243181443672917,hsa04151
47,CRTC2,0.21533095153215956,hsa04151
48,CDKN1A,0.13261790639928225,hsa04151
49,CASP9,0.13261655158212246,hsa04151
50,RAF1,0.13276078336271613,hsa04151
51,CD19,0.8679031455200844,hsa04151
52,SYK,1.0,hsa04151
53,PTK2,0.37257428363443534,hsa04151
54,RAC1,0.7390432964984632,hsa04151
55,BRCA1,0.13303762092972024,hsa04151
56,BCL2,0.13287026921875025,hsa04151
57,MCL1,0.13273106053282474,hsa04151
58,MYB,0.13268147031194782,hsa04151
59,PIK3AP1,0.5590683578769385,hsa04151
60,NR4A1,0.13277632218624177,hsa04151
61,ALCAM,0.25780777817088474,hsa04514
62,SPN,0.2575148815269211,hsa04514
63,PTPRC,0.5144363620608773,hsa04514
64,CD22,0.2578871075151687,hsa04514
65,ITGB1,0.2874405690837246,hsa04514
66,ITGAL,0.4729135269826468,hsa04514
67,MAG,0.2575788528166595,hsa04514
68,MPZ,0.257834699937088,hsa04514
69,CNTNAP2,0.2577282966725,hsa04514
70,CNTNAP1,0.2578997743440569,hsa04514
71,NEGR1,0.25755986208295845,hsa04514
72,CADM1,0.2575514936074165,hsa04514
73,CD226,0.25799673454476657,hsa04514
74,GLG1,0.2579504796981354,hsa04514
75,SELPLG,0.5146862181135882,hsa04514
76,SELL,0.6258361581059128,hsa04514
77,MADCAM1,0.3690097358464068,hsa04514
78,ITGB7,0.2581767899037538,hsa04514
79,ITGA4,0.451104081507126,hsa04514
80,PECAM1,0.25766208110977556,hsa04514
81,CD58,0.25789764418664646,hsa04514
82,ICAM3,0.4313372477765247,hsa04514
83,ICAM1,0.2577265564099726,hsa04514
84,ICAM2,0.6309615165381808,hsa04514
85,JAM3,0.6060229839419987,hsa04514
86,F11R,1.0,hsa04514
87,ESAM,0.2578585215634884,hsa04514
88,CD86,0.40142895333536455,hsa04514
89,CD80,0.2576978943812419,hsa04514
90,CD28,0.514735468494078,hsa04514
91,OCLN,0.25760420549369883,hsa04514
92,ICOSLG,0.4131721022261019,hsa04514
93,TIGIT,0.2581071223448682,hsa04514
94,NTNG1,0.2579454015550226,hsa04514
95,NTNG2,0.2579638787686337,hsa04514
96,LRRC4,0.5146634045081053,hsa04514
97,PECAM1,0.17598521843272158,hsa04670
98,CTNND1,0.13044244357499896,hsa04670
99,BCAR1,0.13037786081656005,hsa04670
100,SIPA1,0.13028481328801347,hsa04670
101,F11R,0.6191739442799667,hsa04670
102,ITGAL,0.13048372471621608,hsa04670
103,ITGB1,0.13046428583091077,hsa04670
104,ITGA4,0.13052629182928063,hsa04670
105,CTNNB1,0.1305406783383012,hsa04670
106,PTK2,0.1304942822079379,hsa04670
107,RHOA,0.4081512861977355,hsa04670
108,JAM3,0.1304937090594366,hsa04670
109,CYBA,0.1304481028144028,hsa04670
110,NCF2,0.13042148271552204,hsa04670
111,PXN,0.13043793063259781,hsa04670
112,NCF1,0.13040805466491967,hsa04670
113,RAC1,0.6506546651489693,hsa04670
114,NCF4,0.13035807033595567,hsa04670
115,RAC2,0.13046300467543717,hsa04670
116,RASSF5,0.46373267036138416,hsa04670
117,PTK2B,0.1304193008981179,hsa04670
118,CXCR4,0.879367912952556,hsa04670
119,ICAM1,1.0,hsa04670
120,CDC42,0.13034156943876632,hsa04670
121,WASF2,0.15566963961052988,hsa04810
122,WASF1,0.15579585290510486,hsa04810
123,APC,1.0,hsa04810
124,ABI2,0.16527120040749396,hsa04810
125,NCKAP1,0.15580874705055747,hsa04810
126,BAIAP2,0.46568842623686707,hsa04810
127,GSN,0.15594190423014462,hsa04810
128,VCL,0.22144675918892798,hsa04810
129,PXN,0.1558147375154604,hsa04810
130,SLC9A1,0.15576887571081052,hsa04810
131,GIT1,0.31083039985302174,hsa04810
132,ENAH,0.1558129053406723,hsa04810
133,DIAPH3,0.15589056887510883,hsa04810
134,CDC42,0.3274179971692152,hsa04810
135,RHOA,0.9309597598934364,hsa04810
136,ARHGEF6,0.7205877851054941,hsa04810
137,GNG12,0.4821900319514053,hsa04810
138,CRK,0.15594456346816002,hsa04810
139,BCAR1,0.16740663745578893,hsa04810
140,PTK2,0.15569602522487702,hsa04810
141,SRC,0.15585751506349205,hsa04810
142,FN1,0.7866176529087416,hsa04810
143,F2R,0.15612415105836577,hsa04810
144,CXCR4,0.644671559580377,hsa04810
145,RBX1,0.09870944715230322,shuffled_hsa04066_0
146,VEGFA,0.09869231439673459,shuffled_hsa04066_0
147,VHL,0.0987129518287239,shuffled_hsa04066_0
148,ARNT,0.40697733568734984,shuffled_hsa04066_0
149,EP300,0.4552487457304723,shuffled_hsa04066_0
150,HIF1A,0.9273568321706581,shuffled_hsa04066_0
151,SLC2A1,0.12180183222054734,shuffled_hsa04066_0
152,PDK1,0.11207629475044859,shuffled_hsa04066_0
153,GAPDH,0.09869097380593234,shuffled_hsa04066_0
154,PFKFB3,0.09869121501507686,shuffled_hsa04066_0
155,TF,0.11452033586532644,shuffled_hsa04066_0
156,TFRC,0.21945018561987711,shuffled_hsa04066_0
157,FLT1,1.0,shuffled_hsa04066_0
158,NOS3,0.2083209890308734,shuffled_hsa04066_0
159,TLR4,0.09868517510301794,shuffled_hsa04066_0
160,IFNG,0.098691399110164,shuffled_hsa04066_0
161,STAT3,0.09868815775037652,shuffled_hsa04066_0
162,EIF4EBP1,0.09868979187746997,shuffled_hsa04066_0
163,EIF4E,0.09867900415384463,shuffled_hsa04066_0
164,BCL2,0.33810245704255815,shuffled_hsa04066_0
165,RBX1,0.11778753578223576,shuffled_hsa04066_1
166,VEGFA,0.14316287148574347,shuffled_hsa04066_1
167,VHL,0.26320735874532825,shuffled_hsa04066_1
168,ARNT,0.9646249691032011,shuffled_hsa04066_1
169,EP300,0.4756085550604702,shuffled_hsa04066_1
170,HIF1A,0.944798402156514,shuffled_hsa04066_1
171,SLC2A1,0.11783804501702168,shuffled_hsa04066_1
172,PDK1,0.18562594778745728,shuffled_hsa04066_1
173,GAPDH,0.23543145600202317,shuffled_hsa04066_1
174,PFKFB3,0.18063352957679607,shuffled_hsa04066_1
175,TF,0.5714521510041493,shuffled_hsa04066_1
176,TFRC,0.13172839770445965,shuffled_hsa04066_1
177,FLT1,0.20628629847548735,shuffled_hsa04066_1
178,NOS3,0.11774398516197095,shuffled_hsa04066_1
179,TLR4,0.11778460446995434,shuffled_hsa04066_1
180,IFNG,0.9910573977331868,shuffled_hsa04066_1
181,STAT3,0.11780586320618835,shuffled_hsa04066_1
182,EIF4EBP1,0.11774779090419048,shuffled_hsa04066_1
183,EIF4E,0.11780363039194071,shuffled_hsa04066_1
184,BCL2,1.0,shuffled_hsa04066_1
185,RBX1,0.3565939863445883,shuffled_hsa04066_2
186,VEGFA,0.5161269340949132,shuffled_hsa04066_2
187,VHL,0.9097421780217898,shuffled_hsa04066_2
188,ARNT,0.6474936477143306,shuffled_hsa04066_2
189,EP300,1.0,shuffled_hsa04066_2
190,HIF1A,0.9100144445297315,shuffled_hsa04066_2
191,SLC2A1,0.18810473476191436,shuffled_hsa04066_2
192,PDK1,0.637078410898702,shuffled_hsa04066_2
193,GAPDH,0.36195469188398166,shuffled_hsa04066_2
194,PFKFB3,0.1810083577890181,shuffled_hsa04066_2
195,TF,0.18100090260822968,shuffled_hsa04066_2
196,TFRC,0.5252567718475589,shuffled_hsa04066_2
197,FLT1,0.3619704385523161,shuffled_hsa04066_2
198,NOS3,0.3619762510786466,shuffled_hsa04066_2
199,TLR4,0.18102437455802836,shuffled_hsa04066_2
200,IFNG,0.1810150402674016,shuffled_hsa04066_2
201,STAT3,0.2904498456905388,shuffled_hsa04066_2
202,EIF4EBP1,0.18100321079611448,shuffled_hsa04066_2
203,EIF4E,0.18102445927446859,shuffled_hsa04066_2
204,BCL2,0.22862456812860651,shuffled_hsa04066_2
205,RBX1,0.15025619369933477,shuffled_hsa04066_3
206,VEGFA,0.3003461332517373,shuffled_hsa04066_3
207,VHL,0.15315311104211543,shuffled_hsa04066_3
208,ARNT,0.8241370443565741,shuffled_hsa04066_3
209,EP300,0.9243617628540114,shuffled_hsa04066_3
210,HIF1A,1.0,shuffled_hsa04066_3
211,SLC2A1,0.24554238671906028,shuffled_hsa04066_3
212,PDK1,0.36889176217673736,shuffled_hsa04066_3
213,GAPDH,0.3003697377431962,shuffled_hsa04066_3
214,PFKFB3,0.9677192264811695,shuffled_hsa04066_3
215,TF,0.15024821944491426,shuffled_hsa04066_3
216,TFRC,0.689066697744229,shuffled_hsa04066_3
217,FLT1,0.1501995105143816,shuffled_hsa04066_3
218,NOS3,0.16818486053047482,shuffled_hsa04066_3
219,TLR4,0.1502273583518604,shuffled_hsa04066_3
220,IFNG,0.15024590613602593,shuffled_hsa04066_3
221,STAT3,0.15023543547190546,shuffled_hsa04066_3
222,EIF4EBP1,0.21564807361517638,shuffled_hsa04066_3
223,EIF4E,0.4341167654696107,shuffled_hsa04066_3
224,BCL2,0.3272050667111253,shuffled_hsa04066_3
225,RBX1,0.12121649060331827,shuffled_hsa04066_4
226,VEGFA,1.0,shuffled_hsa04066_4
227,VHL,0.2423316210498932,shuffled_hsa04066_4
228,ARNT,0.5592528610225344,shuffled_hsa04066_4
229,EP300,0.9788479821938164,shuffled_hsa04066_4
230,HIF1A,0.9262786364872381,shuffled_hsa04066_4
231,SLC2A1,0.16015765265644516,shuffled_hsa04066_4
232,PDK1,0.9669808305905455,shuffled_hsa04066_4
233,GAPDH,0.12125419907973599,shuffled_hsa04066_4
234,PFKFB3,0.12123581062414927,shuffled_hsa04066_4
235,TF,0.15750693533806204,shuffled_hsa04066_4
236,TFRC,0.15997779422257474,shuffled_hsa04066_4
237,FLT1,0.1211779735562586,shuffled_hsa04066_4
238,NOS3,0.12120323997586342,shuffled_hsa04066_4
239,TLR4,0.12118450334956095,shuffled_hsa04066_4
240,IFNG,0.2423373562227072,shuffled_hsa04066_4
241,STAT3,0.12125249110545797,shuffled_hsa04066_4
242,EIF4EBP1,0.121177844820114,shuffled_hsa04066_4
243,EIF4E,0.2116116989195325,shuffled_hsa04066_4
244,BCL2,0.12119127401850663,shuffled_hsa04066_4
245,RBX1,0.12130286822730732,shuffled_hsa04066_5
246,VEGFA,0.24252258582708125,shuffled_hsa04066_5
247,VHL,0.1213287437957837,shuffled_hsa04066_5
248,ARNT,0.7273042241986745,shuffled_hsa04066_5
249,EP300,0.5780568889995261,shuffled_hsa04066_5
250,HIF1A,0.9994907700244613,shuffled_hsa04066_5
251,SLC2A1,0.1213809180368878,shuffled_hsa04066_5
252,PDK1,0.24253234752445316,shuffled_hsa04066_5
253,GAPDH,0.12130136435578763,shuffled_hsa04066_5
254,PFKFB3,0.13928178916501513,shuffled_hsa04066_5
255,TF,0.12671576421109992,shuffled_hsa04066_5
256,TFRC,0.24254167265016746,shuffled_hsa04066_5
257,FLT1,0.12130897798592916,shuffled_hsa04066_5
258,NOS3,0.24258188550122903,shuffled_hsa04066_5
259,TLR4,1.0,shuffled_hsa04066_5
260,IFNG,0.12135732184382676,shuffled_hsa04066_5
