,norm_19-C,norm_1-1ug-B,norm_1-A,norm_1-1ug-A,norm_19-A,norm_1-C,norm_19-B,norm_1-B,norm_1-1ug-C
UBA52,5.462706750670158,5.116863757690899,8.909893083770042,5.402585758232587,4.095924419998536,9.172427508645482,9.103287808412022,5.095924419998536,9.090112419664289
ALB,7.994353436858858,8.348728154231077,8.370687406807217,7.499845887083206,7.7414669864011465,10.959277505720502,8.294620748891628,10.421012855779226,8.303780748177102
LCE3D,2.944858445807539,3.8379432418910273,5.129283016944966,4.06177619758669,2.7224660244710908,7.965784284662087,5.013462259806563,2.963474123974886,4.906890595608519
MANBA,2.350497247084133,2.4329594072761065,4.902073579310743,2.321928094887362,2.37851162325373,4.364572432295856,5.165911938935689,2.700439718141092,4.446256229889564
TRAM1,4.0,5.0574502721839,6.457791260256042,4.5668151540108965,4.419538891513785,6.578938713093386,6.483815777264256,4.06177619758669,6.882643049361842
FLG,6.672425341971495,7.294620748891627,8.611024797307353,6.768184324776926,6.754887502163468,10.877284133523196,8.396604781181859,6.518849828707692,8.527477006060396
LYZ,3.2172307162206693,3.584962500721156,5.307428525192248,4.560714954474479,3.6322682154995127,7.348728154231077,5.575917361118149,3.817623257511431,4.426264754702098
MAP1LC3B2,2.37851162325373,3.364572432295856,5.078951341394822,2.807354922057604,2.807354922057604,4.321928094887363,4.9954845188775066,2.137503523749935,4.832890014164741
PFKFB1,3.6322682154995127,4.626439136697315,4.504620392403552,4.439623137557117,3.232660756790275,5.026800059343715,3.405992359675837,4.812498225333564,4.459431618637297
FLG2,7.392317422778761,7.845490050944375,9.197216693110052,7.851749041416057,7.727920454563199,11.593857938858223,8.900866807980748,7.546894459887636,8.88264304936184
RLF,3.9068905956085187,4.364572432295856,6.017921907997263,4.112700132749362,4.161887682376894,5.578938713093386,5.719731056749852,3.4594316186372973,5.944858445807539
DAP,5.539158811108031,5.321928094887363,7.0,5.620586410451877,5.364572432295856,6.894817763307944,6.882643049361842,5.478971805032942,7.066089190457772
HRNR,6.575917361118149,5.705977901682522,7.924812503605781,6.483815777264256,6.325530331567558,10.33427328530719,7.679480099505446,5.904484097901423,7.569855608330948
SLC25A4,6.7414669864011465,6.94251450533924,8.098032082960527,6.857980995127572,6.638073837180719,7.98299357469431,8.011227255423254,6.658211482751795,8.243173983472952
BNIP3,6.270528942380718,7.523561956057013,7.459431618637297,7.467605550082998,6.404290064444837,7.2384047393250786,6.279842693520348,7.7073591320808825,7.507794640198696
PPP1CB,8.238404739325079,8.400879436282183,9.57553924683453,8.308339030139408,8.417852514885897,9.76487159073609,9.60177078840771,8.233619676759702,9.57553924683453
DCD,8.375039431346925,8.233619676759702,9.527477006060396,7.9886846867721655,8.262094845370179,11.205182326228643,8.584962500721156,8.400879436282183,9.014020470314934
HBB,6.930737337562887,7.20945336562895,8.049848549450562,7.247927513443585,6.845490050944375,8.906890595608518,7.900866807980749,6.965784284662087,8.400879436282183
IGHA1,5.6293566200796095,5.7865963618908065,6.7414669864011465,5.623515741490549,4.77082904603249,8.900866807980748,6.906890595608519,6.457791260256042,6.5576551547254205
TEAD2,3.6667565918848033,4.044394119358453,4.153805336079036,5.314696525656286,5.658211482751795,5.635173946674924,4.608809242675524,5.83035674741922,5.666756591884804
PIGR,4.916476644437717,4.666756591884804,6.0574502721839,5.108524456778169,5.074676686294496,7.807354922057604,6.063934305754099,4.672425341971495,5.77082904603249
KDM3A,7.199672344836364,8.055282435501189,8.285402218862249,8.189824558880018,7.366322214245816,7.383704292474052,7.339850002884624,8.257387842692651,8.118941072723507
C2ORF49,7.599912842187128,7.787902559391432,8.51175265376738,7.643856189774724,7.483815777264256,8.519636252843213,8.426264754702098,7.622051819456376,8.546894459887637
HLA-DRA,8.357552004618084,8.971543553950772,9.753216749178955,8.63662462054365,8.64745842645492,9.558420713268664,9.810571634741146,8.50382573799575,9.756556322524087
BIVM-ERCC5,1.9634741239748859,2.1043366598147357,2.7441610955704103,2.169925001442312,2.0,0.0,1.925999418556223,2.608809242675524,0.0
MON1B,3.608809242675524,4.06177619758669,4.035623909730721,4.078951341394822,4.153805336079036,4.760220946466509,3.655351828612554,4.504620392403552,4.044394119358453
CACFD1,2.070389327891398,2.944858445807539,2.584962500721156,3.0531113364595623,3.137503523749935,0.0,2.0,2.8875252707415875,2.5109619192773796
HSH2D,2.8875252707415875,2.8875252707415875,3.4724877714627436,3.37851162325373,2.7224660244710908,4.044394119358453,2.7441610955704103,3.0531113364595623,3.017921907997262
ANKZF1,6.3750394313469245,7.011227255423254,7.1799090900149345,7.20945336562895,6.37851162325373,6.155830171556525,6.2890967024199895,7.348728154231077,6.977279923499917
MINDY2,2.2016338611696504,3.2172307162206693,3.2016338611696504,3.0,3.1858665453113337,0.0,2.7224660244710908,3.655351828612554,3.364572432295856
BAD,2.292781749227846,3.2016338611696504,1.9634741239748859,3.37851162325373,2.405992359675837,3.765534746362977,2.137503523749935,2.9818526532897405,2.655351828612554
SNX19,2.5360529002402097,2.8278190246173196,3.070389327891398,2.765534746362977,0.0,0.0,2.1043366598147357,2.8875252707415875,2.8875252707415875
JMY,2.7224660244710908,3.4982508675278257,3.678071905112638,3.608809242675524,2.963474123974886,4.087462841250339,3.3923174227787602,3.4329594072761065,3.3074285251922473
IGKC,6.272396509037485,8.475733430966399,6.857980995127572,6.006746832440585,5.9354597478052895,8.96289600533726,6.807354922057604,7.03342300153745,6.7414669864011465
GCSAM,3.678071905112638,3.6205864104518777,2.9068905956085187,3.4724877714627436,3.643856189774725,4.371558862611963,3.4195388915137843,4.472487771462744,3.8972404255747994
PRR14L,4.8875252707415875,4.9954845188775066,5.632268215499513,5.314696525656286,4.867896463992655,5.669593751188333,5.940166750482817,5.108524456778169,5.083213368248981
PLOD1,6.857980995127572,7.894817763307944,7.900866807980749,7.6293566200796095,7.129283016944966,7.366322214245816,7.129283016944966,7.882643049361842,7.832890014164741
UQCRH,7.60733031374961,7.832890014164741,8.651051691178928,7.515699838284043,7.417852514885898,8.361943773735241,8.0,7.754887502163468,9.355351096424812
MICU1,2.9818526532897405,3.7548875021634687,3.584962500721156,4.053111336459563,3.596935142387232,4.426264754702098,3.1210154009613658,3.807354922057604,3.9541963103868754
KDM4C,4.104336659814735,4.807354922057604,4.82273014794452,4.683696454306515,4.498250867527825,4.364572432295856,4.008988783227255,4.812498225333564,4.655351828612554
GTPBP6,2.070389327891398,3.4982508675278257,3.263034405833794,3.4195388915137843,3.4724877714627436,0.0,2.7224660244710908,3.4854268271702415,2.9068905956085187
DSC1,6.359310316890443,6.529820946528695,7.087462841250339,6.066089190457772,6.350497247084133,10.023754353299417,6.94251450533924,5.984133594540979,7.507794640198696
CKS2,5.169925001442312,5.354028938054387,6.48058827023386,5.475733430966398,5.738767836800191,6.462706750670158,6.462706750670158,4.727920454563199,6.346956889378885
TTF1,3.1210154009613658,2.655351828612554,2.5109619192773796,2.4854268271702415,2.1043366598147357,0.0,1.765534746362977,2.9068905956085187,2.4594316186372973
C14ORF1,4.446256229889564,4.857980995127572,4.608809242675524,4.529820946528695,4.77082904603249,5.807354922057604,4.412781525338476,5.137503523749935,4.536052900240209
DDHD2,5.03121873061072,5.663913842115978,4.371558862611963,4.548436624696042,4.596935142387232,5.83035674741922,3.8972404255747994,5.274261661257048,4.053111336459563
GTF3A,5.551516017628014,5.03121873061072,6.277984747299765,4.705977901682522,5.013462259806563,6.234577959784565,6.232660756790275,5.705977901682522,5.979568100095187
LMAN2,8.174925682500678,8.823367240046235,9.18239435340453,8.543031820255237,8.50382573799575,9.39231742277876,9.076815597050832,8.066089190457772,9.398743691938193
DOPEY1,4.419538891513785,4.504620392403552,4.017921907997263,4.523561956057013,3.8579809951275723,4.504620392403552,3.817623257511431,4.632268215499513,4.129283016944966
MSL1,3.9164766444377164,4.053111336459563,4.20163386116965,2.925999418556223,3.4195388915137843,4.426264754702098,3.572889668420581,4.153805336079036,3.990954860396993
NACAP1,3.643856189774725,2.9068905956085187,3.0874628412503395,3.0,2.9818526532897405,4.095924419998536,2.700439718141092,3.572889668420581,3.3074285251922473
TMSB4X,9.005624549193879,8.599912842187127,9.681238411777805,8.78135971352466,9.036173612553485,10.323054760341646,9.344295907915816,8.81698362325538,9.939579214314692
PIK3IP1,4.169925001442312,4.153805336079036,4.596935142387232,3.807354922057604,3.8379432418910273,4.452858964713811,3.548436624696042,4.232660756790275,4.343407822297814
XPR1,2.9818526532897405,3.405992359675837,3.169925001442312,3.8875252707415875,3.2479275134435857,3.678071905112638,3.070389327891398,3.6667565918848033,2.786596361890807
ALDOC,9.523561956057012,9.86573327085176,10.064742764750257,10.051208940914766,9.41574176829009,9.818582177480858,9.403012023574997,10.07815080773465,9.89026427702111
RNF213,3.990954860396993,3.711494906650088,3.560714954474479,3.6205864104518777,2.8278190246173196,3.1210154009613658,3.0,4.035623909730721,3.655351828612554
SERPINB12,7.044394119358453,6.965784284662087,7.672425341971495,6.754887502163468,7.011227255423254,9.887220615468385,7.348728154231077,6.882643049361842,7.400879436282184
OGFOD2,2.4329594072761065,2.786596361890807,3.017921907997262,3.137503523749935,2.5109619192773796,0.0,2.867896463992655,3.070389327891398,2.4594316186372973
COA6,6.093813673402728,5.965784284662087,6.700439718141092,5.768184324776926,5.855491443101874,6.768184324776926,6.388878338811989,6.074676686294496,6.918863237274595
CCNY,3.0,4.548436624696042,2.37851162325373,3.1858665453113337,3.169925001442312,3.9164766444377164,3.2479275134435857,3.7441610955704103,3.405992359675837
IGHG1,3.137503523749935,4.177917792195843,3.700439718141092,2.867896463992655,3.6322682154995127,4.19377174339668,2.867896463992655,3.548436624696042,3.6205864104518777
SRP9,9.118941072723507,9.306061689428342,9.888743248898258,9.228818690495881,9.283088353024002,9.918863237274595,9.926295994781112,9.03342300153745,9.905387005018131
LTF,6.301953395126096,6.2268938135713885,6.954196310386875,6.845490050944375,6.350497247084133,8.379378367071261,7.044394119358453,6.616181231331876,7.076815597050831
LAMTOR2,4.292781749227846,4.954196310386875,4.321928094887363,4.963474123974886,4.802193216941825,5.303780748177103,4.529820946528695,5.116863757690899,4.77082904603249
NCCRP1,5.937815168803419,6.653919873119422,6.820178962415188,5.977279923499917,6.2268938135713885,8.566054038171092,6.512542955096859,5.993221467368938,6.540709262671431
PSMD4,8.876516946565,8.997179480937621,9.758223214726724,8.930737337562887,8.951284714966972,9.541096615349524,9.721099188707186,8.980139577639157,9.76983784362944
CSNK1E,3.5109619192773796,3.655351828612554,3.277984747299765,3.8875252707415875,3.925999418556223,4.329123596291566,3.4854268271702415,4.06177619758669,3.8278190246173196
XP32,5.20945336562895,5.329123596291566,6.300123724569014,5.343407822297814,5.71699089440494,8.189824558880018,6.369815424283912,5.2964574073712445,6.357552004618084
CAMK4,7.679480099505446,7.409390936137702,8.257387842692651,7.787902559391432,7.658211482751795,9.405141463136344,8.159871336778389,7.774787059601174,8.049848549450562
PEA15,6.3957483281790335,6.620586410451877,6.977279923499917,6.518849828707692,6.352264173258321,7.483815777264256,6.655351828612554,6.623515741490549,7.6865005271832185
TUBA4A,10.399811959325685,10.367414751246828,11.129926933510394,10.580258567499788,10.462502272597265,11.029977346589579,11.205182326228643,10.542064542283443,11.199058823653022
FAM162A,7.426264754702098,8.027905996569885,8.154818109052105,7.977279923499917,7.523561956057013,7.6865005271832185,7.426264754702098,7.994353436858858,8.159871336778389
EEFSEC,4.035623909730721,4.06177619758669,4.584962500721156,4.121015400961366,4.24031432933371,4.954196310386875,4.017921907997263,4.364572432295856,3.7548875021634687
P4HA1,8.900866807980748,9.290018846932618,9.422064766172813,9.353146825498083,8.857980995127573,9.199672344836364,8.754887502163468,9.426264754702098,9.149747119504681
CBL,2.963474123974886,3.5109619192773796,3.1043366598147357,3.405992359675837,3.169925001442312,3.8875252707415875,3.0874628412503395,3.596935142387232,3.608809242675524
AGTRAP,4.678071905112637,4.439623137557117,4.5109619192773796,4.343407822297814,3.786596361890807,4.71699089440494,4.185866545311334,4.74416109557041,4.797012977836145
CENPN,4.666756591884804,4.321928094887363,5.213347281733441,4.307428525192248,4.71699089440494,6.2890967024199895,4.277984747299765,4.842978831788326,4.683696454306515
UNK,2.84799690655495,2.963474123974886,3.292781749227846,3.263034405833794,2.807354922057604,0.0,3.584962500721156,3.37851162325373,3.37851162325373
BCAS2,9.20945336562895,9.228818690495881,9.761551232444479,9.245552706255681,9.066089190457772,10.217957697864113,9.76487159073609,9.189824558880018,9.759888183221834
SPG7,5.364572432295856,5.405992359675837,5.446256229889564,5.217230716220669,4.694880192799191,5.189824558880018,4.906890595608519,5.5453506448223,5.20163386116965
MCRIP2,3.700439718141092,3.678071905112638,3.2016338611696504,2.8278190246173196,3.678071905112638,4.336283387864432,3.84799690655495,4.217230716220669,3.9354597478052895
RPS23,9.451211111832329,9.388017285345136,10.311748315004959,9.344295907915816,9.519636252843213,10.064742764750257,10.570804437724497,9.324180546618742,10.193525360501216
EGLN1,8.29920801838728,8.744833837499545,8.930737337562887,8.686500527183219,8.280770770130603,8.622051819456376,8.383704292474052,8.83605035505807,9.011227255423254
RSPRY1,3.5360529002402097,4.017921907997263,4.070389327891398,4.044394119358453,3.8972404255747994,5.06177619758669,3.9726926540042644,4.405992359675837,3.925999418556223
NARF,2.232660756790275,2.169925001442312,2.765534746362977,2.0,2.37851162325373,0.0,1.4854268271702415,2.608809242675524,2.4594316186372973
DYNLL2,4.129283016944966,3.733354340613827,4.632268215499513,4.153805336079036,3.8972404255747994,4.765534746362977,4.270528942380718,2.584962500721156,4.678071905112637
PKP1,5.197708157955851,6.207502459258789,5.572889668420581,4.694880192799191,4.872828759534886,7.539158811108031,5.0574502721839,4.733354340613827,5.526694845541976
FAM160A2,3.944858445807539,3.8278190246173196,3.786596361890807,3.350497247084133,3.292781749227846,4.4329594072761065,3.3074285251922473,3.596935142387232,3.4982508675278257
KDM5C,4.285402218862249,4.655351828612554,4.145677455195635,4.572889668420581,4.24031432933371,4.897240425574799,4.026800059343715,4.74416109557041,4.314696525656286
DBI,9.0,9.118941072723507,9.874981347653774,9.113742166049189,9.353146825498083,10.091435386323607,9.428360172704291,9.06339508128851,10.181152256865566
RGCC,3.4982508675278257,2.9068905956085187,3.8875252707415875,3.7441610955704103,3.655351828612554,0.0,3.584962500721156,4.24031432933371,3.1210154009613658
DGKZ,3.321928094887362,3.8278190246173196,3.678071905112638,3.0874628412503395,3.4329594072761065,3.877744249949002,3.405992359675837,3.8875252707415875,3.4195388915137843
PBX2,2.8875252707415875,2.655351828612554,2.137503523749935,3.137503523749935,2.2016338611696504,0.0,2.263034405833794,3.232660756790275,2.4594316186372973
WDR41,3.84799690655495,3.817623257511431,4.371558862611963,3.944858445807539,4.078951341394822,3.944858445807539,3.877744249949002,4.678071905112637,4.608809242675524
LMCD1,3.877744249949002,3.807354922057604,3.7441610955704103,4.270528942380718,3.263034405833794,3.807354922057604,3.232660756790275,3.364572432295856,3.877744249949002
SUN2,6.672425341971495,6.768184324776926,7.1799090900149345,6.613236954716332,6.60139939053183,7.787902559391432,7.011227255423254,6.512542955096859,7.515699838284043
KDM4A,5.865423978313134,6.727920454563199,6.364572432295856,6.2964574073712445,6.08533966935737,5.416164164733128,5.700439718141092,6.392317422778761,6.4886435398537845
WDR5,5.8529975876133165,5.977279923499917,6.38543103719352,6.03342300153745,5.840463233869542,6.359310316890443,6.125155131322289,5.954196310386875,6.279842693520348
UNC93B1,6.3957483281790335,7.400879436282184,7.845490050944375,7.257387842692652,7.044394119358453,7.546894459887636,7.813781191217037,6.452858964713811,7.930737337562887
GLA,3.990954860396993,4.20945336562895,4.491853096329675,4.37851162325373,4.452858964713811,4.095924419998536,4.008988783227255,4.602884408718419,4.405992359675837
K7EQG2_106,3.797012977836145,4.20163386116965,3.776103988073164,3.84799690655495,3.584962500721156,4.217230716220669,3.7548875021634687,4.596935142387232,4.145677455195635
DSG1,8.897845456005511,9.090112419664289,9.388017285345136,8.531381460516313,8.78135971352466,11.51224664282918,9.087462841250339,8.654636028527968,9.364134655008051
CYP51A1,8.308339030139408,8.885696373339394,8.820178962415188,8.813781191217037,8.276124405274238,8.546894459887637,8.271463027904375,8.76487159073609,8.83605035505807
ZBTB44,4.678071905112637,4.678071905112637,4.217230716220669,4.336283387864432,4.087462841250339,4.683696454306515,4.161887682376894,4.626439136697315,4.643856189774724
DHX35,3.3074285251922473,3.765534746362977,3.572889668420581,3.321928094887362,3.4594316186372973,0.0,3.292781749227846,3.9354597478052895,3.0
NME1,9.162391328756906,9.30149619498255,9.995767150877802,9.187352073200497,9.20945336562895,9.689997971419446,10.091435386323607,9.121533517340032,9.936637939002571
ARCN1,10.30035256032822,10.47269083924278,10.900112062977456,10.43149760425805,10.421012855779226,10.922584402713664,10.973697366305352,10.345405246717796,10.900112062977456
SLC2A1,8.927777962082342,9.381542951184585,9.481799431665753,9.164906926675688,8.897845456005511,9.405141463136344,9.157346935362844,9.187352073200497,9.672425341971495
HCCS,8.807354922057604,9.016808287686555,9.370687406807217,8.885696373339394,8.894817763307943,9.54882190845875,9.398743691938193,8.854868383260236,9.449148645375436
