"","pathway","transcriptome_pval","transcriptome_padj","proteome_pval","proteome_padj","phosphoproteome_pval","phosphoproteome_padj","combined_pval","combined_padj","Contrast","negativelog10FDR","Pathway","Algorithm"
"1","(KEGG) Glycolysis / Gluconeogenesis",0.821124361158433,0.992553191489362,0.0481522956326988,0.525312066574202,0.0150772172732251,0.777984411298417,0.970243515359578,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Glycolysis / Gluconeogenesis","multiGSEA"
"2","(KEGG) Citrate cycle (TCA cycle)",0.0210985150366599,0.385978716258896,1.95664137668831e-05,0.0019762077904552,0.105140186915888,0.949913945229951,0.188878791107444,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Citrate Cycle (Tca Cycle)","multiGSEA"
"3","(KEGG) Pentose phosphate pathway",0.0312153912065275,0.469504830917874,0.533742331288344,0.951889417467014,0.0688622754491018,0.949913945229951,0.96893706752683,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Pentose Phosphate Pathway","multiGSEA"
"4","(KEGG) Pentose and glucuronate interconversions",0.252747252747253,0.810354593859749,0.263906856403622,0.909238488783943,NA,NA,0.941377456676956,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Pentose And Glucuronate Interconversions","multiGSEA"
"5","(KEGG) Fructose and mannose metabolism",0.308080808080808,0.840466064150275,0.62193698949825,0.951889417467014,0.0952380952380952,0.949913945229951,0.993519327470458,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Fructose And Mannose Metabolism","multiGSEA"
"6","(KEGG) Galactose metabolism",0.620454545454545,0.992553191489362,0.370229007633588,0.951137171286425,0.264270613107822,0.949913945229951,0.999535314593796,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Galactose Metabolism","multiGSEA"
"7","(KEGG) Ascorbate and aldarate metabolism",0.047438330170778,0.478812316715543,0.0894632206759443,0.678611422172452,NA,NA,0.614244100841763,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Ascorbate And Aldarate Metabolism","multiGSEA"
"8","(KEGG) Fatty acid biosynthesis",0.588636363636364,0.992553191489362,0.348925410872314,0.951137171286425,0.198731501057082,0.949913945229951,0.999535314593796,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Fatty Acid Biosynthesis","multiGSEA"
"9","(KEGG) Fatty acid elongation",0.552721088435374,0.992553191489362,0.0365853658536585,0.466545352743561,0.405919661733615,0.949913945229951,0.989459343127772,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Fatty Acid Elongation","multiGSEA"
"10","(KEGG) Fatty acid degradation",0.741007194244604,0.992553191489362,0.0010406216197905,0.0450440501137888,0.568359375,0.949913945229951,0.915655330597218,0.999944486135173,"X1O2NoCyA - X1O2PlusCyA",2.41100343901052e-05,"Fatty Acid Degradation","multiGSEA"
